voltage_6_1	absJ_6_1	J_6_1	current_6_1	time_6_1	
0.000000E+0	5.433177E-7	5.433177E-7	6.089990E-12	0.000000E+0
5.000000E-2	8.483808E-6	8.483808E-6	9.509409E-11	5.234375E-1
1.000000E-1	2.707320E-4	2.707320E-4	3.034606E-9	1.099609E+0
1.500000E-1	4.770094E-4	4.770094E-4	5.346747E-9	1.288086E+0
2.000000E-1	7.641149E-4	7.641149E-4	8.564882E-9	1.475586E+0
2.500000E-1	1.369849E-3	1.369849E-3	1.535449E-8	2.050781E+0
3.000000E-1	1.996770E-3	1.996770E-3	2.238158E-8	2.239258E+0
3.500000E-1	2.713093E-3	2.713093E-3	3.041077E-8	2.427734E+0
4.000000E-1	3.539920E-3	3.539920E-3	3.967858E-8	2.615234E+0
4.500000E-1	4.469649E-3	4.469649E-3	5.009981E-8	2.803711E+0
5.000000E-1	5.774615E-3	5.774615E-3	6.472703E-8	2.991211E+0
5.000000E-1	5.971481E-3	5.971481E-3	6.693369E-8	3.179688E+0
4.500000E-1	4.975971E-3	4.975971E-3	5.577512E-8	3.368164E+0
4.000000E-1	3.929760E-3	3.929760E-3	4.404826E-8	3.555664E+0
3.500000E-1	3.041645E-3	3.041645E-3	3.409347E-8	3.744141E+0
3.000000E-1	2.211673E-3	2.211673E-3	2.479040E-8	3.932617E+0
2.500000E-1	1.577253E-3	1.577253E-3	1.767926E-8	4.120117E+0
2.000000E-1	1.093343E-3	1.093343E-3	1.225516E-8	4.308594E+0
1.500000E-1	6.983576E-4	6.983576E-4	7.827815E-9	4.690430E+0
1.000000E-1	4.018385E-4	4.018385E-4	4.504164E-9	4.877930E+0
5.000000E-2	1.795701E-4	1.795701E-4	2.012782E-9	5.066406E+0
0.000000E+0	8.249928E-7	8.249928E-7	9.247256E-12	5.960938E+0
-5.000000E-2	1.723750E-4	-1.723750E-4	-1.932133E-9	6.537109E+0
-1.000000E-1	3.985369E-4	-3.985369E-4	-4.467157E-9	6.725586E+0
-1.500000E-1	6.874960E-4	-6.874960E-4	-7.706069E-9	6.914063E+0
-2.000000E-1	1.116328E-3	-1.116328E-3	-1.251280E-8	7.489258E+0
-2.500000E-1	1.664469E-3	-1.664469E-3	-1.865686E-8	7.676758E+0
-3.000000E-1	2.400194E-3	-2.400194E-3	-2.690351E-8	7.865234E+0
-3.500000E-1	3.261721E-3	-3.261721E-3	-3.656028E-8	8.053711E+0
-4.000000E-1	4.139926E-3	-4.139926E-3	-4.640398E-8	8.241211E+0
-4.500000E-1	5.194735E-3	-5.194735E-3	-5.822723E-8	8.429688E+0
-5.000000E-1	6.701835E-3	-6.701835E-3	-7.512014E-8	8.617188E+0
-5.000000E-1	6.616455E-3	-6.616455E-3	-7.416313E-8	8.805664E+0
-4.500000E-1	5.551422E-3	-5.551422E-3	-6.222530E-8	8.994141E+0
-4.000000E-1	4.398959E-3	-4.398959E-3	-4.930746E-8	9.181641E+0
-3.500000E-1	3.314992E-3	-3.314992E-3	-3.715739E-8	9.370117E+0
-3.000000E-1	2.469745E-3	-2.469745E-3	-2.768310E-8	9.558594E+0
-2.500000E-1	1.811575E-3	-1.811575E-3	-2.030575E-8	9.746094E+0
-2.000000E-1	1.241420E-3	-1.241420E-3	-1.391494E-8	9.934570E+0
-1.500000E-1	7.875721E-4	-7.875721E-4	-8.827811E-9	1.031641E+1
-1.000000E-1	4.633201E-4	-4.633201E-4	-5.193305E-9	1.050391E+1
-5.000000E-2	2.166963E-4	-2.166963E-4	-2.428926E-9	1.069238E+1
0.000000E+0	1.140680E-6	1.140680E-6	1.278576E-11	1.158691E+1
