voltage_2_1	absJ_2_1	J_2_1	current_2_1	time_2_1	
0.000000E+0	1.198266E-6	1.198266E-6	1.677743E-11	0.000000E+0
5.000000E-2	8.868758E-4	8.868758E-4	1.241752E-8	3.818359E-1
1.000000E-1	1.931646E-3	1.931646E-3	2.704579E-8	5.703125E-1
1.500000E-1	2.681732E-3	2.681732E-3	3.754805E-8	7.587891E-1
2.000000E-1	3.650841E-3	3.650841E-3	5.111696E-8	9.462891E-1
2.500000E-1	4.513697E-3	4.513697E-3	6.319816E-8	1.134766E+0
3.000000E-1	5.643326E-3	5.643326E-3	7.901457E-8	1.322266E+0
3.500000E-1	6.409833E-3	6.409833E-3	8.974676E-8	1.510742E+0
4.000000E-1	6.710972E-3	6.710972E-3	9.396314E-8	1.699219E+0
4.500000E-1	6.023173E-3	6.023173E-3	8.433297E-8	1.886719E+0
5.000000E-1	6.947203E-3	6.947203E-3	9.727071E-8	2.075195E+0
5.000000E-1	5.743728E-3	5.743728E-3	8.042034E-8	2.262695E+0
4.500000E-1	4.832199E-3	4.832199E-3	6.765764E-8	2.451172E+0
4.000000E-1	3.848758E-3	3.848758E-3	5.388808E-8	2.639648E+0
3.500000E-1	3.016214E-3	3.016214E-3	4.223128E-8	2.827148E+0
3.000000E-1	2.385285E-3	2.385285E-3	3.339737E-8	3.015625E+0
2.500000E-1	1.930221E-3	1.930221E-3	2.702583E-8	3.204102E+0
2.000000E-1	1.510595E-3	1.510595E-3	2.115048E-8	3.391602E+0
1.500000E-1	1.034542E-3	1.034542E-3	1.448506E-8	3.580078E+0
1.000000E-1	5.947088E-4	5.947088E-4	8.326768E-9	3.961914E+0
5.000000E-2	2.916173E-4	2.916173E-4	4.083056E-9	4.149414E+0
0.000000E+0	3.632539E-8	3.632539E-8	5.086070E-13	5.043945E+0
-5.000000E-2	2.466486E-4	-2.466486E-4	-3.453430E-9	5.621094E+0
-1.000000E-1	5.213040E-4	-5.213040E-4	-7.298996E-9	5.808594E+0
-1.500000E-1	3.464884E-4	-3.464884E-4	-4.851330E-9	6.383789E+0
-2.000000E-1	5.153287E-4	-5.153287E-4	-7.215333E-9	6.765625E+0
