voltage_8_1	absJ_8_1	J_8_1	current_8_1	time_8_1	
0.000000E+0	1.498941E-6	-1.498941E-6	-5.813655E-12	0.000000E+0
5.000000E-2	1.328239E-6	1.328239E-6	5.151587E-12	5.234375E-1
1.000000E-1	2.579916E-6	2.579916E-6	1.000623E-11	1.046875E+0
1.500000E-1	3.690000E-6	3.690000E-6	1.431170E-11	1.570313E+0
2.000000E-1	4.168055E-6	4.168055E-6	1.616584E-11	2.093750E+0
2.500000E-1	7.400302E-6	7.400302E-6	2.870214E-11	2.617188E+0
3.000000E-1	1.259537E-5	1.259537E-5	4.885128E-11	3.140625E+0
3.500000E-1	1.404696E-5	1.404696E-5	5.448125E-11	3.664063E+0
4.000000E-1	1.884980E-5	1.884980E-5	7.310914E-11	4.187500E+0
4.500000E-1	1.994446E-5	1.994446E-5	7.735479E-11	4.792969E+0
5.000000E-1	2.590340E-5	2.590340E-5	1.004666E-10	4.981445E+0
5.000000E-1	2.881633E-5	2.881633E-5	1.117644E-10	5.170898E+0
4.500000E-1	1.873162E-5	1.873162E-5	7.265075E-11	6.065430E+0
4.000000E-1	1.671431E-5	1.671431E-5	6.482661E-11	6.588867E+0
3.500000E-1	1.219464E-5	1.219464E-5	4.729704E-11	7.112305E+0
3.000000E-1	8.956923E-6	8.956923E-6	3.473951E-11	7.635742E+0
2.500000E-1	7.123177E-6	7.123177E-6	2.762731E-11	8.159180E+0
2.000000E-1	4.947916E-6	4.947916E-6	1.919054E-11	8.682617E+0
1.500000E-1	3.617036E-6	3.617036E-6	1.402871E-11	9.206055E+0
1.000000E-1	2.318070E-6	2.318070E-6	8.990655E-12	9.729492E+0
5.000000E-2	1.046401E-6	1.046401E-6	4.058476E-12	1.025293E+1
0.000000E+0	1.356717E-7	1.356717E-7	5.262041E-13	1.077637E+1
-5.000000E-2	1.101891E-6	-1.101891E-6	-4.273693E-12	1.130078E+1
-1.000000E-1	2.256111E-6	-2.256111E-6	-8.750348E-12	1.182422E+1
-1.500000E-1	3.852333E-6	-3.852333E-6	-1.494131E-11	1.234766E+1
-2.000000E-1	4.918309E-6	-4.918309E-6	-1.907571E-11	1.287109E+1
-2.500000E-1	6.559252E-6	-6.559252E-6	-2.544012E-11	1.339453E+1
-3.000000E-1	8.947422E-6	-8.947422E-6	-3.470266E-11	1.391797E+1
-3.500000E-1	1.330479E-5	-1.330479E-5	-5.160276E-11	1.444141E+1
-4.000000E-1	1.723353E-5	-1.723353E-5	-6.684041E-11	1.496484E+1
-4.500000E-1	1.727962E-5	-1.727962E-5	-6.701917E-11	1.548828E+1
-5.000000E-1	1.774352E-5	-1.774352E-5	-6.881841E-11	1.601172E+1
-5.000000E-1	1.949758E-5	-1.949758E-5	-7.562154E-11	1.653516E+1
-4.500000E-1	1.317999E-5	-1.317999E-5	-5.111872E-11	1.705859E+1
-4.000000E-1	1.147435E-5	-1.147435E-5	-4.450337E-11	1.758203E+1
-3.500000E-1	1.070001E-5	-1.070001E-5	-4.150010E-11	1.810547E+1
-3.000000E-1	6.427059E-6	-6.427059E-6	-2.492741E-11	1.862891E+1
-2.500000E-1	5.294761E-6	-5.294761E-6	-2.053578E-11	1.915234E+1
-2.000000E-1	5.083393E-6	-5.083393E-6	-1.971599E-11	1.967578E+1
-1.500000E-1	2.914078E-6	-2.914078E-6	-1.130228E-11	2.019922E+1
-1.000000E-1	1.595271E-6	-1.595271E-6	-6.187273E-12	2.072266E+1
-5.000000E-2	3.883696E-7	-3.883696E-7	-1.506295E-12	2.124609E+1
0.000000E+0	3.094075E-7	3.094075E-7	1.200040E-12	2.176953E+1
