voltage_10_2_21	absJ_10_2_21	J_10_2_21	current_10_2_21	time_10_2_21	
0.000000E+0	4.877554E-7	4.877554E-7	3.197081E-12	0.000000E+0
5.000000E-2	5.900357E-6	5.900357E-6	3.867496E-11	5.234375E-1
1.000000E-1	9.232386E-6	9.232386E-6	6.051534E-11	1.046875E+0
1.500000E-1	1.177235E-5	1.177235E-5	7.716400E-11	1.570313E+0
2.000000E-1	4.271321E-5	4.271321E-5	2.799715E-10	2.176758E+0
2.500000E-1	5.456958E-5	5.456958E-5	3.576862E-10	2.365234E+0
3.000000E-1	8.315403E-5	8.315403E-5	5.450481E-10	2.553711E+0
3.500000E-1	1.195460E-4	1.195460E-4	7.835856E-10	3.129883E+0
4.000000E-1	1.554983E-4	1.554983E-4	1.019242E-9	3.317383E+0
4.500000E-1	2.027626E-4	2.027626E-4	1.329044E-9	3.505859E+0
5.000000E-1	2.581886E-4	2.581886E-4	1.692344E-9	3.693359E+0
5.000000E-1	2.603111E-4	2.603111E-4	1.706256E-9	3.881836E+0
4.500000E-1	2.049361E-4	2.049361E-4	1.343291E-9	4.070313E+0
4.000000E-1	1.534076E-4	1.534076E-4	1.005538E-9	4.257813E+0
3.500000E-1	1.047774E-4	1.047774E-4	6.867826E-10	4.669922E+0
3.000000E-1	8.288918E-5	8.288918E-5	5.433121E-10	4.858398E+0
2.500000E-1	6.215939E-5	6.215939E-5	4.074350E-10	5.046875E+0
2.000000E-1	4.276803E-5	4.276803E-5	2.803308E-10	5.236328E+0
1.500000E-1	2.673178E-5	2.673178E-5	1.752183E-10	5.424805E+0
1.000000E-1	1.090058E-5	1.090058E-5	7.144982E-11	6.320313E+0
5.000000E-2	5.901186E-6	5.901186E-6	3.868039E-11	6.843750E+0
0.000000E+0	1.560543E-6	-1.560543E-6	-1.022886E-11	7.367188E+0
-5.000000E-2	5.789775E-6	-5.789775E-6	-3.795013E-11	7.890625E+0
-1.000000E-1	1.086891E-5	-1.086891E-5	-7.124226E-11	8.414063E+0
