voltage_2_2_21	absJ_2_2_21	J_2_2_21	current_2_2_21	time_2_2_21	
0.000000E+0	1.052949E-6	1.052949E-6	6.901743E-12	0.000000E+0
5.000000E-2	8.083857E-6	8.083857E-6	5.298710E-11	5.234375E-1
1.000000E-1	2.562683E-5	2.562683E-5	1.679757E-10	1.128906E+0
1.500000E-1	4.654378E-5	4.654378E-5	3.050796E-10	1.318359E+0
2.000000E-1	7.654672E-5	7.654672E-5	5.017393E-10	1.506836E+0
2.500000E-1	1.119583E-4	1.119583E-4	7.338512E-10	2.083008E+0
3.000000E-1	1.636592E-4	1.636592E-4	1.072734E-9	2.270508E+0
3.500000E-1	2.183514E-4	2.183514E-4	1.431224E-9	2.458984E+0
4.000000E-1	2.973066E-4	2.973066E-4	1.948750E-9	2.646484E+0
4.500000E-1	3.809654E-4	3.809654E-4	2.497107E-9	2.834961E+0
5.000000E-1	4.792152E-4	4.792152E-4	3.141103E-9	3.023438E+0
5.000000E-1	4.811833E-4	4.811833E-4	3.154003E-9	3.210938E+0
4.500000E-1	3.870460E-4	3.870460E-4	2.536963E-9	3.399414E+0
4.000000E-1	3.220900E-4	3.220900E-4	2.111197E-9	3.586914E+0
3.500000E-1	2.216680E-4	2.216680E-4	1.452963E-9	3.775391E+0
3.000000E-1	1.658914E-4	1.658914E-4	1.087365E-9	3.963867E+0
2.500000E-1	1.044570E-4	1.044570E-4	6.846821E-10	4.375000E+0
2.000000E-1	7.696005E-5	7.696005E-5	5.044486E-10	4.563477E+0
1.500000E-1	4.677457E-5	4.677457E-5	3.065924E-10	4.752930E+0
1.000000E-1	2.622033E-5	2.622033E-5	1.718659E-10	4.941406E+0
5.000000E-2	1.032751E-5	1.032751E-5	6.769352E-11	5.836914E+0
0.000000E+0	4.356546E-7	4.356546E-7	2.855577E-12	6.360352E+0
-5.000000E-2	1.036909E-5	-1.036909E-5	-6.796605E-11	6.883789E+0
-1.000000E-1	2.507059E-5	-2.507059E-5	-1.643297E-10	7.490234E+0
-1.500000E-1	4.072547E-5	-4.072547E-5	-2.669425E-10	7.678711E+0
-2.000000E-1	6.641008E-5	-6.641008E-5	-4.352969E-10	7.867188E+0
-2.500000E-1	1.140269E-4	-1.140269E-4	-7.474101E-10	8.443359E+0
-3.000000E-1	1.613970E-4	-1.613970E-4	-1.057906E-9	8.631836E+0
-3.500000E-1	2.150732E-4	-2.150732E-4	-1.409736E-9	8.819336E+0
-4.000000E-1	2.812739E-4	-2.812739E-4	-1.843661E-9	9.007813E+0
-4.500000E-1	3.612199E-4	-3.612199E-4	-2.367681E-9	9.195313E+0
-5.000000E-1	4.493497E-4	-4.493497E-4	-2.945344E-9	9.383789E+0
-5.000000E-1	4.489187E-4	-4.489187E-4	-2.942519E-9	9.572266E+0
-4.500000E-1	3.623264E-4	-3.623264E-4	-2.374934E-9	9.759766E+0
-4.000000E-1	2.858339E-4	-2.858339E-4	-1.873550E-9	9.948242E+0
-3.500000E-1	2.207543E-4	-2.207543E-4	-1.446974E-9	1.013672E+1
-3.000000E-1	1.627277E-4	-1.627277E-4	-1.066628E-9	1.032422E+1
-2.500000E-1	1.046856E-4	-1.046856E-4	-6.861804E-10	1.073633E+1
-2.000000E-1	7.354237E-5	-7.354237E-5	-4.820468E-10	1.092480E+1
-1.500000E-1	4.802659E-5	-4.802659E-5	-3.147990E-10	1.111328E+1
-1.000000E-1	2.069297E-5	-2.069297E-5	-1.356358E-10	1.130273E+1
-5.000000E-2	9.124906E-6	-9.124906E-6	-5.981085E-11	1.219727E+1
0.000000E+0	7.184429E-7	-7.184429E-7	-4.709164E-12	1.272070E+1
0.000000E+0	1.105158E-6	1.105158E-6	7.243955E-12	1.324512E+1
5.000000E-2	9.556723E-6	9.556723E-6	6.264127E-11	1.376855E+1
1.000000E-1	1.020689E-5	1.020689E-5	6.690291E-11	1.429199E+1
1.500000E-1	4.756935E-5	4.756935E-5	3.118019E-10	1.489746E+1
2.000000E-1	7.697332E-5	7.697332E-5	5.045356E-10	1.508691E+1
2.500000E-1	1.048475E-4	1.048475E-4	6.872418E-10	1.527539E+1
3.000000E-1	1.697886E-4	1.697886E-4	1.112910E-9	1.585156E+1
3.500000E-1	2.321442E-4	2.321442E-4	1.521631E-9	1.603906E+1
4.000000E-1	3.102450E-4	3.102450E-4	2.033557E-9	1.622754E+1
4.500000E-1	3.959152E-4	3.959152E-4	2.595098E-9	1.641504E+1
5.000000E-1	4.991871E-4	4.991871E-4	3.272012E-9	1.660352E+1
5.000000E-1	4.977460E-4	4.977460E-4	3.262566E-9	1.679199E+1
4.500000E-1	4.017443E-4	4.017443E-4	2.633306E-9	1.697949E+1
4.000000E-1	3.124936E-4	3.124936E-4	2.048296E-9	1.716797E+1
3.500000E-1	2.380004E-4	2.380004E-4	1.560017E-9	1.735547E+1
3.000000E-1	1.726209E-4	1.726209E-4	1.131475E-9	1.754395E+1
2.500000E-1	1.052649E-4	1.052649E-4	6.899781E-10	1.795605E+1
2.000000E-1	8.033136E-5	8.033136E-5	5.265464E-10	1.814453E+1
1.500000E-1	4.918526E-5	4.918526E-5	3.223937E-10	1.833301E+1
1.000000E-1	2.724281E-5	2.724281E-5	1.785679E-10	1.852148E+1
5.000000E-2	1.130133E-5	1.130133E-5	7.407663E-11	1.950000E+1
0.000000E+0	1.039053E-7	1.039053E-7	6.810663E-13	2.039551E+1
-5.000000E-2	1.044833E-5	-1.044833E-5	-6.848550E-11	2.091895E+1
-1.000000E-1	2.570792E-5	-2.570792E-5	-1.685072E-10	2.152539E+1
-1.500000E-1	4.955075E-5	-4.955075E-5	-3.247894E-10	2.171387E+1
-2.000000E-1	7.917193E-5	-7.917193E-5	-5.189468E-10	2.190234E+1
-2.500000E-1	1.161486E-4	-1.161486E-4	-7.613172E-10	2.247852E+1
-3.000000E-1	1.628255E-4	-1.628255E-4	-1.067269E-9	2.266602E+1
-3.500000E-1	2.213696E-4	-2.213696E-4	-1.451007E-9	2.285449E+1
-4.000000E-1	2.894252E-4	-2.894252E-4	-1.897090E-9	2.304297E+1
