voltage_8_1_500mv_500ms	absJ_8_1_500mv_500ms	J_8_1_500mv_500ms	current_8_1_500mv_500ms	time_8_1_500mv_500ms	
0.000000E+0	3.393814E-7	-3.393814E-7	-1.316294E-12	0.000000E+0
5.000000E-2	3.817786E-5	3.817786E-5	1.480732E-10	2.013672E+0
1.000000E-1	9.307901E-5	9.307901E-5	3.610078E-10	2.680664E+0
1.500000E-1	1.954387E-4	1.954387E-4	7.580109E-10	3.348633E+0
2.000000E-1	2.143949E-4	2.143949E-4	8.315325E-10	4.016602E+0
2.500000E-1	6.234165E-4	6.234165E-4	2.417927E-9	6.030273E+0
3.000000E-1	6.666840E-4	6.666840E-4	2.585740E-9	6.697266E+0
3.500000E-1	1.060959E-3	1.060959E-3	4.114938E-9	8.709961E+0
4.000000E-1	2.989306E-3	2.989306E-3	1.159405E-8	9.376953E+0
4.500000E-1	1.126262E-3	1.126262E-3	4.368217E-9	1.071680E+1
5.000000E-1	1.440392E-3	1.440392E-3	5.586575E-9	1.138379E+1
5.000000E-1	1.807724E-3	1.807724E-3	7.011275E-9	1.205176E+1
4.500000E-1	1.208186E-3	1.208186E-3	4.685962E-9	1.271875E+1
4.000000E-1	1.193940E-3	1.193940E-3	4.630707E-9	1.338574E+1
3.500000E-1	1.335918E-3	1.335918E-3	5.181372E-9	1.405273E+1
3.000000E-1	6.030858E-4	6.030858E-4	2.339074E-9	1.472070E+1
2.500000E-1	3.569423E-4	3.569423E-4	1.384404E-9	1.538770E+1
2.000000E-1	2.905823E-4	2.905823E-4	1.127026E-9	1.807324E+1
1.500000E-1	1.037638E-4	1.037638E-4	4.024488E-10	1.941309E+1
1.000000E-1	8.281331E-5	8.281331E-5	3.211922E-10	2.008105E+1
5.000000E-2	5.134297E-5	5.134297E-5	1.991342E-10	2.074902E+1
0.000000E+0	5.009839E-7	5.009839E-7	1.943071E-12	2.252246E+1
-5.000000E-2	2.432479E-5	-2.432479E-5	-9.434392E-11	2.352539E+1
-1.000000E-1	7.823990E-5	-7.823990E-5	-3.034542E-10	2.553906E+1
-1.500000E-1	1.080905E-4	-1.080905E-4	-4.192301E-10	2.620703E+1
-2.000000E-1	2.409771E-4	-2.409771E-4	-9.346318E-10	2.687402E+1
-2.500000E-1	3.295047E-4	-3.295047E-4	-1.277987E-9	2.888770E+1
-3.000000E-1	2.868321E-4	-2.868321E-4	-1.112481E-9	2.955469E+1
-3.500000E-1	6.593827E-4	-6.593827E-4	-2.557422E-9	3.022168E+1
-4.000000E-1	7.903944E-4	-7.903944E-4	-3.065552E-9	3.088867E+1
-4.500000E-1	5.893292E-4	-5.893292E-4	-2.285719E-9	3.155566E+1
-5.000000E-1	9.009639E-4	-9.009639E-4	-3.494397E-9	3.222363E+1
-5.000000E-1	1.171019E-3	-1.171019E-3	-4.541808E-9	3.289063E+1
-4.500000E-1	1.146920E-3	-1.146920E-3	-4.448341E-9	3.355762E+1
-4.000000E-1	6.068674E-4	-6.068674E-4	-2.353741E-9	3.422461E+1
-3.500000E-1	4.495477E-4	-4.495477E-4	-1.743575E-9	3.489258E+1
-3.000000E-1	2.555725E-4	-2.555725E-4	-9.912403E-10	3.623242E+1
-2.500000E-1	1.942630E-4	-1.942630E-4	-7.534510E-10	3.689941E+1
-2.000000E-1	2.008139E-4	-2.008139E-4	-7.788586E-10	3.756738E+1
-1.500000E-1	9.378626E-5	-9.378626E-5	-3.637509E-10	3.823535E+1
-1.000000E-1	5.756549E-5	-5.756549E-5	-2.232683E-10	3.890332E+1
-5.000000E-2	1.713219E-5	-1.713219E-5	-6.644736E-11	4.067676E+1
0.000000E+0	7.410653E-8	-7.410653E-8	-2.874229E-13	4.167969E+1
