voltage_1_1_500mv_500ms_c	absJ_1_1_500mv_500ms_c	J_1_1_500mv_500ms_c	current_1_1_500mv_500ms_c	time_1_1_500mv_500ms_c	
0.000000E+0	3.856172E-6	-3.856172E-6	-1.495620E-11	0.000000E+0
5.000000E-2	1.925640E-3	1.925640E-3	7.468614E-9	1.115234E+0
1.000000E-1	4.556593E-3	4.556593E-3	1.767279E-8	2.229492E+0
1.500000E-1	8.528295E-3	8.528295E-3	3.307707E-8	2.596680E+0
2.000000E-1	1.433012E-2	1.433012E-2	5.557951E-8	2.964844E+0
2.500000E-1	2.264212E-2	2.264212E-2	8.781767E-8	3.333008E+0
3.000000E-1	3.369983E-2	3.369983E-2	1.307051E-7	4.452148E+0
3.500000E-1	4.732952E-2	4.732952E-2	1.835680E-7	4.820313E+0
4.000000E-1	6.420823E-2	6.420823E-2	2.490322E-7	5.188477E+0
4.500000E-1	8.411850E-2	8.411850E-2	3.262544E-7	5.555664E+0
5.000000E-1	1.078723E-1	1.078723E-1	4.183836E-7	5.923828E+0
5.000000E-1	1.080503E-1	1.080503E-1	4.190742E-7	6.291016E+0
4.500000E-1	8.369493E-2	8.369493E-2	3.246116E-7	6.659180E+0
4.000000E-1	6.380005E-2	6.380005E-2	2.474491E-7	7.027344E+0
3.500000E-1	4.708087E-2	4.708087E-2	1.826036E-7	7.394531E+0
3.000000E-1	3.343599E-2	3.343599E-2	1.296818E-7	7.762695E+0
2.500000E-1	2.277383E-2	2.277383E-2	8.832850E-8	8.503906E+0
2.000000E-1	1.452335E-2	1.452335E-2	5.632894E-8	8.871094E+0
1.500000E-1	8.538148E-3	8.538148E-3	3.311529E-8	9.239258E+0
1.000000E-1	4.586378E-3	4.586378E-3	1.778831E-8	9.607422E+0
5.000000E-2	1.931437E-3	1.931437E-3	7.491095E-9	1.034863E+1
0.000000E+0	4.760543E-6	-4.760543E-6	-1.846381E-11	1.152246E+1
-5.000000E-2	1.888334E-3	-1.888334E-3	-7.323923E-9	1.263770E+1
-1.000000E-1	4.493154E-3	-4.493154E-3	-1.742674E-8	1.375195E+1
-1.500000E-1	8.193250E-3	-8.193250E-3	-3.177760E-8	1.412012E+1
-2.000000E-1	1.371140E-2	-1.371140E-2	-5.317979E-8	1.448828E+1
-2.500000E-1	2.112216E-2	-2.112216E-2	-8.192249E-8	1.485547E+1
-3.000000E-1	3.081986E-2	-3.081986E-2	-1.195351E-7	1.597559E+1
-3.500000E-1	4.250530E-2	-4.250530E-2	-1.648572E-7	1.634375E+1
-4.000000E-1	5.693118E-2	-5.693118E-2	-2.208081E-7	1.671094E+1
-4.500000E-1	7.379186E-2	-7.379186E-2	-2.862024E-7	1.707910E+1
-5.000000E-1	9.346645E-2	-9.346645E-2	-3.625105E-7	1.744727E+1
-5.000000E-1	9.292387E-2	-9.292387E-2	-3.604061E-7	1.781445E+1
-4.500000E-1	7.365394E-2	-7.365394E-2	-2.856675E-7	1.818262E+1
-4.000000E-1	5.694628E-2	-5.694628E-2	-2.208667E-7	1.855078E+1
-3.500000E-1	4.260240E-2	-4.260240E-2	-1.652338E-7	1.891797E+1
-3.000000E-1	3.095112E-2	-3.095112E-2	-1.200442E-7	1.928613E+1
-2.500000E-1	2.147799E-2	-2.147799E-2	-8.330260E-8	2.002734E+1
-2.000000E-1	1.404609E-2	-1.404609E-2	-5.447791E-8	2.039453E+1
-1.500000E-1	8.315424E-3	-8.315424E-3	-3.225145E-8	2.076270E+1
-1.000000E-1	4.533945E-3	-4.533945E-3	-1.758495E-8	2.113086E+1
-5.000000E-2	1.980652E-3	-1.980652E-3	-7.681978E-9	2.187109E+1
0.000000E+0	4.493448E-6	-4.493448E-6	-1.742788E-11	2.304590E+1
0.000000E+0	3.876984E-6	-3.876984E-6	-1.503692E-11	2.375000E+1
5.000000E-2	1.970811E-3	1.970811E-3	7.643808E-9	2.486426E+1
1.000000E-1	4.682113E-3	4.682113E-3	1.815962E-8	2.597852E+1
1.500000E-1	8.760569E-3	8.760569E-3	3.397795E-8	2.634668E+1
2.000000E-1	1.485148E-2	1.485148E-2	5.760160E-8	2.671387E+1
2.500000E-1	2.314559E-2	2.314559E-2	8.977039E-8	2.708203E+1
3.000000E-1	3.429219E-2	3.429219E-2	1.330026E-7	2.820215E+1
3.500000E-1	4.833393E-2	4.833393E-2	1.874636E-7	2.856934E+1
4.000000E-1	6.524243E-2	6.524243E-2	2.530434E-7	2.893750E+1
4.500000E-1	8.518935E-2	8.518935E-2	3.304077E-7	2.930566E+1
5.000000E-1	1.094431E-1	1.094431E-1	4.244761E-7	2.967285E+1
5.000000E-1	1.099881E-1	1.099881E-1	4.265897E-7	3.004102E+1
4.500000E-1	8.553373E-2	8.553373E-2	3.317434E-7	3.040820E+1
