voltage_1_1_500mv_500ms	absJ_1_1_500mv_500ms	J_1_1_500mv_500ms	current_1_1_500mv_500ms	time_1_1_500mv_500ms	
0.000000E+0	2.176344E-7	-2.176344E-7	-1.215500E-12	0.000000E+0
5.000000E-2	8.424821E-5	8.424821E-5	4.705308E-10	2.013672E+0
1.000000E-1	1.765027E-4	1.765027E-4	9.857769E-10	2.681641E+0
1.500000E-1	2.792161E-4	2.792161E-4	1.559437E-9	4.694336E+0
2.000000E-1	3.908944E-4	3.908944E-4	2.183166E-9	5.362305E+0
2.500000E-1	5.130534E-4	5.130534E-4	2.865431E-9	6.029297E+0
3.000000E-1	6.497848E-4	6.497848E-4	3.629083E-9	6.696289E+0
3.500000E-1	7.987383E-4	7.987383E-4	4.460996E-9	7.364258E+0
4.000000E-1	9.636142E-4	9.636142E-4	5.381837E-9	8.031250E+0
4.500000E-1	1.144860E-3	1.144860E-3	6.394107E-9	8.698242E+0
5.000000E-1	1.346003E-3	1.346003E-3	7.517501E-9	9.365234E+0
5.000000E-1	1.367690E-3	1.367690E-3	7.638622E-9	1.003320E+1
4.500000E-1	1.154264E-3	1.154264E-3	6.446629E-9	1.070020E+1
4.000000E-1	9.515823E-4	9.515823E-4	5.314638E-9	1.136719E+1
3.500000E-1	7.904376E-4	7.904376E-4	4.414636E-9	1.203418E+1
3.000000E-1	6.376680E-4	6.376680E-4	3.561410E-9	1.270215E+1
2.500000E-1	5.030809E-4	5.030809E-4	2.809734E-9	1.336914E+1
2.000000E-1	3.814706E-4	3.814706E-4	2.130534E-9	1.403613E+1
1.500000E-1	2.718370E-4	2.718370E-4	1.518224E-9	1.470410E+1
1.000000E-1	1.718203E-4	1.718203E-4	9.596257E-10	1.604395E+1
5.000000E-2	8.212809E-5	8.212809E-5	4.586898E-10	1.671191E+1
0.000000E+0	1.316054E-7	-1.316054E-7	-7.350232E-13	1.848535E+1
-5.000000E-2	7.630242E-5	-7.630242E-5	-4.261531E-10	2.049902E+1
-1.000000E-1	1.484012E-4	-1.484012E-4	-8.288285E-10	2.116699E+1
-1.500000E-1	2.168608E-4	-2.168608E-4	-1.211179E-9	2.318066E+1
-2.000000E-1	2.829459E-4	-2.829459E-4	-1.580268E-9	2.384766E+1
-2.500000E-1	3.468173E-4	-3.468173E-4	-1.936993E-9	2.451465E+1
-3.000000E-1	4.078382E-4	-4.078382E-4	-2.277798E-9	2.518164E+1
-3.500000E-1	4.689563E-4	-4.689563E-4	-2.619146E-9	2.584863E+1
-4.000000E-1	5.264299E-4	-5.264299E-4	-2.940139E-9	2.651660E+1
-4.500000E-1	5.838306E-4	-5.838306E-4	-3.260725E-9	2.718359E+1
-5.000000E-1	6.406601E-4	-6.406601E-4	-3.578121E-9	2.785059E+1
-5.000000E-1	6.400005E-4	-6.400005E-4	-3.574437E-9	2.851758E+1
-4.500000E-1	5.818376E-4	-5.818376E-4	-3.249594E-9	2.918457E+1
-4.000000E-1	5.233726E-4	-5.233726E-4	-2.923064E-9	2.985254E+1
-3.500000E-1	4.635031E-4	-4.635031E-4	-2.588690E-9	3.051953E+1
-3.000000E-1	4.036853E-4	-4.036853E-4	-2.254604E-9	3.118652E+1
-2.500000E-1	3.417505E-4	-3.417505E-4	-1.908695E-9	3.185352E+1
-2.000000E-1	2.788698E-4	-2.788698E-4	-1.557503E-9	3.252051E+1
-1.500000E-1	2.135100E-4	-2.135100E-4	-1.192465E-9	3.318848E+1
-1.000000E-1	1.450281E-4	-1.450281E-4	-8.099895E-10	3.452832E+1
-5.000000E-2	7.456893E-5	-7.456893E-5	-4.164715E-10	3.519531E+1
0.000000E+0	2.176196E-7	-2.176196E-7	-1.215417E-12	3.696973E+1
