voltage_5_1_500mv_500ms	absJ_5_1_500mv_500ms	J_5_1_500mv_500ms	current_5_1_500mv_500ms	time_5_1_500mv_500ms	
0.000000E+0	3.368574E-7	-3.368574E-7	-2.939635E-12	0.000000E+0
5.000000E-2	1.314274E-4	1.314274E-4	1.146920E-9	2.012695E+0
1.000000E-1	3.196065E-4	3.196065E-4	2.789093E-9	2.680664E+0
1.500000E-1	5.925900E-4	5.925900E-4	5.171323E-9	3.347656E+0
2.000000E-1	9.945726E-4	9.945726E-4	8.679283E-9	4.014648E+0
2.500000E-1	1.550725E-3	1.550725E-3	1.353263E-8	6.027344E+0
3.000000E-1	2.387018E-3	2.387018E-3	2.083066E-8	6.694336E+0
3.500000E-1	3.433250E-3	3.433250E-3	2.996076E-8	7.362305E+0
4.000000E-1	4.669763E-3	4.669763E-3	4.075137E-8	8.029297E+0
4.500000E-1	6.229286E-3	6.229286E-3	5.436078E-8	8.696289E+0
5.000000E-1	8.065675E-3	8.065675E-3	7.038629E-8	9.363281E+0
5.000000E-1	8.099692E-3	8.099692E-3	7.068314E-8	1.003125E+1
4.500000E-1	6.293474E-3	6.293474E-3	5.492092E-8	1.069824E+1
4.000000E-1	4.743856E-3	4.743856E-3	4.139795E-8	1.136523E+1
3.500000E-1	3.456996E-3	3.456996E-3	3.016798E-8	1.203320E+1
3.000000E-1	2.432150E-3	2.432150E-3	2.122451E-8	1.270020E+1
2.500000E-1	1.639404E-3	1.639404E-3	1.430650E-8	1.336719E+1
2.000000E-1	1.044064E-3	1.044064E-3	9.111181E-9	1.470703E+1
1.500000E-1	6.147350E-4	6.147350E-4	5.364575E-9	1.537402E+1
1.000000E-1	3.248937E-4	3.248937E-4	2.835232E-9	1.604199E+1
5.000000E-2	1.333183E-4	1.333183E-4	1.163422E-9	1.670898E+1
0.000000E+0	3.184658E-7	-3.184658E-7	-2.779138E-12	1.848242E+1
-5.000000E-2	1.327209E-4	-1.327209E-4	-1.158208E-9	2.049609E+1
-1.000000E-1	3.131496E-4	-3.131496E-4	-2.732746E-9	2.116309E+1
-1.500000E-1	5.995378E-4	-5.995378E-4	-5.231954E-9	2.183008E+1
-2.000000E-1	9.987229E-4	-9.987229E-4	-8.715500E-9	2.249805E+1
-2.500000E-1	1.579483E-3	-1.579483E-3	-1.378359E-8	2.450977E+1
-3.000000E-1	2.310093E-3	-2.310093E-3	-2.015936E-8	2.517773E+1
-3.500000E-1	3.260268E-3	-3.260268E-3	-2.845121E-8	2.584473E+1
-4.000000E-1	4.376570E-3	-4.376570E-3	-3.819278E-8	2.651172E+1
-4.500000E-1	5.767429E-3	-5.767429E-3	-5.033031E-8	2.717871E+1
-5.000000E-1	7.434425E-3	-7.434425E-3	-6.487760E-8	2.784570E+1
-5.000000E-1	7.421958E-3	-7.421958E-3	-6.476880E-8	2.851367E+1
-4.500000E-1	5.807204E-3	-5.807204E-3	-5.067741E-8	2.918066E+1
-4.000000E-1	4.485562E-3	-4.485562E-3	-3.914391E-8	2.984766E+1
-3.500000E-1	3.376661E-3	-3.376661E-3	-2.946693E-8	3.051465E+1
-3.000000E-1	2.380713E-3	-2.380713E-3	-2.077564E-8	3.118164E+1
-2.500000E-1	1.607540E-3	-1.607540E-3	-1.402843E-8	3.184961E+1
-2.000000E-1	1.049922E-3	-1.049922E-3	-9.162300E-9	3.318945E+1
-1.500000E-1	6.194578E-4	-6.194578E-4	-5.405789E-9	3.385645E+1
-1.000000E-1	3.363656E-4	-3.363656E-4	-2.935344E-9	3.452344E+1
-5.000000E-2	1.451252E-4	-1.451252E-4	-1.266456E-9	3.519043E+1
0.000000E+0	3.732460E-7	-3.732460E-7	-3.257186E-12	3.696387E+1
