voltage_3_1_500mv_500ms	absJ_3_1_500mv_500ms	J_3_1_500mv_500ms	current_3_1_500mv_500ms	time_3_1_500mv_500ms	
0.000000E+0	1.601354E-7	1.601354E-7	6.210865E-13	0.000000E+0
5.000000E-2	2.664415E-7	2.664415E-7	1.033396E-12	1.002930E+0
1.000000E-1	3.401866E-7	3.401866E-7	1.319417E-12	2.005859E+0
1.500000E-1	4.929760E-7	4.929760E-7	1.912012E-12	3.007813E+0
2.000000E-1	6.868244E-7	6.868244E-7	2.663855E-12	4.010742E+0
2.500000E-1	1.191751E-6	1.191751E-6	4.622219E-12	5.013672E+0
3.000000E-1	1.578203E-6	1.578203E-6	6.121076E-12	6.015625E+0
3.500000E-1	1.759947E-6	1.759947E-6	6.825970E-12	7.018555E+0
4.000000E-1	1.968891E-6	1.968891E-6	7.636364E-12	8.021484E+0
4.500000E-1	2.722842E-6	2.722842E-6	1.056057E-11	9.023438E+0
5.000000E-1	3.344960E-6	3.344960E-6	1.297346E-11	1.002637E+1
5.000000E-1	5.831477E-6	5.831477E-6	2.261744E-11	1.102930E+1
4.500000E-1	4.619491E-6	4.619491E-6	1.791674E-11	1.203125E+1
4.000000E-1	4.056037E-6	4.056037E-6	1.573138E-11	1.303418E+1
3.500000E-1	4.031069E-6	4.031069E-6	1.563454E-11	1.403711E+1
3.000000E-1	2.928398E-6	2.928398E-6	1.135782E-11	1.503906E+1
2.500000E-1	1.580572E-6	1.580572E-6	6.130263E-12	1.604199E+1
2.000000E-1	1.057332E-6	1.057332E-6	4.100872E-12	1.704492E+1
1.500000E-1	6.284223E-7	6.284223E-7	2.437342E-12	1.804688E+1
1.000000E-1	3.318566E-7	3.318566E-7	1.287109E-12	1.904980E+1
5.000000E-2	1.490611E-7	1.490611E-7	5.781348E-13	2.005273E+1
0.000000E+0	3.467559E-8	3.467559E-8	1.344896E-13	2.105469E+1
-5.000000E-2	1.309844E-7	-1.309844E-7	-5.080242E-13	2.205762E+1
-1.000000E-1	2.896528E-7	-2.896528E-7	-1.123421E-12	2.306055E+1
-1.500000E-1	4.197391E-7	-4.197391E-7	-1.627962E-12	2.406250E+1
-2.000000E-1	6.048747E-7	-6.048747E-7	-2.346012E-12	2.506543E+1
-2.500000E-1	8.116116E-7	-8.116116E-7	-3.147843E-12	2.606836E+1
-3.000000E-1	9.366776E-7	-9.366776E-7	-3.632913E-12	2.707031E+1
-3.500000E-1	1.381170E-6	-1.381170E-6	-5.356882E-12	2.807324E+1
-4.000000E-1	1.343890E-6	-1.343890E-6	-5.212289E-12	2.907520E+1
-4.500000E-1	1.338844E-6	-1.338844E-6	-5.192721E-12	3.007813E+1
-5.000000E-1	1.265210E-6	-1.265210E-6	-4.907130E-12	3.108008E+1
-5.000000E-1	1.601786E-6	-1.601786E-6	-6.212544E-12	3.208301E+1
-4.500000E-1	1.208368E-6	-1.208368E-6	-4.686668E-12	3.308496E+1
-4.000000E-1	8.824405E-7	-8.824405E-7	-3.422554E-12	3.408789E+1
-3.500000E-1	7.434446E-7	-7.434446E-7	-2.883457E-12	3.509082E+1
-3.000000E-1	6.289877E-7	-6.289877E-7	-2.439535E-12	3.609277E+1
-2.500000E-1	4.341982E-7	-4.341982E-7	-1.684042E-12	3.709570E+1
-2.000000E-1	2.001567E-7	-2.001567E-7	-7.763096E-13	3.809766E+1
-1.500000E-1	1.159670E-7	-1.159670E-7	-4.497791E-13	3.910059E+1
-1.000000E-1	5.971173E-8	5.971173E-8	2.315925E-13	4.010352E+1
-5.000000E-2	1.380369E-7	1.380369E-7	5.353773E-13	4.110547E+1
0.000000E+0	2.390437E-7	2.390437E-7	9.271334E-13	4.210840E+1
