voltage_1_1_500mv_500ms	absJ_1_1_500mv_500ms	J_1_1_500mv_500ms	current_1_1_500mv_500ms	time_1_1_500mv_500ms	
0.000000E+0	4.828953E-6	-4.828953E-6	-2.266226E-11	0.000000E+0
5.000000E-2	2.395229E-5	2.395229E-5	1.124080E-10	2.013672E+0
1.000000E-1	4.891037E-5	4.891037E-5	2.295362E-10	2.681641E+0
1.500000E-1	6.814167E-5	6.814167E-5	3.197886E-10	3.349609E+0
2.000000E-1	1.126251E-4	1.126251E-4	5.285494E-10	4.017578E+0
2.500000E-1	1.143013E-5	1.143013E-5	5.364154E-11	6.030273E+0
3.000000E-1	1.457914E-5	1.457914E-5	6.841987E-11	7.803711E+0
3.500000E-1	1.925632E-5	1.925632E-5	9.036982E-11	9.817383E+0
4.000000E-1	2.564519E-5	2.564519E-5	1.203528E-10	1.293555E+1
4.500000E-1	4.483630E-5	4.483630E-5	2.104166E-10	1.360352E+1
5.000000E-1	6.355519E-5	6.355519E-5	2.982643E-10	1.427148E+1
5.000000E-1	7.461280E-5	7.461280E-5	3.501576E-10	1.493945E+1
4.500000E-1	2.646128E-5	2.646128E-5	1.241827E-10	1.772461E+1
4.000000E-1	1.179678E-5	1.179678E-5	5.536224E-11	1.949805E+1
3.500000E-1	2.929855E-5	2.929855E-5	1.374980E-10	2.151172E+1
3.000000E-1	1.929540E-5	1.929540E-5	9.055325E-11	2.328516E+1
2.500000E-1	1.902530E-4	1.902530E-4	8.928566E-10	2.529883E+1
2.000000E-1	3.066058E-5	3.066058E-5	1.438900E-10	2.596582E+1
1.500000E-1	1.517692E-5	1.517692E-5	7.122521E-11	2.774023E+1
1.000000E-1	8.267577E-6	8.267577E-6	3.879971E-11	2.874219E+1
5.000000E-2	3.187663E-6	3.187663E-6	1.495969E-11	2.974512E+1
0.000000E+0	9.347184E-8	9.347184E-8	4.386630E-13	3.074707E+1
-5.000000E-2	2.632834E-6	-2.632834E-6	-1.235588E-11	3.175000E+1
-1.000000E-1	7.658868E-6	-7.658868E-6	-3.594304E-11	3.275293E+1
-1.500000E-1	1.271000E-5	-1.271000E-5	-5.964799E-11	3.375586E+1
-2.000000E-1	1.549490E-5	-1.549490E-5	-7.271750E-11	3.475781E+1
-2.500000E-1	2.943961E-5	-2.943961E-5	-1.381600E-10	3.677148E+1
-3.000000E-1	4.999946E-5	-4.999946E-5	-2.346473E-10	3.743945E+1
-3.500000E-1	7.184881E-5	-7.184881E-5	-3.371862E-10	3.810645E+1
-4.000000E-1	5.421532E-5	-5.421532E-5	-2.544323E-10	3.877441E+1
-4.500000E-1	6.761957E-5	-6.761957E-5	-3.173384E-10	3.944238E+1
-5.000000E-1	8.025431E-5	-8.025431E-5	-3.766332E-10	4.011035E+1
-5.000000E-1	7.228584E-5	-7.228584E-5	-3.392372E-10	4.077832E+1
-4.500000E-1	6.316772E-5	-6.316772E-5	-2.964459E-10	4.144531E+1
-4.000000E-1	4.697568E-5	-4.697568E-5	-2.204567E-10	4.211328E+1
-3.500000E-1	3.807757E-5	-3.807757E-5	-1.786979E-10	4.278125E+1
-3.000000E-1	3.279419E-5	-3.279419E-5	-1.539030E-10	4.344922E+1
-2.500000E-1	2.748964E-5	-2.748964E-5	-1.290088E-10	4.411719E+1
-2.000000E-1	2.629544E-5	-2.629544E-5	-1.234044E-10	4.690137E+1
-1.500000E-1	1.623751E-5	-1.623751E-5	-7.620256E-11	4.867480E+1
-1.000000E-1	9.936315E-6	-9.936315E-6	-4.663109E-11	4.967773E+1
-5.000000E-2	4.237122E-6	-4.237122E-6	-1.988480E-11	5.067969E+1
0.000000E+0	6.760881E-8	6.760881E-8	3.172879E-13	5.168262E+1
