voltage_1_1_500mv_500ms	absJ_1_1_500mv_500ms	J_1_1_500mv_500ms	current_1_1_500mv_500ms	time_1_1_500mv_500ms	
0.000000E+0	2.382757E-7	-2.382757E-7	-1.811343E-12	0.000000E+0
5.000000E-2	1.791727E-5	1.791727E-5	1.362049E-10	2.680664E+0
1.000000E-1	5.260781E-5	5.260781E-5	3.999182E-10	3.347656E+0
1.500000E-1	7.754022E-5	7.754022E-5	5.894513E-10	4.015625E+0
2.000000E-1	1.475596E-4	1.475596E-4	1.121730E-9	6.029297E+0
2.500000E-1	1.086872E-4	1.086872E-4	8.262269E-10	7.369141E+0
3.000000E-1	1.104002E-4	1.104002E-4	8.392490E-10	8.037109E+0
3.500000E-1	1.234277E-4	1.234277E-4	9.382823E-10	1.004980E+1
4.000000E-1	6.327489E-5	6.327489E-5	4.810080E-10	1.138965E+1
4.500000E-1	2.904933E-5	2.904933E-5	2.208295E-10	1.205762E+1
5.000000E-1	3.306254E-5	3.306254E-5	2.513374E-10	1.272559E+1
5.000000E-1	3.116072E-5	3.116072E-5	2.368800E-10	1.339355E+1
4.500000E-1	1.916458E-5	1.916458E-5	1.456868E-10	1.406055E+1
4.000000E-1	1.623960E-5	1.623960E-5	1.234515E-10	1.472852E+1
3.500000E-1	8.605130E-6	8.605130E-6	6.541515E-11	1.650293E+1
3.000000E-1	6.148285E-6	6.148285E-6	4.673852E-11	1.750586E+1
2.500000E-1	5.039648E-6	5.039648E-6	3.831079E-11	1.850781E+1
2.000000E-1	3.169052E-6	3.169052E-6	2.409075E-11	1.951074E+1
1.500000E-1	2.316429E-6	2.316429E-6	1.760921E-11	2.051270E+1
1.000000E-1	1.360508E-6	1.360508E-6	1.034242E-11	2.151562E+1
5.000000E-2	7.498781E-7	7.498781E-7	5.700482E-12	2.251855E+1
0.000000E+0	2.207483E-8	2.207483E-8	1.678102E-13	2.352051E+1
-5.000000E-2	7.346291E-7	-7.346291E-7	-5.584561E-12	2.452344E+1
-1.000000E-1	1.477860E-6	-1.477860E-6	-1.123451E-11	2.552637E+1
-1.500000E-1	2.247241E-6	-2.247241E-6	-1.708325E-11	2.652930E+1
-2.000000E-1	3.168222E-6	-3.168222E-6	-2.408444E-11	2.753125E+1
-2.500000E-1	4.069698E-6	-4.069698E-6	-3.093735E-11	2.853418E+1
-3.000000E-1	5.481160E-6	-5.481160E-6	-4.166711E-11	2.953613E+1
-3.500000E-1	6.939812E-6	-6.939812E-6	-5.275561E-11	3.053906E+1
-4.000000E-1	8.872708E-6	-8.872708E-6	-6.744925E-11	3.154102E+1
-4.500000E-1	9.348532E-6	-9.348532E-6	-7.106640E-11	3.254395E+1
-5.000000E-1	1.210093E-5	-1.210093E-5	-9.198976E-11	3.354687E+1
-5.000000E-1	7.335934E-5	-7.335934E-5	-5.576688E-10	3.639941E+1
-4.500000E-1	5.690939E-5	-5.690939E-5	-4.326183E-10	3.706738E+1
-4.000000E-1	2.532229E-5	-2.532229E-5	-1.924970E-10	3.773535E+1
-3.500000E-1	2.121276E-5	-2.121276E-5	-1.612568E-10	3.840332E+1
-3.000000E-1	2.030075E-5	-2.030075E-5	-1.543238E-10	3.907031E+1
-2.500000E-1	1.505179E-5	-1.505179E-5	-1.144219E-10	3.973828E+1
-2.000000E-1	5.787258E-6	-5.787258E-6	-4.399403E-11	4.151172E+1
-1.500000E-1	5.801829E-6	-5.801829E-6	-4.410480E-11	4.251465E+1
-1.000000E-1	3.342173E-6	-3.342173E-6	-2.540679E-11	4.351660E+1
-5.000000E-2	1.394442E-6	-1.394442E-6	-1.060038E-11	4.451953E+1
0.000000E+0	6.128085E-8	6.128085E-8	4.658496E-13	4.552246E+1
