voltage_1_17_21	absJ_1_17_21	J_1_17_21	current_1_17_21	time_1_17_21	
0.000000E+0	6.650426E-7	6.650426E-7	1.248417E-11	0.000000E+0
5.000000E-2	1.059537E-2	1.059537E-2	1.988961E-7	7.685547E-1
1.000000E-1	2.220701E-2	2.220701E-2	4.168696E-7	9.570313E-1
1.500000E-1	3.511922E-2	3.511922E-2	6.592575E-7	1.145508E+0
2.000000E-1	4.954079E-2	4.954079E-2	9.299789E-7	1.333008E+0
2.500000E-1	6.571313E-2	6.571313E-2	1.233566E-6	1.915039E+0
3.000000E-1	8.370553E-2	8.370553E-2	1.571319E-6	2.102539E+0
3.500000E-1	1.041990E-1	1.041990E-1	1.956022E-6	2.291016E+0
4.000000E-1	1.271228E-1	1.271228E-1	2.386348E-6	2.479492E+0
4.500000E-1	1.522833E-1	1.522833E-1	2.858660E-6	2.666992E+0
5.000000E-1	1.808086E-1	1.808086E-1	3.394136E-6	2.855469E+0
5.000000E-1	1.800337E-1	1.800337E-1	3.379591E-6	3.043945E+0
4.500000E-1	1.523256E-1	1.523256E-1	2.859454E-6	3.231445E+0
4.000000E-1	1.270051E-1	1.270051E-1	2.384138E-6	3.419922E+0
3.500000E-1	1.041436E-1	1.041436E-1	1.954983E-6	3.607422E+0
3.000000E-1	8.386017E-2	8.386017E-2	1.574222E-6	3.795898E+0
2.500000E-1	6.583097E-2	6.583097E-2	1.235778E-6	3.984375E+0
2.000000E-1	4.986659E-2	4.986659E-2	9.360950E-7	4.366211E+0
1.500000E-1	3.523259E-2	3.523259E-2	6.613857E-7	4.553711E+0
1.000000E-1	2.229770E-2	2.229770E-2	4.185721E-7	4.742188E+0
5.000000E-2	1.063602E-2	1.063602E-2	1.996593E-7	4.929688E+0
0.000000E+0	8.437914E-7	8.437914E-7	1.583964E-11	6.048828E+0
-5.000000E-2	9.847978E-3	-9.847978E-3	-1.848661E-7	6.817383E+0
-1.000000E-1	1.925927E-2	-1.925927E-2	-3.615348E-7	7.005859E+0
-1.500000E-1	2.844887E-2	-2.844887E-2	-5.340419E-7	7.194336E+0
-2.000000E-1	3.764167E-2	-3.764167E-2	-7.066089E-7	7.381836E+0
-2.500000E-1	4.666454E-2	-4.666454E-2	-8.759860E-7	7.570313E+0
-3.000000E-1	5.549690E-2	-5.549690E-2	-1.041787E-6	7.757813E+0
-3.500000E-1	6.470711E-2	-6.470711E-2	-1.214681E-6	8.339844E+0
-4.000000E-1	7.323088E-2	-7.323088E-2	-1.374689E-6	8.528320E+0
-4.500000E-1	8.201753E-2	-8.201753E-2	-1.539632E-6	8.715820E+0
-5.000000E-1	9.172977E-2	-9.172977E-2	-1.721950E-6	8.904297E+0
-5.000000E-1	9.213085E-2	-9.213085E-2	-1.729479E-6	9.091797E+0
-4.500000E-1	8.253789E-2	-8.253789E-2	-1.549400E-6	9.280273E+0
-4.000000E-1	7.435665E-2	-7.435665E-2	-1.395822E-6	9.468750E+0
-3.500000E-1	6.757133E-2	-6.757133E-2	-1.268448E-6	9.656250E+0
-3.000000E-1	5.928430E-2	-5.928430E-2	-1.112884E-6	9.844727E+0
-2.500000E-1	4.960022E-2	-4.960022E-2	-9.310947E-7	1.022656E+1
-2.000000E-1	4.004886E-2	-4.004886E-2	-7.517967E-7	1.041406E+1
-1.500000E-1	3.028067E-2	-3.028067E-2	-5.684283E-7	1.060254E+1
-1.000000E-1	2.035348E-2	-2.035348E-2	-3.820753E-7	1.079102E+1
-5.000000E-2	1.039528E-2	-1.039528E-2	-1.951400E-7	1.097852E+1
0.000000E+0	1.537874E-6	1.537874E-6	2.886894E-11	1.209668E+1
0.000000E+0	5.873955E-7	5.873955E-7	1.102658E-11	1.262109E+1
5.000000E-2	1.118948E-2	1.118948E-2	2.100488E-7	1.338965E+1
1.000000E-1	2.372249E-2	2.372249E-2	4.453182E-7	1.357813E+1
1.500000E-1	3.725969E-2	3.725969E-2	6.994383E-7	1.376562E+1
2.000000E-1	5.213187E-2	5.213187E-2	9.786188E-7	1.395410E+1
2.500000E-1	6.464537E-2	6.464537E-2	1.213522E-6	1.453613E+1
3.000000E-1	8.217421E-2	8.217421E-2	1.542573E-6	1.472363E+1
3.500000E-1	1.017187E-1	1.017187E-1	1.909462E-6	1.491211E+1
4.000000E-1	1.239736E-1	1.239736E-1	2.327231E-6	1.509961E+1
4.500000E-1	1.492599E-1	1.492599E-1	2.801904E-6	1.528809E+1
5.000000E-1	1.773092E-1	1.773092E-1	3.328446E-6	1.547656E+1
5.000000E-1	1.775892E-1	1.775892E-1	3.333702E-6	1.566406E+1
4.500000E-1	1.496967E-1	1.496967E-1	2.810105E-6	1.585254E+1
4.000000E-1	1.248735E-1	1.248735E-1	2.344124E-6	1.604102E+1
3.500000E-1	1.023206E-1	1.023206E-1	1.920760E-6	1.622852E+1
3.000000E-1	8.254492E-2	8.254492E-2	1.549532E-6	1.641699E+1
2.500000E-1	6.468404E-2	6.468404E-2	1.214248E-6	1.660449E+1
2.000000E-1	4.878448E-2	4.878448E-2	9.157815E-7	1.698633E+1
1.500000E-1	3.466377E-2	3.466377E-2	6.507079E-7	1.717480E+1
1.000000E-1	2.190289E-2	2.190289E-2	4.111608E-7	1.736230E+1
5.000000E-2	1.043690E-2	1.043690E-2	1.959213E-7	1.755078E+1
0.000000E+0	9.608377E-7	9.608377E-7	1.803683E-11	1.866895E+1
-5.000000E-2	9.674203E-3	-9.674203E-3	-1.816040E-7	1.943848E+1
-1.000000E-1	1.893569E-2	-1.893569E-2	-3.554605E-7	1.962695E+1
-1.500000E-1	2.796972E-2	-2.796972E-2	-5.250472E-7	1.981445E+1
-2.000000E-1	3.674623E-2	-3.674623E-2	-6.897997E-7	2.000293E+1
-2.500000E-1	4.532053E-2	-4.532053E-2	-8.507564E-7	2.019043E+1
-3.000000E-1	5.382094E-2	-5.382094E-2	-1.010326E-6	2.037891E+1
-3.500000E-1	6.221808E-2	-6.221808E-2	-1.167957E-6	2.096094E+1
-4.000000E-1	7.061150E-2	-7.061150E-2	-1.325518E-6	2.114844E+1
-4.500000E-1	7.895600E-2	-7.895600E-2	-1.482161E-6	2.133691E+1
-5.000000E-1	8.752393E-2	-8.752393E-2	-1.642998E-6	2.152539E+1
-5.000000E-1	8.751919E-2	-8.751919E-2	-1.642909E-6	2.171289E+1
-4.500000E-1	7.913766E-2	-7.913766E-2	-1.485571E-6	2.190137E+1
-4.000000E-1	7.061746E-2	-7.061746E-2	-1.325630E-6	2.208887E+1
-3.500000E-1	6.206109E-2	-6.206109E-2	-1.165010E-6	2.227734E+1
-3.000000E-1	5.357132E-2	-5.357132E-2	-1.005640E-6	2.246582E+1
-2.500000E-1	4.510990E-2	-4.510990E-2	-8.468025E-7	2.284766E+1
-2.000000E-1	3.656584E-2	-3.656584E-2	-6.864134E-7	2.303516E+1
-1.500000E-1	2.778968E-2	-2.778968E-2	-5.216675E-7	2.322363E+1
-1.000000E-1	1.875015E-2	-1.875015E-2	-3.519775E-7	2.341113E+1
-5.000000E-2	9.576680E-3	-9.576680E-3	-1.797733E-7	2.359961E+1
0.000000E+0	1.529692E-6	1.529692E-6	2.871536E-11	2.471777E+1
0.000000E+0	6.263557E-7	6.263557E-7	1.175794E-11	2.524219E+1
5.000000E-2	1.024962E-2	1.024962E-2	1.924058E-7	2.601074E+1
