voltage_1_1	absJ_1_1	J_1_1	current_1_1	time_1_1	
0.000000E+0	3.185215E-6	3.185215E-6	2.421362E-11	0.000000E+0
5.000000E-2	8.466873E-3	8.466873E-3	6.436414E-8	3.818359E-1
1.000000E-1	9.953411E-3	9.953411E-3	7.566462E-8	9.570313E-1
1.500000E-1	1.547029E-2	1.547029E-2	1.176033E-7	1.144531E+0
2.000000E-1	2.170909E-2	2.170909E-2	1.650299E-7	1.333008E+0
2.500000E-1	2.872958E-2	2.872958E-2	2.183988E-7	1.520508E+0
3.000000E-1	3.517587E-2	3.517587E-2	2.674027E-7	1.708984E+0
3.500000E-1	4.686842E-2	4.686842E-2	3.562880E-7	1.897461E+0
4.000000E-1	5.697997E-2	5.697997E-2	4.331548E-7	2.084961E+0
4.500000E-1	6.556941E-2	6.556941E-2	4.984507E-7	2.273438E+0
5.000000E-1	7.900475E-2	7.900475E-2	6.005845E-7	2.460938E+0
5.000000E-1	7.507260E-2	7.507260E-2	5.706928E-7	2.649414E+0
4.500000E-1	6.395744E-2	6.395744E-2	4.861967E-7	2.837891E+0
4.000000E-1	5.043522E-2	5.043522E-2	3.834024E-7	3.025391E+0
3.500000E-1	4.039152E-2	4.039152E-2	3.070514E-7	3.213867E+0
3.000000E-1	3.207579E-2	3.207579E-2	2.438363E-7	3.402344E+0
2.500000E-1	2.526030E-2	2.526030E-2	1.920257E-7	3.589844E+0
2.000000E-1	1.855069E-2	1.855069E-2	1.410201E-7	3.778320E+0
1.500000E-1	1.329517E-2	1.329517E-2	1.010683E-7	3.965820E+0
1.000000E-1	8.433226E-3	8.433226E-3	6.410836E-8	4.347656E+0
5.000000E-2	4.074432E-3	4.074432E-3	3.097334E-8	4.536133E+0
0.000000E+0	3.254992E-6	3.254992E-6	2.474405E-11	5.430664E+0
-5.000000E-2	4.201445E-3	-4.201445E-3	-3.193887E-8	5.813477E+0
-1.000000E-1	8.561473E-3	-8.561473E-3	-6.508328E-8	6.001953E+0
-1.500000E-1	1.305682E-2	-1.305682E-2	-9.925637E-8	6.190430E+0
-2.000000E-1	1.882983E-2	-1.882983E-2	-1.431421E-7	6.764648E+0
-2.500000E-1	2.375710E-2	-2.375710E-2	-1.805986E-7	6.952148E+0
-3.000000E-1	2.992551E-2	-2.992551E-2	-2.274901E-7	7.140625E+0
-3.500000E-1	3.630067E-2	-3.630067E-2	-2.759533E-7	7.329102E+0
-4.000000E-1	4.296468E-2	-4.296468E-2	-3.266123E-7	7.516602E+0
-4.500000E-1	5.011640E-2	-5.011640E-2	-3.809788E-7	7.705078E+0
-5.000000E-1	5.919359E-2	-5.919359E-2	-4.499825E-7	7.893555E+0
-5.000000E-1	5.925418E-2	-5.925418E-2	-4.504431E-7	8.081055E+0
-4.500000E-1	5.050532E-2	-5.050532E-2	-3.839353E-7	8.269531E+0
-4.000000E-1	4.318402E-2	-4.318402E-2	-3.282797E-7	8.457031E+0
-3.500000E-1	3.615272E-2	-3.615272E-2	-2.748286E-7	8.645508E+0
-3.000000E-1	2.963850E-2	-2.963850E-2	-2.253083E-7	8.833984E+0
-2.500000E-1	2.358474E-2	-2.358474E-2	-1.792883E-7	9.021484E+0
-2.000000E-1	1.884053E-2	-1.884053E-2	-1.432234E-7	9.209961E+0
-1.500000E-1	1.361806E-2	-1.361806E-2	-1.035228E-7	9.398438E+0
-1.000000E-1	8.651314E-3	-8.651314E-3	-6.576624E-8	9.779297E+0
-5.000000E-2	4.122973E-3	-4.122973E-3	-3.134234E-8	9.967773E+0
0.000000E+0	3.783479E-6	3.783479E-6	2.876155E-11	1.086230E+1
