voltage_6_1	absJ_6_1	J_6_1	current_6_1	time_6_1	
0.000000E+0	4.170518E-6	4.170518E-6	3.170377E-11	0.000000E+0
5.000000E-2	8.898393E-3	8.898393E-3	6.764450E-8	3.828125E-1
1.000000E-1	1.715696E-2	1.715696E-2	1.304251E-7	9.570313E-1
1.500000E-1	2.629569E-2	2.629569E-2	1.998966E-7	1.145508E+0
2.000000E-1	3.686342E-2	3.686342E-2	2.802312E-7	1.333984E+0
2.500000E-1	4.819720E-2	4.819720E-2	3.663893E-7	1.521484E+0
3.000000E-1	6.060169E-2	6.060169E-2	4.606867E-7	1.709961E+0
3.500000E-1	7.416625E-2	7.416625E-2	5.638028E-7	1.897461E+0
4.000000E-1	8.817174E-2	8.817174E-2	6.702708E-7	2.085938E+0
4.500000E-1	1.029400E-1	1.029400E-1	7.825371E-7	2.274414E+0
5.000000E-1	1.173601E-1	1.173601E-1	8.921573E-7	2.461914E+0
5.000000E-1	1.183032E-1	1.183032E-1	8.993267E-7	2.650391E+0
4.500000E-1	1.030360E-1	1.030360E-1	7.832674E-7	2.838867E+0
4.000000E-1	8.689314E-2	8.689314E-2	6.605511E-7	3.026367E+0
3.500000E-1	7.253345E-2	7.253345E-2	5.513905E-7	3.214844E+0
3.000000E-1	5.954848E-2	5.954848E-2	4.526803E-7	3.402344E+0
2.500000E-1	4.741464E-2	4.741464E-2	3.604403E-7	3.590820E+0
2.000000E-1	3.599751E-2	3.599751E-2	2.736487E-7	3.779297E+0
1.500000E-1	2.525109E-2	2.525109E-2	1.919557E-7	3.966797E+0
1.000000E-1	1.590549E-2	1.590549E-2	1.209116E-7	4.155273E+0
5.000000E-2	7.795136E-3	7.795136E-3	5.925768E-8	4.537109E+0
0.000000E+0	4.310959E-6	4.310959E-6	3.277139E-11	5.655273E+0
-5.000000E-2	7.824041E-3	-7.824041E-3	-5.947741E-8	6.038086E+0
-1.000000E-1	1.550309E-2	-1.550309E-2	-1.178526E-7	6.612305E+0
-1.500000E-1	2.375413E-2	-2.375413E-2	-1.805760E-7	6.800781E+0
-2.000000E-1	3.196097E-2	-3.196097E-2	-2.429634E-7	6.988281E+0
-2.500000E-1	4.138798E-2	-4.138798E-2	-3.146264E-7	7.176758E+0
-3.000000E-1	5.095495E-2	-5.095495E-2	-3.873533E-7	7.365234E+0
-3.500000E-1	6.081503E-2	-6.081503E-2	-4.623085E-7	7.552734E+0
-4.000000E-1	7.050584E-2	-7.050584E-2	-5.359768E-7	7.741211E+0
-4.500000E-1	8.157986E-2	-8.157986E-2	-6.201602E-7	7.928711E+0
-5.000000E-1	9.307061E-2	-9.307061E-2	-7.075115E-7	8.117188E+0
-5.000000E-1	9.344076E-2	-9.344076E-2	-7.103253E-7	8.305664E+0
-4.500000E-1	8.139266E-2	-8.139266E-2	-6.187371E-7	8.493164E+0
-4.000000E-1	6.987460E-2	-6.987460E-2	-5.311782E-7	8.681641E+0
-3.500000E-1	6.002098E-2	-6.002098E-2	-4.562722E-7	8.870117E+0
-3.000000E-1	5.006327E-2	-5.006327E-2	-3.805749E-7	9.057617E+0
-2.500000E-1	4.021175E-2	-4.021175E-2	-3.056848E-7	9.246094E+0
-2.000000E-1	3.121820E-2	-3.121820E-2	-2.373170E-7	9.433594E+0
-1.500000E-1	2.268838E-2	-2.268838E-2	-1.724743E-7	9.622070E+0
-1.000000E-1	1.455319E-2	-1.455319E-2	-1.106316E-7	9.810547E+0
-5.000000E-2	7.159236E-3	-7.159236E-3	-5.442364E-8	1.019238E+1
0.000000E+0	4.334146E-6	4.334146E-6	3.294765E-11	1.131055E+1
