voltage_9_6_10	absJ_9_6_10	J_9_6_10	current_9_6_10	time_9_6_10	
0.000000E+0	3.546422E-6	3.546422E-6	1.375483E-11	0.000000E+0
5.000000E-2	2.454777E-5	2.454777E-5	9.520876E-11	5.234375E-1
1.000000E-1	1.149008E-3	1.149008E-3	4.456439E-9	1.099609E+0
1.500000E-1	1.818803E-3	1.818803E-3	7.054245E-9	1.288086E+0
2.000000E-1	2.332045E-3	2.332045E-3	9.044859E-9	1.475586E+0
2.500000E-1	3.248980E-3	3.248980E-3	1.260120E-8	2.050781E+0
3.000000E-1	4.093585E-3	4.093585E-3	1.587701E-8	2.239258E+0
3.500000E-1	5.099861E-3	5.099861E-3	1.977986E-8	2.426758E+0
4.000000E-1	6.153555E-3	6.153555E-3	2.386662E-8	2.615234E+0
4.500000E-1	7.296226E-3	7.296226E-3	2.829848E-8	2.803711E+0
5.000000E-1	8.608503E-3	8.608503E-3	3.338816E-8	2.991211E+0
5.000000E-1	8.684006E-3	8.684006E-3	3.368100E-8	3.179688E+0
4.500000E-1	7.120774E-3	7.120774E-3	2.761799E-8	3.368164E+0
4.000000E-1	5.554557E-3	5.554557E-3	2.154340E-8	3.555664E+0
3.500000E-1	4.641631E-3	4.641631E-3	1.800261E-8	3.744141E+0
3.000000E-1	3.774829E-3	3.774829E-3	1.464071E-8	3.931641E+0
2.500000E-1	3.097850E-3	3.097850E-3	1.201504E-8	4.120117E+0
2.000000E-1	2.194237E-3	2.194237E-3	8.510369E-9	4.501953E+0
1.500000E-1	1.680979E-3	1.680979E-3	6.519694E-9	4.690430E+0
1.000000E-1	1.062622E-3	1.062622E-3	4.121388E-9	4.877930E+0
5.000000E-2	5.044848E-4	5.044848E-4	1.956649E-9	5.066406E+0
0.000000E+0	3.942391E-6	3.942391E-6	1.529060E-11	5.960938E+0
-5.000000E-2	2.394457E-5	-2.394457E-5	-9.286923E-11	6.485352E+0
-1.000000E-1	8.790815E-4	-8.790815E-4	-3.409526E-9	7.061523E+0
-1.500000E-1	1.354235E-3	-1.354235E-3	-5.252413E-9	7.249023E+0
-2.000000E-1	1.836942E-3	-1.836942E-3	-7.124595E-9	7.437500E+0
-2.500000E-1	2.146411E-3	-2.146411E-3	-8.324874E-9	7.625000E+0
-3.000000E-1	2.445857E-3	-2.445857E-3	-9.486279E-9	7.813477E+0
-3.500000E-1	3.417001E-3	-3.417001E-3	-1.325287E-8	8.388672E+0
-4.000000E-1	3.899885E-3	-3.899885E-3	-1.512574E-8	8.577148E+0
-4.500000E-1	4.268287E-3	-4.268287E-3	-1.655459E-8	8.764648E+0
-5.000000E-1	4.836054E-3	-4.836054E-3	-1.875668E-8	8.953125E+0
-5.000000E-1	4.809278E-3	-4.809278E-3	-1.865283E-8	9.141602E+0
-4.500000E-1	4.357040E-3	-4.357040E-3	-1.689882E-8	9.329102E+0
-4.000000E-1	3.878988E-3	-3.878988E-3	-1.504469E-8	9.517578E+0
-3.500000E-1	3.436189E-3	-3.436189E-3	-1.332729E-8	9.705078E+0
-3.000000E-1	2.990912E-3	-2.990912E-3	-1.160028E-8	9.893555E+0
-2.500000E-1	2.217965E-3	-2.217965E-3	-8.602400E-9	1.027539E+1
-2.000000E-1	1.950540E-3	-1.950540E-3	-7.565188E-9	1.046289E+1
-1.500000E-1	1.452578E-3	-1.452578E-3	-5.633839E-9	1.065137E+1
-1.000000E-1	9.385711E-4	-9.385711E-4	-3.640257E-9	1.083984E+1
-5.000000E-2	4.839986E-4	-4.839986E-4	-1.877193E-9	1.102734E+1
0.000000E+0	8.435171E-6	8.435171E-6	3.271589E-11	1.192285E+1
0.000000E+0	5.345079E-6	5.345079E-6	2.073094E-11	1.244629E+1
5.000000E-2	4.652824E-4	4.652824E-4	1.804602E-9	1.302246E+1
1.000000E-1	9.742955E-4	9.742955E-4	3.778814E-9	1.321094E+1
1.500000E-1	1.558741E-3	1.558741E-3	6.045592E-9	1.339844E+1
2.000000E-1	2.107363E-3	2.107363E-3	8.173426E-9	1.358691E+1
2.500000E-1	2.530905E-3	2.530905E-3	9.816138E-9	1.377539E+1
3.000000E-1	3.771124E-3	3.771124E-3	1.462634E-8	1.435059E+1
3.500000E-1	4.610240E-3	4.610240E-3	1.788086E-8	1.453809E+1
4.000000E-1	5.673123E-3	5.673123E-3	2.200326E-8	1.472656E+1
4.500000E-1	6.595206E-3	6.595206E-3	2.557957E-8	1.491406E+1
5.000000E-1	7.734386E-3	7.734386E-3	2.999789E-8	1.510254E+1
5.000000E-1	7.772808E-3	7.772808E-3	3.014691E-8	1.529102E+1
4.500000E-1	6.604993E-3	6.604993E-3	2.561753E-8	1.547852E+1
4.000000E-1	5.544939E-3	5.544939E-3	2.150610E-8	1.566699E+1
3.500000E-1	4.533389E-3	4.533389E-3	1.758279E-8	1.585547E+1
3.000000E-1	3.662141E-3	3.662141E-3	1.420365E-8	1.604297E+1
2.500000E-1	2.872846E-3	2.872846E-3	1.114236E-8	1.623145E+1
2.000000E-1	2.034211E-3	2.034211E-3	7.889706E-9	1.661328E+1
1.500000E-1	1.470415E-3	1.470415E-3	5.703019E-9	1.680078E+1
1.000000E-1	9.142881E-4	9.142881E-4	3.546075E-9	1.698926E+1
