voltage_12_20	absJ_12_20	J_12_20	current_12_20	time_12_20	
0.000000E+0	7.186067E-6	7.186067E-6	2.787123E-11	0.000000E+0
5.000000E-2	1.632495E-5	1.632495E-5	6.331649E-11	5.234375E-1
1.000000E-1	5.305010E-5	5.305010E-5	2.057553E-10	1.128906E+0
1.500000E-1	8.564143E-5	8.564143E-5	3.321611E-10	1.318359E+0
2.000000E-1	1.265783E-4	1.265783E-4	4.909350E-10	1.506836E+0
2.500000E-1	1.575685E-4	1.575685E-4	6.111309E-10	1.695313E+0
3.000000E-1	1.744270E-4	1.744270E-4	6.765168E-10	1.883789E+0
3.500000E-1	3.013861E-4	3.013861E-4	1.168929E-9	2.459961E+0
4.000000E-1	3.695618E-4	3.695618E-4	1.433349E-9	2.648438E+0
4.500000E-1	4.580979E-4	4.580979E-4	1.776737E-9	2.835938E+0
5.000000E-1	5.652391E-4	5.652391E-4	2.192285E-9	3.024414E+0
5.000000E-1	5.727120E-4	5.727120E-4	2.221269E-9	3.212891E+0
4.500000E-1	4.547577E-4	4.547577E-4	1.763782E-9	3.400391E+0
4.000000E-1	3.794762E-4	3.794762E-4	1.471802E-9	3.588867E+0
3.500000E-1	2.992348E-4	2.992348E-4	1.160585E-9	3.777344E+0
3.000000E-1	1.737289E-4	1.737289E-4	6.738093E-10	4.188477E+0
2.500000E-1	1.535390E-4	1.535390E-4	5.955026E-10	4.376953E+0
2.000000E-1	1.279671E-4	1.279671E-4	4.963215E-10	4.566406E+0
1.500000E-1	8.913187E-5	8.913187E-5	3.456988E-10	4.754883E+0
1.000000E-1	5.298675E-5	5.298675E-5	2.055096E-10	4.943359E+0
5.000000E-2	1.613872E-5	1.613872E-5	6.259417E-11	5.838867E+0
0.000000E+0	2.791570E-6	-2.791570E-6	-1.082713E-11	6.362305E+0
-5.000000E-2	2.035363E-5	-2.035363E-5	-7.894174E-11	6.968750E+0
-1.000000E-1	4.772070E-5	-4.772070E-5	-1.850852E-10	7.157227E+0
-1.500000E-1	7.565943E-5	-7.565943E-5	-2.934458E-10	7.346680E+0
-2.000000E-1	1.065413E-4	-1.065413E-4	-4.132213E-10	7.535156E+0
-2.500000E-1	1.416479E-4	-1.416479E-4	-5.493828E-10	7.723633E+0
-3.000000E-1	1.607271E-4	-1.607271E-4	-6.233815E-10	7.912109E+0
-3.500000E-1	2.187909E-4	-2.187909E-4	-8.485825E-10	8.488281E+0
-4.000000E-1	2.745900E-4	-2.745900E-4	-1.065000E-9	8.676758E+0
-4.500000E-1	3.466275E-4	-3.466275E-4	-1.344398E-9	8.864258E+0
-5.000000E-1	3.967834E-4	-3.967834E-4	-1.538928E-9	9.052734E+0
-5.000000E-1	3.843183E-4	-3.843183E-4	-1.490582E-9	9.240234E+0
-4.500000E-1	3.302810E-4	-3.302810E-4	-1.280998E-9	9.428711E+0
-4.000000E-1	2.741754E-4	-2.741754E-4	-1.063392E-9	9.617188E+0
-3.500000E-1	1.770046E-4	-1.770046E-4	-6.865141E-10	1.002832E+1
-3.000000E-1	1.883419E-4	-1.883419E-4	-7.304859E-10	1.060449E+1
-2.500000E-1	1.483504E-4	-1.483504E-4	-5.753785E-10	1.101563E+1
-2.000000E-1	1.153645E-4	-1.153645E-4	-4.474422E-10	1.120508E+1
-1.500000E-1	8.070858E-5	-8.070858E-5	-3.130290E-10	1.139355E+1
-1.000000E-1	4.950227E-5	-4.950227E-5	-1.919950E-10	1.158203E+1
-5.000000E-2	1.637095E-5	-1.637095E-5	-6.349489E-11	1.247754E+1
0.000000E+0	2.173285E-6	2.173285E-6	8.429105E-12	1.300098E+1
0.000000E+0	8.657808E-7	8.657808E-7	3.357939E-12	1.352441E+1
5.000000E-2	1.619120E-5	1.619120E-5	6.279773E-11	1.404785E+1
1.000000E-1	5.424981E-5	5.424981E-5	2.104084E-10	1.482129E+1
1.500000E-1	9.125833E-5	9.125833E-5	3.539463E-10	1.500977E+1
2.000000E-1	1.380203E-4	1.380203E-4	5.353131E-10	1.519824E+1
2.500000E-1	1.600608E-4	1.600608E-4	6.207973E-10	1.538770E+1
3.000000E-1	1.748312E-4	1.748312E-4	6.780843E-10	1.557617E+1
3.500000E-1	1.912802E-4	1.912802E-4	7.418822E-10	1.576465E+1
4.000000E-1	4.276697E-4	4.276697E-4	1.658721E-9	1.634082E+1
4.500000E-1	5.035422E-4	5.035422E-4	1.952993E-9	1.652832E+1
5.000000E-1	6.006286E-4	6.006286E-4	2.329544E-9	1.671680E+1
5.000000E-1	5.799829E-4	5.799829E-4	2.249469E-9	1.690527E+1
4.500000E-1	4.751591E-4	4.751591E-4	1.842909E-9	1.709277E+1
4.000000E-1	3.895141E-4	3.895141E-4	1.510734E-9	1.728125E+1
3.500000E-1	3.127361E-4	3.127361E-4	1.212950E-9	1.746973E+1
3.000000E-1	1.793469E-4	1.793469E-4	6.955985E-10	1.788086E+1
2.500000E-1	1.605486E-4	1.605486E-4	6.226894E-10	1.806934E+1
2.000000E-1	1.347997E-4	1.347997E-4	5.228220E-10	1.825879E+1
1.500000E-1	9.248097E-5	9.248097E-5	3.586883E-10	1.844727E+1
1.000000E-1	5.555624E-5	5.555624E-5	2.154754E-10	1.863574E+1
5.000000E-2	1.622255E-5	1.622255E-5	6.291933E-11	1.953125E+1
0.000000E+0	1.712236E-6	1.712236E-6	6.640924E-12	2.005469E+1
-5.000000E-2	1.639833E-5	-1.639833E-5	-6.360110E-11	2.057812E+1
-1.000000E-1	1.766390E-5	-1.766390E-5	-6.850961E-11	2.110156E+1
-1.500000E-1	1.862371E-5	-1.862371E-5	-7.223222E-11	2.162500E+1
-2.000000E-1	1.228252E-4	-1.228252E-4	-4.763789E-10	2.223145E+1
-2.500000E-1	1.594357E-4	-1.594357E-4	-6.183728E-10	2.241992E+1
-3.000000E-1	1.714547E-4	-1.714547E-4	-6.649888E-10	2.260840E+1
-3.500000E-1	2.279305E-4	-2.279305E-4	-8.840306E-10	2.318457E+1
-4.000000E-1	2.809801E-4	-2.809801E-4	-1.089784E-9	2.337305E+1
-4.500000E-1	3.313657E-4	-3.313657E-4	-1.285205E-9	2.356055E+1
-5.000000E-1	3.934762E-4	-3.934762E-4	-1.526101E-9	2.374902E+1
-5.000000E-1	3.945487E-4	-3.945487E-4	-1.530261E-9	2.393652E+1
-4.500000E-1	3.394172E-4	-3.394172E-4	-1.316433E-9	2.412500E+1
-4.000000E-1	2.869912E-4	-2.869912E-4	-1.113098E-9	2.431348E+1
-3.500000E-1	1.786055E-4	-1.786055E-4	-6.927231E-10	2.472461E+1
-3.000000E-1	2.006230E-4	-2.006230E-4	-7.781180E-10	2.530078E+1
-2.500000E-1	1.521420E-4	-1.521420E-4	-5.900843E-10	2.571191E+1
-2.000000E-1	1.169836E-4	-1.169836E-4	-4.537221E-10	2.590039E+1
-1.500000E-1	8.251314E-5	-8.251314E-5	-3.200280E-10	2.608984E+1
-1.000000E-1	5.030724E-5	-5.030724E-5	-1.951171E-10	2.627832E+1
-5.000000E-2	1.639312E-5	-1.639312E-5	-6.358086E-11	2.717383E+1
0.000000E+0	2.360023E-7	2.360023E-7	9.153373E-13	2.769727E+1
0.000000E+0	2.008065E-6	2.008065E-6	7.788298E-12	2.822070E+1
5.000000E-2	1.625460E-5	1.625460E-5	6.304361E-11	2.874414E+1
1.000000E-1	1.767603E-5	1.767603E-5	6.855667E-11	2.926758E+1
1.500000E-1	9.510055E-5	9.510055E-5	3.688484E-10	2.987402E+1
2.000000E-1	1.441390E-4	1.441390E-4	5.590445E-10	3.006250E+1
2.500000E-1	1.641703E-4	1.641703E-4	6.367361E-10	3.025098E+1
3.000000E-1	2.935313E-4	2.935313E-4	1.138464E-9	3.082715E+1
3.500000E-1	3.781912E-4	3.781912E-4	1.466818E-9	3.101465E+1
4.000000E-1	4.717498E-4	4.717498E-4	1.829686E-9	3.120312E+1
4.500000E-1	5.662157E-4	5.662157E-4	2.196073E-9	3.139160E+1
5.000000E-1	6.763918E-4	6.763918E-4	2.623392E-9	3.157910E+1
5.000000E-1	6.641005E-4	6.641005E-4	2.575720E-9	3.176758E+1
4.500000E-1	5.631094E-4	5.631094E-4	2.184025E-9	3.195508E+1
4.000000E-1	4.591681E-4	4.591681E-4	1.780888E-9	3.214355E+1
3.500000E-1	3.714092E-4	3.714092E-4	1.440514E-9	3.233203E+1
3.000000E-1	2.856399E-4	2.856399E-4	1.107857E-9	3.251953E+1
2.500000E-1	1.695131E-4	1.695131E-4	6.574582E-10	3.293164E+1
2.000000E-1	1.572279E-4	1.572279E-4	6.098100E-10	3.350684E+1
1.500000E-1	1.078184E-4	1.078184E-4	4.181746E-10	3.391895E+1
1.000000E-1	5.961120E-5	5.961120E-5	2.312026E-10	3.410742E+1
5.000000E-2	2.912279E-5	2.912279E-5	1.129530E-10	3.429590E+1
0.000000E+0	3.501051E-7	-3.501051E-7	-1.357886E-12	3.519141E+1
-5.000000E-2	2.593762E-5	-2.593762E-5	-1.005993E-10	3.579785E+1
-1.000000E-1	5.892313E-5	-5.892313E-5	-2.285339E-10	3.598633E+1
-1.500000E-1	9.173158E-5	-9.173158E-5	-3.557818E-10	3.617578E+1
-2.000000E-1	1.298218E-4	-1.298218E-4	-5.035150E-10	3.636426E+1
-2.500000E-1	1.617845E-4	-1.617845E-4	-6.274828E-10	3.655273E+1
-3.000000E-1	1.735845E-4	-1.735845E-4	-6.732493E-10	3.674219E+1
-3.500000E-1	2.795876E-4	-2.795876E-4	-1.084383E-9	3.731738E+1
-4.000000E-1	3.319897E-4	-3.319897E-4	-1.287625E-9	3.750586E+1
-4.500000E-1	3.940506E-4	-3.940506E-4	-1.528329E-9	3.769336E+1
-5.000000E-1	4.383460E-4	-4.383460E-4	-1.700129E-9	3.788184E+1
-5.000000E-1	4.470699E-4	-4.470699E-4	-1.733965E-9	3.807031E+1
-4.500000E-1	3.807130E-4	-3.807130E-4	-1.476599E-9	3.825781E+1
-4.000000E-1	3.275759E-4	-3.275759E-4	-1.270506E-9	3.844629E+1
-3.500000E-1	2.732256E-4	-2.732256E-4	-1.059708E-9	3.863379E+1
-3.000000E-1	2.221673E-4	-2.221673E-4	-8.616778E-10	3.943262E+1
-2.500000E-1	1.591246E-4	-1.591246E-4	-6.171662E-10	3.984473E+1
-2.000000E-1	1.322643E-4	-1.322643E-4	-5.129883E-10	4.003320E+1
-1.500000E-1	9.118642E-5	-9.118642E-5	-3.536674E-10	4.022168E+1
-1.000000E-1	5.802649E-5	-5.802649E-5	-2.250563E-10	4.041113E+1
-5.000000E-2	2.828937E-5	-2.828937E-5	-1.097206E-10	4.059961E+1
0.000000E+0	2.653035E-7	2.653035E-7	1.028982E-12	4.149512E+1
0.000000E+0	2.295195E-6	2.295195E-6	8.901935E-12	4.201855E+1
5.000000E-2	1.631848E-5	1.631848E-5	6.329139E-11	4.254199E+1
1.000000E-1	1.772405E-5	1.772405E-5	6.874291E-11	4.306543E+1
1.500000E-1	1.060207E-4	1.060207E-4	4.112022E-10	4.367188E+1
2.000000E-1	1.502210E-4	1.502210E-4	5.826337E-10	4.386035E+1
2.500000E-1	1.698049E-4	1.698049E-4	6.585900E-10	4.404883E+1
3.000000E-1	2.844938E-4	2.844938E-4	1.103412E-9	4.462500E+1
3.500000E-1	3.530297E-4	3.530297E-4	1.369229E-9	4.481250E+1
4.000000E-1	4.342349E-4	4.342349E-4	1.684184E-9	4.500098E+1
4.500000E-1	5.630712E-4	5.630712E-4	2.183877E-9	4.518848E+1
5.000000E-1	6.665734E-4	6.665734E-4	2.585311E-9	4.537695E+1
5.000000E-1	6.492829E-4	6.492829E-4	2.518250E-9	4.556543E+1
4.500000E-1	5.382171E-4	5.382171E-4	2.087480E-9	4.575293E+1
4.000000E-1	4.330976E-4	4.330976E-4	1.679773E-9	4.594141E+1
3.500000E-1	3.479017E-4	3.479017E-4	1.349340E-9	4.612988E+1
3.000000E-1	2.744797E-4	2.744797E-4	1.064572E-9	4.631738E+1
2.500000E-1	1.663173E-4	1.663173E-4	6.450634E-10	4.672949E+1
2.000000E-1	1.480485E-4	1.480485E-4	5.742074E-10	4.691797E+1
1.500000E-1	1.011371E-4	1.011371E-4	3.922614E-10	4.710645E+1
1.000000E-1	6.461622E-5	6.461622E-5	2.506146E-10	4.729492E+1
5.000000E-2	3.033284E-5	3.033284E-5	1.176462E-10	4.748437E+1
0.000000E+0	2.981901E-7	-2.981901E-7	-1.156533E-12	4.837988E+1
-5.000000E-2	1.654447E-5	-1.654447E-5	-6.416789E-11	4.890332E+1
-1.000000E-1	5.060127E-5	-5.060127E-5	-1.962575E-10	4.967676E+1
-1.500000E-1	9.383940E-5	-9.383940E-5	-3.639570E-10	4.986523E+1
-2.000000E-1	1.356009E-4	-1.356009E-4	-5.259293E-10	5.005371E+1
-2.500000E-1	1.621276E-4	-1.621276E-4	-6.288133E-10	5.024316E+1
-3.000000E-1	1.734027E-4	-1.734027E-4	-6.725441E-10	5.043164E+1
-3.500000E-1	1.861518E-4	-1.861518E-4	-7.219917E-10	5.062012E+1
-4.000000E-1	3.236295E-4	-3.236295E-4	-1.255200E-9	5.119629E+1
-4.500000E-1	3.783706E-4	-3.783706E-4	-1.467514E-9	5.138379E+1
-5.000000E-1	4.385198E-4	-4.385198E-4	-1.700803E-9	5.157227E+1
-5.000000E-1	4.444017E-4	-4.444017E-4	-1.723616E-9	5.176074E+1
-4.500000E-1	3.889587E-4	-3.889587E-4	-1.508580E-9	5.194824E+1
-4.000000E-1	3.207346E-4	-3.207346E-4	-1.243972E-9	5.213672E+1
-3.500000E-1	2.701422E-4	-2.701422E-4	-1.047749E-9	5.232422E+1
-3.000000E-1	1.722352E-4	-1.722352E-4	-6.680160E-10	5.273633E+1
-2.500000E-1	1.603337E-4	-1.603337E-4	-6.218558E-10	5.292480E+1
-2.000000E-1	1.350933E-4	-1.350933E-4	-5.239607E-10	5.311328E+1
-1.500000E-1	9.368295E-5	-9.368295E-5	-3.633502E-10	5.330273E+1
-1.000000E-1	5.806656E-5	-5.806656E-5	-2.252117E-10	5.349121E+1
-5.000000E-2	2.791181E-5	-2.791181E-5	-1.082562E-10	5.367969E+1
0.000000E+0	2.630529E-7	2.630529E-7	1.020253E-12	5.457520E+1
0.000000E+0	2.263396E-6	2.263396E-6	8.778603E-12	5.509961E+1
5.000000E-2	1.635805E-5	1.635805E-5	6.344487E-11	5.562305E+1
1.000000E-1	1.772700E-5	1.772700E-5	6.875434E-11	5.614648E+1
1.500000E-1	1.067307E-4	1.067307E-4	4.139561E-10	5.675195E+1
2.000000E-1	1.477482E-4	1.477482E-4	5.730427E-10	5.694043E+1
2.500000E-1	1.670695E-4	1.670695E-4	6.479805E-10	5.712988E+1
3.000000E-1	2.808569E-4	2.808569E-4	1.089306E-9	5.770508E+1
3.500000E-1	3.611996E-4	3.611996E-4	1.400916E-9	5.789355E+1
4.000000E-1	4.714048E-4	4.714048E-4	1.828348E-9	5.808203E+1
4.500000E-1	5.631679E-4	5.631679E-4	2.184252E-9	5.826953E+1
5.000000E-1	6.630457E-4	6.630457E-4	2.571629E-9	5.845801E+1
5.000000E-1	6.661469E-4	6.661469E-4	2.583657E-9	5.864551E+1
4.500000E-1	5.560889E-4	5.560889E-4	2.156796E-9	5.883398E+1
4.000000E-1	4.690206E-4	4.690206E-4	1.819101E-9	5.902246E+1
3.500000E-1	3.526097E-4	3.526097E-4	1.367600E-9	5.920996E+1
3.000000E-1	2.670660E-4	2.670660E-4	1.035818E-9	5.939844E+1
2.500000E-1	1.636686E-4	1.636686E-4	6.347902E-10	5.980957E+1
2.000000E-1	1.420131E-4	1.420131E-4	5.507990E-10	5.999902E+1
1.500000E-1	9.469935E-5	9.469935E-5	3.672923E-10	6.018750E+1
1.000000E-1	6.001875E-5	6.001875E-5	2.327833E-10	6.037598E+1
5.000000E-2	2.738341E-5	2.738341E-5	1.062068E-10	6.056445E+1
0.000000E+0	2.827076E-8	2.827076E-8	1.096484E-13	6.145996E+1
-5.000000E-2	1.639265E-5	-1.639265E-5	-6.357904E-11	6.198437E+1
-1.000000E-1	4.211989E-5	-4.211989E-5	-1.633624E-10	6.258984E+1
-1.500000E-1	8.119312E-5	-8.119312E-5	-3.149083E-10	6.277930E+1
-2.000000E-1	1.146774E-4	-1.146774E-4	-4.447772E-10	6.296777E+1
-2.500000E-1	1.510067E-4	-1.510067E-4	-5.856809E-10	6.315625E+1
-3.000000E-1	1.644560E-4	-1.644560E-4	-6.378441E-10	6.334473E+1
-3.500000E-1	1.761296E-4	-1.761296E-4	-6.831203E-10	6.353418E+1
-4.000000E-1	2.752748E-4	-2.752748E-4	-1.067656E-9	6.410938E+1
-4.500000E-1	3.248985E-4	-3.248985E-4	-1.260122E-9	6.429785E+1
-5.000000E-1	3.773666E-4	-3.773666E-4	-1.463620E-9	6.448535E+1
-5.000000E-1	3.803330E-4	-3.803330E-4	-1.475125E-9	6.467383E+1
-4.500000E-1	3.284076E-4	-3.284076E-4	-1.273732E-9	6.486230E+1
-4.000000E-1	2.771134E-4	-2.771134E-4	-1.074787E-9	6.504980E+1
-3.500000E-1	1.763064E-4	-1.763064E-4	-6.838060E-10	6.546191E+1
-3.000000E-1	1.645194E-4	-1.645194E-4	-6.380899E-10	6.565039E+1
-2.500000E-1	1.471123E-4	-1.471123E-4	-5.705766E-10	6.583887E+1
-2.000000E-1	1.174439E-4	-1.174439E-4	-4.555074E-10	6.602832E+1
-1.500000E-1	8.121094E-5	-8.121094E-5	-3.149774E-10	6.621680E+1
-1.000000E-1	5.166946E-5	-5.166946E-5	-2.004005E-10	6.640527E+1
-5.000000E-2	2.620251E-5	-2.620251E-5	-1.016267E-10	6.659375E+1
0.000000E+0	4.066503E-7	4.066503E-7	1.577197E-12	6.748926E+1
0.000000E+0	1.923993E-6	1.923993E-6	7.462225E-12	6.801367E+1
5.000000E-2	1.723198E-5	1.723198E-5	6.683438E-11	6.853711E+1
1.000000E-1	1.764185E-5	1.764185E-5	6.842409E-11	6.906055E+1
