voltage_3_5_9	absJ_3_5_9	J_3_5_9	current_3_5_9	time_3_5_9	
0.000000E+0	5.718558E-9	-5.718558E-9	-5.312417E-14	0.000000E+0
5.000000E-2	3.650213E-5	3.650213E-5	3.390969E-10	1.014648E+0
1.000000E-1	7.316168E-5	7.316168E-5	6.796562E-10	1.286133E+0
1.500000E-1	8.865836E-5	8.865836E-5	8.236170E-10	1.558594E+0
2.000000E-1	1.773329E-4	1.773329E-4	1.647384E-9	2.230469E+0
2.500000E-1	2.233065E-4	2.233065E-4	2.074469E-9	2.348633E+0
3.000000E-1	2.793265E-4	2.793265E-4	2.594883E-9	2.466797E+0
3.500000E-1	3.321296E-4	3.321296E-4	3.085412E-9	2.584961E+0
4.000000E-1	4.242826E-4	4.242826E-4	3.941494E-9	2.703125E+0
4.500000E-1	5.034004E-4	5.034004E-4	4.676481E-9	2.821289E+0
5.000000E-1	6.135066E-4	6.135066E-4	5.699343E-9	2.938477E+0
5.000000E-1	6.173001E-4	6.173001E-4	5.734585E-9	3.056641E+0
4.500000E-1	5.195633E-4	5.195633E-4	4.826630E-9	3.174805E+0
4.000000E-1	4.272827E-4	4.272827E-4	3.969364E-9	3.292969E+0
3.500000E-1	3.470392E-4	3.470392E-4	3.223919E-9	3.411133E+0
3.000000E-1	2.769799E-4	2.769799E-4	2.573083E-9	3.528320E+0
2.500000E-1	2.124627E-4	2.124627E-4	1.973732E-9	3.646484E+0
2.000000E-1	1.643216E-4	1.643216E-4	1.526512E-9	3.764648E+0
1.500000E-1	1.167957E-4	1.167957E-4	1.085007E-9	3.882813E+0
1.000000E-1	7.257563E-5	7.257563E-5	6.742119E-10	4.124023E+0
5.000000E-2	3.460929E-5	3.460929E-5	3.215128E-10	4.396484E+0
0.000000E+0	1.527250E-7	1.527250E-7	1.418782E-12	5.385742E+0
-5.000000E-2	8.831936E-6	-8.831936E-6	-8.204677E-11	6.000000E+0
-1.000000E-1	9.493351E-6	-9.493351E-6	-8.819118E-11	6.614258E+0
-1.500000E-1	1.008778E-4	-1.008778E-4	-9.371330E-10	7.687500E+0
-2.000000E-1	1.361849E-4	-1.361849E-4	-1.265128E-9	7.805664E+0
-2.500000E-1	1.745593E-4	-1.745593E-4	-1.621618E-9	7.923828E+0
-3.000000E-1	2.158515E-4	-2.158515E-4	-2.005214E-9	8.041992E+0
-3.500000E-1	2.634856E-4	-2.634856E-4	-2.447724E-9	8.159180E+0
-4.000000E-1	3.074320E-4	-3.074320E-4	-2.855977E-9	8.277344E+0
-4.500000E-1	3.477618E-4	-3.477618E-4	-3.230632E-9	8.395508E+0
-5.000000E-1	3.939885E-4	-3.939885E-4	-3.660068E-9	8.513672E+0
-5.000000E-1	3.939401E-4	-3.939401E-4	-3.659618E-9	8.631836E+0
-4.500000E-1	3.402388E-4	-3.402388E-4	-3.160745E-9	8.749023E+0
-4.000000E-1	2.948201E-4	-2.948201E-4	-2.738815E-9	8.867188E+0
-3.500000E-1	2.591660E-4	-2.591660E-4	-2.407596E-9	8.985352E+0
-3.000000E-1	2.264341E-4	-2.264341E-4	-2.103524E-9	9.103516E+0
-2.500000E-1	1.858463E-4	-1.858463E-4	-1.726472E-9	9.221680E+0
-2.000000E-1	1.483976E-4	-1.483976E-4	-1.378582E-9	9.339844E+0
-1.500000E-1	1.111755E-4	-1.111755E-4	-1.032796E-9	9.457031E+0
-1.000000E-1	6.961523E-5	-6.961523E-5	-6.467104E-10	9.699219E+0
-5.000000E-2	3.425964E-5	-3.425964E-5	-3.182646E-10	9.970703E+0
0.000000E+0	2.015777E-7	2.015777E-7	1.872613E-12	1.096094E+1
