voltage_4_3	absJ_4_3	J_4_3	current_4_3	time_4_3	
0.000000E+0	6.449542E-7	6.449542E-7	5.991485E-12	0.000000E+0
5.000000E-2	7.848802E-4	7.848802E-4	7.291367E-9	6.728516E-1
1.000000E-1	1.694446E-3	1.694446E-3	1.574104E-8	1.037109E+0
1.500000E-1	2.592295E-3	2.592295E-3	2.408186E-8	1.155273E+0
2.000000E-1	3.584305E-3	3.584305E-3	3.329742E-8	1.273438E+0
2.500000E-1	4.644694E-3	4.644694E-3	4.314820E-8	1.391602E+0
3.000000E-1	5.990524E-3	5.990524E-3	5.565067E-8	1.509766E+0
3.500000E-1	7.366979E-3	7.366979E-3	6.843764E-8	1.626953E+0
4.000000E-1	8.980632E-3	8.980632E-3	8.342813E-8	1.745117E+0
4.500000E-1	1.090369E-2	1.090369E-2	1.012929E-7	1.863281E+0
5.000000E-1	1.352766E-2	1.352766E-2	1.256690E-7	2.227539E+0
5.000000E-1	1.315501E-2	1.315501E-2	1.222072E-7	2.345703E+0
4.500000E-1	1.090820E-2	1.090820E-2	1.013348E-7	2.462891E+0
4.000000E-1	8.653446E-3	8.653446E-3	8.038864E-8	2.705078E+0
3.500000E-1	7.061446E-3	7.061446E-3	6.559931E-8	2.822266E+0
3.000000E-1	5.681042E-3	5.681042E-3	5.277565E-8	2.940430E+0
2.500000E-1	4.393315E-3	4.393315E-3	4.081295E-8	3.058594E+0
2.000000E-1	3.300288E-3	3.300288E-3	3.065896E-8	3.176758E+0
1.500000E-1	2.321715E-3	2.321715E-3	2.156823E-8	3.294922E+0
1.000000E-1	1.473592E-3	1.473592E-3	1.368935E-8	3.412109E+0
5.000000E-2	7.062279E-4	7.062279E-4	6.560704E-9	3.654297E+0
0.000000E+0	2.481494E-6	2.481494E-6	2.305254E-11	4.335938E+0
-5.000000E-2	6.579128E-4	-6.579128E-4	-6.111868E-9	5.008789E+0
-1.000000E-1	1.119678E-3	-1.119678E-3	-1.040157E-8	5.126953E+0
-1.500000E-1	2.095202E-3	-2.095202E-3	-1.946397E-8	5.492188E+0
-2.000000E-1	2.832686E-3	-2.832686E-3	-2.631504E-8	5.609375E+0
-2.500000E-1	3.580475E-3	-3.580475E-3	-3.326184E-8	5.727539E+0
-3.000000E-1	4.410228E-3	-4.410228E-3	-4.097006E-8	5.845703E+0
-3.500000E-1	5.253333E-3	-5.253333E-3	-4.880233E-8	5.963867E+0
-4.000000E-1	6.203410E-3	-6.203410E-3	-5.762834E-8	6.082031E+0
-4.500000E-1	7.176364E-3	-7.176364E-3	-6.666687E-8	6.200195E+0
-5.000000E-1	8.152639E-3	-8.152639E-3	-7.573625E-8	6.317383E+0
-5.000000E-1	8.123713E-3	-8.123713E-3	-7.546754E-8	6.435547E+0
-4.500000E-1	7.080981E-3	-7.080981E-3	-6.578078E-8	6.553711E+0
-4.000000E-1	6.067034E-3	-6.067034E-3	-5.636143E-8	6.671875E+0
-3.500000E-1	5.212412E-3	-5.212412E-3	-4.842218E-8	6.790039E+0
-3.000000E-1	4.267768E-3	-4.267768E-3	-3.964664E-8	6.907227E+0
-2.500000E-1	3.460778E-3	-3.460778E-3	-3.214988E-8	7.025391E+0
-2.000000E-1	2.702048E-3	-2.702048E-3	-2.510144E-8	7.143555E+0
-1.500000E-1	1.980004E-3	-1.980004E-3	-1.839381E-8	7.261719E+0
-1.000000E-1	1.285275E-3	-1.285275E-3	-1.193993E-8	7.379883E+0
-5.000000E-2	6.393894E-4	-6.393894E-4	-5.939789E-9	7.621094E+0
0.000000E+0	3.260105E-6	3.260105E-6	3.028567E-11	8.302734E+0
