voltage_29_1_5	absJ_29_1_5	J_29_1_5	current_29_1_5	time_29_1_5	
0.000000E+0	1.574883E-6	-1.574883E-6	-3.909248E-12	0.000000E+0
5.000000E-2	1.886182E-5	1.886182E-5	4.681967E-11	7.031250E-1
1.000000E-1	3.825269E-5	3.825269E-5	9.495258E-11	1.406250E+0
1.500000E-1	8.973421E-5	8.973421E-5	2.227424E-10	2.521484E+0
2.000000E-1	1.097448E-4	1.097448E-4	2.724135E-10	2.889648E+0
2.500000E-1	1.486499E-4	1.486499E-4	3.689857E-10	3.258789E+0
3.000000E-1	2.541893E-4	2.541893E-4	6.309605E-10	3.626953E+0
3.500000E-1	2.669840E-4	2.669840E-4	6.627199E-10	3.995117E+0
4.000000E-1	3.811836E-4	3.811836E-4	9.461916E-10	5.478516E+0
4.500000E-1	4.418929E-4	4.418929E-4	1.096887E-9	5.845703E+0
5.000000E-1	1.120605E-3	1.120605E-3	2.781618E-9	6.213867E+0
5.000000E-1	1.278726E-3	1.278726E-3	3.174113E-9	6.581055E+0
4.500000E-1	8.275550E-4	8.275550E-4	2.054195E-9	6.949219E+0
4.000000E-1	4.384912E-4	4.384912E-4	1.088443E-9	7.317383E+0
3.500000E-1	3.796594E-4	3.796594E-4	9.424080E-10	8.058594E+0
3.000000E-1	2.882340E-4	2.882340E-4	7.154677E-10	8.426758E+0
2.500000E-1	2.088897E-4	2.088897E-4	5.185155E-10	8.795898E+0
2.000000E-1	1.761240E-4	1.761240E-4	4.371830E-10	9.164063E+0
1.500000E-1	1.286883E-4	1.286883E-4	3.194360E-10	9.532227E+0
1.000000E-1	8.103040E-5	8.103040E-5	2.011374E-10	9.900391E+0
5.000000E-2	3.587189E-5	3.587189E-5	8.904286E-11	1.107520E+1
0.000000E+0	6.051894E-7	-6.051894E-7	-1.502229E-12	1.177832E+1
-5.000000E-2	3.877676E-5	-3.877676E-5	-9.625345E-11	1.248242E+1
-1.000000E-1	7.782565E-5	-7.782565E-5	-1.931824E-10	1.359766E+1
-1.500000E-1	1.193060E-4	-1.193060E-4	-2.961468E-10	1.396582E+1
-2.000000E-1	1.586177E-4	-1.586177E-4	-3.937282E-10	1.433398E+1
-2.500000E-1	2.009119E-4	-2.009119E-4	-4.987128E-10	1.470215E+1
-3.000000E-1	2.385679E-4	-2.385679E-4	-5.921842E-10	1.507031E+1
-3.500000E-1	2.829923E-4	-2.829923E-4	-7.024566E-10	1.543945E+1
-4.000000E-1	3.309862E-4	-3.309862E-4	-8.215891E-10	1.580762E+1
-4.500000E-1	3.704082E-4	-3.704082E-4	-9.194444E-10	1.617578E+1
-5.000000E-1	4.191184E-4	-4.191184E-4	-1.040355E-9	1.654395E+1
-5.000000E-1	4.574382E-4	-4.574382E-4	-1.135474E-9	1.765918E+1
-4.500000E-1	4.187534E-4	-4.187534E-4	-1.039449E-9	1.802637E+1
-4.000000E-1	3.561005E-4	-3.561005E-4	-8.839290E-10	1.876758E+1
-3.500000E-1	3.155407E-4	-3.155407E-4	-7.832496E-10	1.913574E+1
-3.000000E-1	2.594506E-4	-2.594506E-4	-6.440201E-10	1.950488E+1
-2.500000E-1	2.297360E-4	-2.297360E-4	-5.702613E-10	1.987305E+1
-2.000000E-1	1.831249E-4	-1.831249E-4	-4.545611E-10	2.024121E+1
-1.500000E-1	1.338790E-4	-1.338790E-4	-3.323206E-10	2.061035E+1
-1.000000E-1	8.916868E-5	-8.916868E-5	-2.213386E-10	2.097852E+1
-5.000000E-2	4.517586E-5	-4.517586E-5	-1.121376E-10	2.134668E+1
0.000000E+0	1.143915E-6	-1.143915E-6	-2.839479E-12	2.252148E+1
