voltage_29_2_16_5	absJ_29_2_16_5	J_29_2_16_5	current_29_2_16_5	time_29_2_16_5	
0.000000E+0	8.678571E-7	-8.678571E-7	-2.154235E-12	0.000000E+0
5.000000E-2	3.887680E-5	3.887680E-5	9.650179E-11	7.031250E-1
1.000000E-1	8.902562E-5	8.902562E-5	2.209835E-10	1.817383E+0
1.500000E-1	1.419925E-4	1.419925E-4	3.524604E-10	2.186523E+0
2.000000E-1	2.106754E-4	2.106754E-4	5.229482E-10	2.554688E+0
2.500000E-1	2.518032E-4	2.518032E-4	6.250374E-10	2.922852E+0
3.000000E-1	3.053645E-4	3.053645E-4	7.579898E-10	3.291992E+0
3.500000E-1	3.811346E-4	3.811346E-4	9.460698E-10	3.660156E+0
4.000000E-1	4.866230E-4	4.866230E-4	1.207918E-9	4.775391E+0
4.500000E-1	5.737642E-4	5.737642E-4	1.424224E-9	5.143555E+0
5.000000E-1	6.874093E-4	6.874093E-4	1.706319E-9	5.510742E+0
5.000000E-1	7.270464E-4	7.270464E-4	1.804708E-9	5.878906E+0
4.500000E-1	5.737977E-4	5.737977E-4	1.424307E-9	6.247070E+0
4.000000E-1	4.694144E-4	4.694144E-4	1.165202E-9	6.615234E+0
3.500000E-1	3.859259E-4	3.859259E-4	9.579632E-10	7.356445E+0
3.000000E-1	3.296862E-4	3.296862E-4	8.183624E-10	7.724609E+0
2.500000E-1	2.597653E-4	2.597653E-4	6.448015E-10	8.092773E+0
2.000000E-1	1.953043E-4	1.953043E-4	4.847933E-10	8.461914E+0
1.500000E-1	1.390079E-4	1.390079E-4	3.450518E-10	8.830078E+0
1.000000E-1	8.913387E-5	8.913387E-5	2.212522E-10	9.198242E+0
5.000000E-2	4.425504E-5	4.425504E-5	1.098519E-10	9.567383E+0
0.000000E+0	6.308513E-7	-6.308513E-7	-1.565928E-12	1.074219E+1
-5.000000E-2	4.782081E-5	-4.782081E-5	-1.187030E-10	1.185742E+1
-1.000000E-1	9.354306E-5	-9.354306E-5	-2.321969E-10	1.222656E+1
-1.500000E-1	1.397461E-4	-1.397461E-4	-3.468843E-10	1.259473E+1
-2.000000E-1	1.868085E-4	-1.868085E-4	-4.637046E-10	1.296289E+1
-2.500000E-1	2.336521E-4	-2.336521E-4	-5.799820E-10	1.333203E+1
-3.000000E-1	2.758311E-4	-2.758311E-4	-6.846806E-10	1.370020E+1
-3.500000E-1	3.209861E-4	-3.209861E-4	-7.967665E-10	1.406836E+1
-4.000000E-1	3.721295E-4	-3.721295E-4	-9.237170E-10	1.443652E+1
-4.500000E-1	4.155752E-4	-4.155752E-4	-1.031560E-9	1.480566E+1
-5.000000E-1	4.608774E-4	-4.608774E-4	-1.144011E-9	1.592090E+1
-5.000000E-1	4.686590E-4	-4.686590E-4	-1.163327E-9	1.628809E+1
-4.500000E-1	4.274508E-4	-4.274508E-4	-1.061038E-9	1.665625E+1
-4.000000E-1	3.890976E-4	-3.890976E-4	-9.658360E-10	1.739746E+1
-3.500000E-1	3.356557E-4	-3.356557E-4	-8.331799E-10	1.776563E+1
-3.000000E-1	2.902099E-4	-2.902099E-4	-7.203723E-10	1.813477E+1
-2.500000E-1	2.389904E-4	-2.389904E-4	-5.932331E-10	1.850293E+1
-2.000000E-1	1.980043E-4	-1.980043E-4	-4.914953E-10	1.887109E+1
-1.500000E-1	1.465590E-4	-1.465590E-4	-3.637955E-10	1.924023E+1
-1.000000E-1	9.721566E-5	-9.721566E-5	-2.413132E-10	1.960840E+1
-5.000000E-2	4.959105E-5	-4.959105E-5	-1.230972E-10	1.997656E+1
0.000000E+0	9.611343E-7	-9.611343E-7	-2.385772E-12	2.115234E+1
0.000000E+0	9.451110E-7	-9.451110E-7	-2.345998E-12	2.185547E+1
5.000000E-2	5.079202E-5	5.079202E-5	1.260783E-10	2.297070E+1
1.000000E-1	1.050001E-4	1.050001E-4	2.606362E-10	2.333984E+1
1.500000E-1	1.658651E-4	1.658651E-4	4.117180E-10	2.370801E+1
2.000000E-1	2.312618E-4	2.312618E-4	5.740488E-10	2.407617E+1
2.500000E-1	3.116912E-4	3.116912E-4	7.736942E-10	2.444531E+1
3.000000E-1	3.918490E-4	3.918490E-4	9.726656E-10	2.481348E+1
3.500000E-1	4.834549E-4	4.834549E-4	1.200054E-9	2.592871E+1
4.000000E-1	5.629035E-4	5.629035E-4	1.397265E-9	2.629590E+1
4.500000E-1	6.937866E-4	6.937866E-4	1.722149E-9	2.666406E+1
5.000000E-1	8.146944E-4	8.146944E-4	2.022272E-9	2.703223E+1
5.000000E-1	8.193221E-4	8.193221E-4	2.033759E-9	2.739941E+1
4.500000E-1	7.019042E-4	7.019042E-4	1.742299E-9	2.776758E+1
4.000000E-1	6.581894E-4	6.581894E-4	1.633788E-9	2.813574E+1
3.500000E-1	5.502702E-4	5.502702E-4	1.365906E-9	2.850293E+1
3.000000E-1	4.482195E-4	4.482195E-4	1.112591E-9	2.887109E+1
2.500000E-1	3.693182E-4	3.693182E-4	9.167387E-10	2.961230E+1
2.000000E-1	2.794189E-4	2.794189E-4	6.935864E-10	2.998047E+1
1.500000E-1	2.063848E-4	2.063848E-4	5.122979E-10	3.034863E+1
1.000000E-1	1.321000E-4	1.321000E-4	3.279048E-10	3.071777E+1
5.000000E-2	6.407209E-5	6.407209E-5	1.590427E-10	3.108594E+1
0.000000E+0	7.988946E-7	-7.988946E-7	-1.983053E-12	3.226074E+1
-5.000000E-2	6.297268E-5	-6.297268E-5	-1.563137E-10	3.337695E+1
-1.000000E-1	1.301108E-4	-1.301108E-4	-3.229669E-10	3.374512E+1
-1.500000E-1	1.971606E-4	-1.971606E-4	-4.894010E-10	3.411426E+1
-2.000000E-1	2.644917E-4	-2.644917E-4	-6.565334E-10	3.448242E+1
-2.500000E-1	3.385433E-4	-3.385433E-4	-8.403477E-10	3.485059E+1
-3.000000E-1	4.106644E-4	-4.106644E-4	-1.019370E-9	3.521973E+1
-3.500000E-1	5.126007E-4	-5.126007E-4	-1.272401E-9	3.633398E+1
-4.000000E-1	5.767849E-4	-5.767849E-4	-1.431722E-9	3.670215E+1
-4.500000E-1	6.371419E-4	-6.371419E-4	-1.581543E-9	3.707031E+1
-5.000000E-1	7.185823E-4	-7.185823E-4	-1.783698E-9	3.743750E+1
-5.000000E-1	7.270351E-4	-7.270351E-4	-1.804680E-9	3.780566E+1
-4.500000E-1	6.457253E-4	-6.457253E-4	-1.602849E-9	3.817383E+1
-4.000000E-1	5.661095E-4	-5.661095E-4	-1.405223E-9	3.854102E+1
-3.500000E-1	4.886461E-4	-4.886461E-4	-1.212940E-9	3.890918E+1
-3.000000E-1	4.130171E-4	-4.130171E-4	-1.025210E-9	3.927734E+1
-2.500000E-1	3.528630E-4	-3.528630E-4	-8.758928E-10	4.001855E+1
-2.000000E-1	2.748241E-4	-2.748241E-4	-6.821811E-10	4.038672E+1
-1.500000E-1	2.150269E-4	-2.150269E-4	-5.337497E-10	4.075488E+1
-1.000000E-1	1.517290E-4	-1.517290E-4	-3.766288E-10	4.112402E+1
-5.000000E-2	7.595133E-5	-7.595133E-5	-1.885299E-10	4.149219E+1
0.000000E+0	1.546599E-6	-1.546599E-6	-3.839040E-12	4.266699E+1
0.000000E+0	1.367128E-6	1.367128E-6	3.393549E-12	4.337109E+1
5.000000E-2	8.536877E-5	8.536877E-5	2.119063E-10	4.448633E+1
1.000000E-1	1.703593E-4	1.703593E-4	4.228736E-10	4.485449E+1
1.500000E-1	2.696576E-4	2.696576E-4	6.693565E-10	4.522266E+1
2.000000E-1	3.947739E-4	3.947739E-4	9.799259E-10	4.559180E+1
2.500000E-1	4.898080E-4	4.898080E-4	1.215824E-9	4.670703E+1
3.000000E-1	6.856862E-4	6.856862E-4	1.702042E-9	4.707422E+1
3.500000E-1	8.541965E-4	8.541965E-4	2.120326E-9	4.744238E+1
4.000000E-1	1.017476E-3	1.017476E-3	2.525625E-9	4.781055E+1
4.500000E-1	1.180346E-3	1.180346E-3	2.929910E-9	4.817773E+1
5.000000E-1	1.832818E-3	1.832818E-3	4.549505E-9	4.854590E+1
5.000000E-1	1.697356E-3	1.697356E-3	4.213255E-9	4.891406E+1
4.500000E-1	1.720302E-3	1.720302E-3	4.270214E-9	4.928125E+1
4.000000E-1	1.179087E-3	1.179087E-3	2.926783E-9	4.964941E+1
3.500000E-1	1.041280E-3	1.041280E-3	2.584714E-9	5.001758E+1
3.000000E-1	1.093170E-3	1.093170E-3	2.713518E-9	5.038477E+1
2.500000E-1	8.796421E-4	8.796421E-4	2.183488E-9	5.075293E+1
2.000000E-1	6.033955E-4	6.033955E-4	1.497776E-9	5.112109E+1
1.500000E-1	3.280431E-4	3.280431E-4	8.142836E-10	5.186230E+1
1.000000E-1	2.132854E-4	2.132854E-4	5.294269E-10	5.223047E+1
5.000000E-2	1.034078E-4	1.034078E-4	2.566835E-10	5.259863E+1
0.000000E+0	4.994783E-7	-4.994783E-7	-1.239828E-12	5.377344E+1
-5.000000E-2	9.949107E-5	-9.949107E-5	-2.469613E-10	5.488965E+1
-1.000000E-1	2.029686E-4	-2.029686E-4	-5.038181E-10	5.525781E+1
-1.500000E-1	3.105672E-4	-3.105672E-4	-7.709041E-10	5.562695E+1
-2.000000E-1	4.121312E-4	-4.121312E-4	-1.023011E-9	5.599512E+1
-2.500000E-1	5.512367E-4	-5.512367E-4	-1.368305E-9	5.711035E+1
-3.000000E-1	6.821616E-4	-6.821616E-4	-1.693293E-9	5.747754E+1
-3.500000E-1	7.663249E-4	-7.663249E-4	-1.902207E-9	5.784570E+1
-4.000000E-1	8.969328E-4	-8.969328E-4	-2.226408E-9	5.821387E+1
-4.500000E-1	1.008617E-3	-1.008617E-3	-2.503636E-9	5.858105E+1
-5.000000E-1	1.146323E-3	-1.146323E-3	-2.845456E-9	5.894922E+1
-5.000000E-1	1.202911E-3	-1.202911E-3	-2.985922E-9	5.931738E+1
-4.500000E-1	1.037486E-3	-1.037486E-3	-2.575296E-9	5.968457E+1
-4.000000E-1	9.398267E-4	-9.398267E-4	-2.332881E-9	6.005273E+1
-3.500000E-1	8.237834E-4	-8.237834E-4	-2.044833E-9	6.042090E+1
-3.000000E-1	7.085474E-4	-7.085474E-4	-1.758789E-9	6.078906E+1
-2.500000E-1	5.915703E-4	-5.915703E-4	-1.468423E-9	6.115625E+1
-2.000000E-1	4.598436E-4	-4.598436E-4	-1.141445E-9	6.152441E+1
-1.500000E-1	3.490254E-4	-3.490254E-4	-8.663669E-10	6.226563E+1
-1.000000E-1	2.317398E-4	-2.317398E-4	-5.752353E-10	6.263379E+1
-5.000000E-2	1.135925E-4	-1.135925E-4	-2.819645E-10	6.300293E+1
0.000000E+0	6.413675E-7	-6.413675E-7	-1.592032E-12	6.417773E+1
0.000000E+0	6.214364E-7	-6.214364E-7	-1.542558E-12	6.488184E+1
5.000000E-2	1.203908E-4	1.203908E-4	2.988396E-10	6.599707E+1
1.000000E-1	2.371608E-4	2.371608E-4	5.886915E-10	6.636523E+1
1.500000E-1	3.979274E-4	3.979274E-4	9.877538E-10	6.673340E+1
2.000000E-1	5.725295E-4	5.725295E-4	1.421159E-9	6.784863E+1
2.500000E-1	7.038448E-4	7.038448E-4	1.747116E-9	6.821680E+1
3.000000E-1	1.016466E-3	1.016466E-3	2.523118E-9	6.858398E+1
3.500000E-1	1.633615E-3	1.633615E-3	4.055034E-9	6.895215E+1
4.000000E-1	1.826151E-3	1.826151E-3	4.532957E-9	6.932031E+1
4.500000E-1	2.055394E-3	2.055394E-3	5.101993E-9	6.968750E+1
5.000000E-1	2.462237E-3	2.462237E-3	6.111879E-9	7.005566E+1
5.000000E-1	3.209917E-3	3.209917E-3	7.967804E-9	7.042383E+1
4.500000E-1	1.488981E-3	1.488981E-3	3.696017E-9	7.079102E+1
4.000000E-1	1.146731E-3	1.146731E-3	2.846469E-9	7.115918E+1
3.500000E-1	9.077642E-4	9.077642E-4	2.253294E-9	7.152734E+1
3.000000E-1	7.303736E-4	7.303736E-4	1.812967E-9	7.189453E+1
2.500000E-1	5.741651E-4	5.741651E-4	1.425219E-9	7.226270E+1
2.000000E-1	4.538011E-4	4.538011E-4	1.126446E-9	7.263086E+1
1.500000E-1	3.242353E-4	3.242353E-4	8.048318E-10	7.337207E+1
1.000000E-1	2.116659E-4	2.116659E-4	5.254069E-10	7.374023E+1
5.000000E-2	1.021402E-4	1.021402E-4	2.535370E-10	7.410840E+1
0.000000E+0	6.193451E-7	-6.193451E-7	-1.537367E-12	7.528418E+1
-5.000000E-2	9.345870E-5	-9.345870E-5	-2.319875E-10	7.639941E+1
-1.000000E-1	1.861075E-4	-1.861075E-4	-4.619646E-10	7.676855E+1
-1.500000E-1	2.797705E-4	-2.797705E-4	-6.944593E-10	7.713672E+1
-2.000000E-1	3.773265E-4	-3.773265E-4	-9.366171E-10	7.750488E+1
-2.500000E-1	4.793228E-4	-4.793228E-4	-1.189797E-9	7.862012E+1
-3.000000E-1	5.813827E-4	-5.813827E-4	-1.443135E-9	7.898828E+1
-3.500000E-1	6.870801E-4	-6.870801E-4	-1.705502E-9	7.935645E+1
-4.000000E-1	7.656038E-4	-7.656038E-4	-1.900417E-9	7.972363E+1
-4.500000E-1	8.670220E-4	-8.670220E-4	-2.152162E-9	8.009180E+1
-5.000000E-1	9.908357E-4	-9.908357E-4	-2.459498E-9	8.045996E+1
-5.000000E-1	9.812617E-4	-9.812617E-4	-2.435733E-9	8.082715E+1
-4.500000E-1	8.646045E-4	-8.646045E-4	-2.146161E-9	8.119531E+1
-4.000000E-1	7.637446E-4	-7.637446E-4	-1.895802E-9	8.156348E+1
-3.500000E-1	6.625616E-4	-6.625616E-4	-1.644641E-9	8.193066E+1
