voltage_6_2	absJ_6_2	J_6_2	current_6_2	time_6_2	
0.000000E+0	8.823730E-8	-8.823730E-8	-8.197054E-13	0.000000E+0
5.000000E-2	1.030349E-5	1.030349E-5	9.571716E-11	6.142578E-1
1.000000E-1	2.153136E-4	2.153136E-4	2.000217E-9	1.457031E+0
1.500000E-1	3.810232E-4	3.810232E-4	3.539623E-9	1.575195E+0
2.000000E-1	5.849569E-4	5.849569E-4	5.434123E-9	1.693359E+0
2.500000E-1	8.832943E-4	8.832943E-4	8.205613E-9	1.811523E+0
3.000000E-1	1.030332E-3	1.030332E-3	9.571557E-9	1.928711E+0
3.500000E-1	1.519467E-3	1.519467E-3	1.411552E-8	2.293945E+0
4.000000E-1	2.048892E-3	2.048892E-3	1.903376E-8	2.412109E+0
4.500000E-1	2.571073E-3	2.571073E-3	2.388471E-8	2.530273E+0
5.000000E-1	3.235952E-3	3.235952E-3	3.006129E-8	2.647461E+0
5.000000E-1	3.026078E-3	3.026078E-3	2.811161E-8	2.765625E+0
4.500000E-1	2.501974E-3	2.501974E-3	2.324280E-8	2.883789E+0
4.000000E-1	1.922771E-3	1.922771E-3	1.786213E-8	3.001953E+0
3.500000E-1	1.693884E-3	1.693884E-3	1.573582E-8	3.120117E+0
3.000000E-1	1.253662E-3	1.253662E-3	1.164625E-8	3.237305E+0
2.500000E-1	8.437590E-4	8.437590E-4	7.838339E-9	3.479492E+0
2.000000E-1	5.493243E-4	5.493243E-4	5.103104E-9	3.596680E+0
1.500000E-1	3.724201E-4	3.724201E-4	3.459702E-9	3.714844E+0
1.000000E-1	2.162295E-4	2.162295E-4	2.008725E-9	3.833008E+0
5.000000E-2	8.816920E-5	8.816920E-5	8.190728E-10	4.074219E+0
0.000000E+0	3.081867E-8	3.081867E-8	2.862988E-13	5.064453E+0
-5.000000E-2	8.253697E-5	-8.253697E-5	-7.667506E-10	5.737305E+0
-1.000000E-1	1.073934E-4	-1.073934E-4	-9.976612E-10	6.009766E+0
-1.500000E-1	3.153950E-4	-3.153950E-4	-2.929951E-9	6.682617E+0
-2.000000E-1	5.243271E-4	-5.243271E-4	-4.870885E-9	6.800781E+0
-2.500000E-1	7.495606E-4	-7.495606E-4	-6.963256E-9	6.918945E+0
-3.000000E-1	9.740674E-4	-9.740674E-4	-9.048875E-9	7.401367E+0
-3.500000E-1	1.253391E-3	-1.253391E-3	-1.164373E-8	7.519531E+0
-4.000000E-1	1.663179E-3	-1.663179E-3	-1.545057E-8	7.636719E+0
-4.500000E-1	2.000287E-3	-2.000287E-3	-1.858223E-8	7.754883E+0
-5.000000E-1	2.448869E-3	-2.448869E-3	-2.274946E-8	7.873047E+0
-5.000000E-1	2.386014E-3	-2.386014E-3	-2.216555E-8	7.991211E+0
-4.500000E-1	1.992841E-3	-1.992841E-3	-1.851306E-8	8.109375E+0
-4.000000E-1	1.595172E-3	-1.595172E-3	-1.481880E-8	8.226563E+0
-3.500000E-1	1.232832E-3	-1.232832E-3	-1.145274E-8	8.344727E+0
-3.000000E-1	9.331918E-4	-9.331918E-4	-8.669150E-9	8.585938E+0
-2.500000E-1	7.268672E-4	-7.268672E-4	-6.752439E-9	8.704102E+0
-2.000000E-1	5.309309E-4	-5.309309E-4	-4.932233E-9	8.822266E+0
-1.500000E-1	3.651640E-4	-3.651640E-4	-3.392295E-9	8.940430E+0
-1.000000E-1	2.152327E-4	-2.152327E-4	-1.999465E-9	9.058594E+0
-5.000000E-2	8.004358E-5	-8.004358E-5	-7.435875E-10	9.299805E+0
0.000000E+0	1.034644E-7	1.034644E-7	9.611617E-13	1.028906E+1
