voltage_7_3_20	absJ_7_3_20	J_7_3_20	current_7_3_20	time_7_3_20	
0.000000E+0	2.082451E-6	-2.082451E-6	-6.964387E-12	0.000000E+0
5.000000E-2	1.592354E-5	1.592354E-5	5.325344E-11	6.142578E-1
1.000000E-1	6.787381E-5	6.787381E-5	2.269919E-10	1.458008E+0
1.500000E-1	1.115900E-4	1.115900E-4	3.731929E-10	1.729492E+0
2.000000E-1	1.674495E-4	1.674495E-4	5.600051E-10	2.001953E+0
2.500000E-1	2.281707E-4	2.281707E-4	7.630763E-10	2.274414E+0
3.000000E-1	2.688844E-4	2.688844E-4	8.992360E-10	2.545898E+0
3.500000E-1	4.735570E-4	4.735570E-4	1.583727E-9	3.218750E+0
4.000000E-1	6.656378E-4	6.656378E-4	2.226107E-9	3.336914E+0
4.500000E-1	8.926006E-4	8.926006E-4	2.985144E-9	3.454102E+0
5.000000E-1	1.397157E-3	1.397157E-3	4.672543E-9	3.572266E+0
5.000000E-1	1.562594E-3	1.562594E-3	5.225818E-9	3.690430E+0
4.500000E-1	1.272776E-3	1.272776E-3	4.256574E-9	3.808594E+0
4.000000E-1	1.189023E-3	1.189023E-3	3.976475E-9	3.926758E+0
3.500000E-1	7.085352E-4	7.085352E-4	2.369570E-9	4.043945E+0
3.000000E-1	5.132738E-4	5.132738E-4	1.716553E-9	4.162109E+0
2.500000E-1	3.965835E-4	3.965835E-4	1.326303E-9	4.280273E+0
2.000000E-1	3.088435E-4	3.088435E-4	1.032872E-9	4.398438E+0
1.500000E-1	2.160501E-4	2.160501E-4	7.225412E-10	4.639648E+0
1.000000E-1	1.025874E-4	1.025874E-4	3.430852E-10	4.912109E+0
5.000000E-2	6.340214E-5	6.340214E-5	2.120372E-10	5.184570E+0
0.000000E+0	5.365380E-7	5.365380E-7	1.794356E-12	6.173828E+0
-5.000000E-2	2.548594E-5	-2.548594E-5	-8.523318E-11	6.788086E+0
-1.000000E-1	9.373075E-5	-9.373075E-5	-3.134658E-10	7.460938E+0
-1.500000E-1	2.308719E-4	-2.308719E-4	-7.721099E-10	7.733398E+0
-2.000000E-1	7.515640E-4	-7.515640E-4	-2.513472E-9	8.406250E+0
-2.500000E-1	1.024958E-3	-1.024958E-3	-3.427788E-9	8.524414E+0
-3.000000E-1	1.658391E-3	-1.658391E-3	-5.546193E-9	8.642578E+0
-3.500000E-1	2.238244E-3	-2.238244E-3	-7.485410E-9	8.759766E+0
-4.000000E-1	1.269960E-3	-1.269960E-3	-4.247156E-9	9.125000E+0
-4.500000E-1	1.383303E-3	-1.383303E-3	-4.626211E-9	9.366211E+0
-5.000000E-1	2.485920E-3	-2.485920E-3	-8.313719E-9	9.484375E+0
-5.000000E-1	2.043376E-3	-2.043376E-3	-6.833707E-9	9.602539E+0
-4.500000E-1	1.617821E-3	-1.617821E-3	-5.410516E-9	9.720703E+0
-4.000000E-1	1.920496E-3	-1.920496E-3	-6.422757E-9	9.837891E+0
-3.500000E-1	1.240156E-3	-1.240156E-3	-4.147482E-9	9.956055E+0
