voltage_6_1	absJ_6_1	J_6_1	current_6_1	time_6_1	
0.000000E+0	6.739624E-9	6.739624E-9	2.504386E-13	0.000000E+0
5.000000E-2	2.017480E-8	2.017480E-8	7.496781E-13	6.035156E-1
1.000000E-1	3.400846E-8	3.400846E-8	1.263725E-12	1.207031E+0
1.500000E-1	5.155927E-8	5.155927E-8	1.915898E-12	1.810547E+0
2.000000E-1	6.974048E-8	6.974048E-8	2.591496E-12	2.413086E+0
2.500000E-1	9.011173E-8	9.011173E-8	3.348474E-12	3.016602E+0
3.000000E-1	1.263961E-7	1.263961E-7	4.696771E-12	3.620117E+0
3.500000E-1	1.550124E-7	1.550124E-7	5.760128E-12	4.223633E+0
4.000000E-1	2.075539E-7	2.075539E-7	7.712525E-12	4.827148E+0
4.500000E-1	2.545259E-7	2.545259E-7	9.457962E-12	5.430664E+0
5.000000E-1	2.977976E-7	2.977976E-7	1.106590E-11	6.033203E+0
5.000000E-1	3.173984E-7	3.173984E-7	1.179425E-11	6.636719E+0
4.500000E-1	2.364683E-7	2.364683E-7	8.786957E-12	7.240234E+0
4.000000E-1	1.711135E-7	1.711135E-7	6.358428E-12	7.843750E+0
3.500000E-1	1.341419E-7	1.341419E-7	4.984596E-12	8.446289E+0
3.000000E-1	9.941448E-8	9.941448E-8	3.694156E-12	9.049805E+0
2.500000E-1	8.349834E-8	8.349834E-8	3.102726E-12	9.653320E+0
2.000000E-1	6.290938E-8	6.290938E-8	2.337658E-12	1.025684E+1
1.500000E-1	4.533913E-8	4.533913E-8	1.684763E-12	1.086035E+1
1.000000E-1	2.969340E-8	2.969340E-8	1.103381E-12	1.146289E+1
5.000000E-2	1.618690E-8	1.618690E-8	6.014911E-13	1.206641E+1
0.000000E+0	4.588815E-9	4.588815E-9	1.705164E-13	1.266992E+1
-5.000000E-2	5.941893E-9	-5.941893E-9	-2.207956E-13	1.327344E+1
-1.000000E-1	1.623694E-8	-1.623694E-8	-6.033507E-13	1.387695E+1
-1.500000E-1	2.964410E-8	-2.964410E-8	-1.101549E-12	1.448047E+1
-2.000000E-1	4.129074E-8	-4.129074E-8	-1.534328E-12	1.508301E+1
-2.500000E-1	5.561739E-8	-5.561739E-8	-2.066694E-12	1.568652E+1
-3.000000E-1	6.896853E-8	-6.896853E-8	-2.562811E-12	1.629004E+1
-3.500000E-1	9.236972E-8	-9.236972E-8	-3.432379E-12	1.689355E+1
-4.000000E-1	1.136974E-7	-1.136974E-7	-4.224898E-12	1.749707E+1
-4.500000E-1	1.359020E-7	-1.359020E-7	-5.050002E-12	1.810059E+1
-5.000000E-1	1.525181E-7	-1.525181E-7	-5.667439E-12	1.870313E+1
-5.000000E-1	1.558094E-7	-1.558094E-7	-5.789744E-12	1.930664E+1
-4.500000E-1	1.377996E-7	-1.377996E-7	-5.120515E-12	1.991016E+1
-4.000000E-1	1.204232E-7	-1.204232E-7	-4.474823E-12	2.051367E+1
-3.500000E-1	1.004329E-7	-1.004329E-7	-3.732001E-12	2.111719E+1
-3.000000E-1	8.682821E-8	-8.682821E-8	-3.226461E-12	2.171973E+1
-2.500000E-1	6.541086E-8	-6.541086E-8	-2.430611E-12	2.232324E+1
-2.000000E-1	4.995073E-8	-4.995073E-8	-1.856126E-12	2.292676E+1
-1.500000E-1	3.877768E-8	-3.877768E-8	-1.440945E-12	2.353027E+1
-1.000000E-1	2.092771E-8	-2.092771E-8	-7.776557E-13	2.413281E+1
-5.000000E-2	9.138041E-9	-9.138041E-9	-3.395617E-13	2.473633E+1
0.000000E+0	7.115706E-9	7.115706E-9	2.644135E-13	2.533984E+1
