voltage_3_2_11	absJ_3_2_11	J_3_2_11	current_3_2_11	time_3_2_11	
0.000000E+0	2.373608E-5	2.373608E-5	1.804388E-10	0.000000E+0
5.000000E-2	1.293832E-4	1.293832E-4	9.835551E-10	1.894531E-1
1.000000E-1	6.716614E-4	6.716614E-4	5.105888E-9	7.646484E-1
1.500000E-1	1.148592E-3	1.148592E-3	8.731457E-9	9.531250E-1
2.000000E-1	1.784029E-3	1.784029E-3	1.356197E-8	1.528320E+0
2.500000E-1	2.578077E-3	2.578077E-3	1.959823E-8	1.716797E+0
3.000000E-1	3.602667E-3	3.602667E-3	2.738704E-8	1.904297E+0
3.500000E-1	4.844627E-3	4.844627E-3	3.682827E-8	2.092773E+0
4.000000E-1	6.364487E-3	6.364487E-3	4.838206E-8	2.280273E+0
4.500000E-1	8.223720E-3	8.223720E-3	6.251572E-8	2.468750E+0
5.000000E-1	1.020017E-2	1.020017E-2	7.754043E-8	2.657227E+0
5.000000E-1	1.025896E-2	1.025896E-2	7.798736E-8	2.844727E+0
4.500000E-1	8.150340E-3	8.150340E-3	6.195790E-8	3.033203E+0
4.000000E-1	6.418391E-3	6.418391E-3	4.879183E-8	3.221680E+0
3.500000E-1	4.935094E-3	4.935094E-3	3.751599E-8	3.409180E+0
3.000000E-1	3.685615E-3	3.685615E-3	2.801760E-8	3.597656E+0
2.500000E-1	2.673388E-3	2.673388E-3	2.032277E-8	3.785156E+0
2.000000E-1	1.827321E-3	1.827321E-3	1.389107E-8	3.973633E+0
1.500000E-1	1.154965E-3	1.154965E-3	8.779902E-9	4.355469E+0
1.000000E-1	6.722127E-4	6.722127E-4	5.110079E-9	4.542969E+0
5.000000E-2	3.048435E-4	3.048435E-4	2.317383E-9	4.731445E+0
0.000000E+0	6.055592E-7	6.055592E-7	4.603387E-12	5.625977E+0
-5.000000E-2	1.346997E-5	-1.346997E-5	-1.023971E-10	6.150391E+0
-1.000000E-1	6.020620E-4	-6.020620E-4	-4.576802E-9	6.726563E+0
-1.500000E-1	1.012885E-3	-1.012885E-3	-7.699831E-9	6.914063E+0
-2.000000E-1	1.335394E-3	-1.335394E-3	-1.015150E-8	7.102539E+0
-2.500000E-1	2.209625E-3	-2.209625E-3	-1.679730E-8	7.677734E+0
-3.000000E-1	2.971859E-3	-2.971859E-3	-2.259171E-8	7.866211E+0
-3.500000E-1	3.893038E-3	-3.893038E-3	-2.959440E-8	8.053711E+0
-4.000000E-1	5.030329E-3	-5.030329E-3	-3.823995E-8	8.242188E+0
-4.500000E-1	6.348942E-3	-6.348942E-3	-4.826389E-8	8.429688E+0
-5.000000E-1	7.903418E-3	-7.903418E-3	-6.008082E-8	8.618164E+0
-5.000000E-1	7.951828E-3	-7.951828E-3	-6.044883E-8	8.806641E+0
-4.500000E-1	6.482790E-3	-6.482790E-3	-4.928138E-8	8.994141E+0
-4.000000E-1	5.146116E-3	-5.146116E-3	-3.912015E-8	9.182617E+0
-3.500000E-1	3.978526E-3	-3.978526E-3	-3.024427E-8	9.371094E+0
-3.000000E-1	3.029045E-3	-3.029045E-3	-2.302643E-8	9.558594E+0
-2.500000E-1	2.219931E-3	-2.219931E-3	-1.687565E-8	9.747070E+0
-2.000000E-1	1.561336E-3	-1.561336E-3	-1.186909E-8	9.934570E+0
-1.500000E-1	1.019316E-3	-1.019316E-3	-7.748718E-9	1.031641E+1
