voltage_13_1	absJ_13_1	J_13_1	current_13_1	time_13_1	
0.000000E+0	6.258978E-7	6.258978E-7	1.966316E-12	0.000000E+0
5.000000E-2	2.148159E-5	2.148159E-5	6.748640E-11	5.234375E-1
1.000000E-1	7.585560E-4	7.585560E-4	2.383074E-9	1.098633E+0
1.500000E-1	1.430284E-3	1.430284E-3	4.493369E-9	1.287109E+0
2.000000E-1	2.291933E-3	2.291933E-3	7.200320E-9	1.475586E+0
2.500000E-1	4.225487E-3	4.225487E-3	1.327476E-8	2.050781E+0
3.000000E-1	5.853712E-3	5.853712E-3	1.838998E-8	2.238281E+0
3.500000E-1	7.988979E-3	7.988979E-3	2.509812E-8	2.426758E+0
4.000000E-1	1.128116E-2	1.128116E-2	3.544082E-8	2.615234E+0
4.500000E-1	1.528452E-2	1.528452E-2	4.801772E-8	2.802734E+0
5.000000E-1	1.949110E-2	1.949110E-2	6.123309E-8	2.991211E+0
5.000000E-1	1.992853E-2	1.992853E-2	6.260731E-8	3.178711E+0
4.500000E-1	1.591281E-2	1.591281E-2	4.999157E-8	3.367188E+0
4.000000E-1	1.219214E-2	1.219214E-2	3.830273E-8	3.555664E+0
3.500000E-1	9.435800E-3	9.435800E-3	2.964344E-8	3.743164E+0
3.000000E-1	6.648605E-3	6.648605E-3	2.088721E-8	3.931641E+0
2.500000E-1	4.679219E-3	4.679219E-3	1.470020E-8	4.119141E+0
2.000000E-1	2.761242E-3	2.761242E-3	8.674697E-9	4.500977E+0
1.500000E-1	1.846160E-3	1.846160E-3	5.799883E-9	4.689453E+0
1.000000E-1	1.051724E-3	1.051724E-3	3.304089E-9	4.876953E+0
5.000000E-2	4.497439E-4	4.497439E-4	1.412912E-9	5.065430E+0
0.000000E+0	2.104286E-6	2.104286E-6	6.610809E-12	5.959961E+0
-5.000000E-2	2.347127E-5	-2.347127E-5	-7.373718E-11	6.484375E+0
-1.000000E-1	9.571212E-4	-9.571212E-4	-3.006885E-9	7.060547E+0
-1.500000E-1	1.698585E-3	-1.698585E-3	-5.336263E-9	7.248047E+0
-2.000000E-1	2.575147E-3	-2.575147E-3	-8.090064E-9	7.436523E+0
-2.500000E-1	4.493396E-3	-4.493396E-3	-1.411642E-8	8.011719E+0
-3.000000E-1	6.746935E-3	-6.746935E-3	-2.119612E-8	8.199219E+0
-3.500000E-1	9.121752E-3	-9.121752E-3	-2.865683E-8	8.387695E+0
-4.000000E-1	1.212666E-2	-1.212666E-2	-3.809704E-8	8.576172E+0
-4.500000E-1	1.511617E-2	-1.511617E-2	-4.748885E-8	8.763672E+0
-5.000000E-1	1.955031E-2	-1.955031E-2	-6.141912E-8	8.952148E+0
-5.000000E-1	1.958224E-2	-1.958224E-2	-6.151942E-8	9.140625E+0
-4.500000E-1	1.562083E-2	-1.562083E-2	-4.907429E-8	9.328125E+0
-4.000000E-1	1.201985E-2	-1.201985E-2	-3.776148E-8	9.516602E+0
-3.500000E-1	9.148105E-3	-9.148105E-3	-2.873962E-8	9.704102E+0
-3.000000E-1	6.842705E-3	-6.842705E-3	-2.149699E-8	9.892578E+0
-2.500000E-1	4.976829E-3	-4.976829E-3	-1.563517E-8	1.008105E+1
-2.000000E-1	3.323830E-3	-3.323830E-3	-1.044212E-8	1.026855E+1
-1.500000E-1	1.965510E-3	-1.965510E-3	-6.174831E-9	1.065039E+1
-1.000000E-1	1.087049E-3	-1.087049E-3	-3.415066E-9	1.083887E+1
-5.000000E-2	4.644389E-4	-4.644389E-4	-1.459078E-9	1.102637E+1
0.000000E+0	1.499764E-7	1.499764E-7	4.711648E-13	1.192187E+1
