voltage_7_1	absJ_7_1	J_7_1	current_7_1	time_7_1	
0.000000E+0	4.790216E-7	4.790216E-7	5.369302E-12	0.000000E+0
5.000000E-2	4.442749E-5	4.442749E-5	4.979830E-10	6.064453E-1
1.000000E-1	6.395270E-5	6.395270E-5	7.168390E-10	7.949219E-1
1.500000E-1	7.674476E-5	7.674476E-5	8.602238E-10	9.833984E-1
2.000000E-1	2.880748E-4	2.880748E-4	3.228999E-9	1.559570E+0
2.500000E-1	4.170622E-4	4.170622E-4	4.674805E-9	1.747070E+0
3.000000E-1	5.743710E-4	5.743710E-4	6.438063E-9	1.935547E+0
3.500000E-1	7.204844E-4	7.204844E-4	8.075832E-9	2.124023E+0
4.000000E-1	8.570247E-4	8.570247E-4	9.606297E-9	2.311523E+0
4.500000E-1	1.697410E-3	1.697410E-3	1.902609E-8	2.886719E+0
5.000000E-1	2.055558E-3	2.055558E-3	2.304053E-8	3.075195E+0
5.000000E-1	2.099867E-3	2.099867E-3	2.353718E-8	3.262695E+0
4.500000E-1	1.683132E-3	1.683132E-3	1.886605E-8	3.451172E+0
4.000000E-1	1.314635E-3	1.314635E-3	1.473560E-8	3.639648E+0
3.500000E-1	1.003275E-3	1.003275E-3	1.124560E-8	3.827148E+0
3.000000E-1	7.187009E-4	7.187009E-4	8.055841E-9	4.208984E+0
2.500000E-1	5.241595E-4	5.241595E-4	5.875247E-9	4.397461E+0
2.000000E-1	3.549661E-4	3.549661E-4	3.978777E-9	4.584961E+0
1.500000E-1	2.155419E-4	2.155419E-4	2.415986E-9	4.773438E+0
1.000000E-1	1.222382E-4	1.222382E-4	1.370155E-9	4.961914E+0
5.000000E-2	5.327823E-5	5.327823E-5	5.971899E-10	5.373047E+0
0.000000E+0	3.376400E-7	3.376400E-7	3.784570E-12	6.268555E+0
-5.000000E-2	6.644152E-6	-6.644152E-6	-7.447359E-11	6.791992E+0
-1.000000E-1	1.103121E-4	-1.103121E-4	-1.236476E-9	7.368164E+0
-1.500000E-1	2.011918E-4	-2.011918E-4	-2.255137E-9	7.556641E+0
-2.000000E-1	3.074217E-4	-3.074217E-4	-3.445857E-9	7.744141E+0
-2.500000E-1	4.526071E-4	-4.526071E-4	-5.073224E-9	7.932617E+0
-3.000000E-1	6.089016E-4	-6.089016E-4	-6.825113E-9	8.121094E+0
-3.500000E-1	1.019087E-3	-1.019087E-3	-1.142284E-8	8.696289E+0
-4.000000E-1	1.313355E-3	-1.313355E-3	-1.472125E-8	8.883789E+0
-4.500000E-1	1.638636E-3	-1.638636E-3	-1.836729E-8	9.072266E+0
-5.000000E-1	1.981270E-3	-1.981270E-3	-2.220784E-8	9.260742E+0
-5.000000E-1	1.970878E-3	-1.970878E-3	-2.209136E-8	9.448242E+0
-4.500000E-1	1.620414E-3	-1.620414E-3	-1.816305E-8	9.636719E+0
-4.000000E-1	1.275571E-3	-1.275571E-3	-1.429774E-8	9.824219E+0
-3.500000E-1	1.010445E-3	-1.010445E-3	-1.132597E-8	1.001270E+1
-3.000000E-1	7.314962E-4	-7.314962E-4	-8.199262E-9	1.039453E+1
-2.500000E-1	5.607577E-4	-5.607577E-4	-6.285473E-9	1.058301E+1
-2.000000E-1	3.863093E-4	-3.863093E-4	-4.330099E-9	1.077051E+1
-1.500000E-1	2.539359E-4	-2.539359E-4	-2.846340E-9	1.095898E+1
-1.000000E-1	1.383878E-4	-1.383878E-4	-1.551174E-9	1.114648E+1
-5.000000E-2	5.889975E-5	-5.889975E-5	-6.602010E-10	1.155859E+1
0.000000E+0	6.003275E-7	6.003275E-7	6.729006E-12	1.245410E+1
