voltage_4_2_21	absJ_4_2_21	J_4_2_21	current_4_2_21	time_4_2_21	
0.000000E+0	4.792718E-7	4.792718E-7	7.435441E-12	0.000000E+0
5.000000E-2	6.203509E-6	6.203509E-6	9.624148E-11	5.234375E-1
1.000000E-1	2.951648E-4	2.951648E-4	4.579198E-9	1.099609E+0
1.500000E-1	4.888795E-4	4.888795E-4	7.584496E-9	1.288086E+0
2.000000E-1	6.344367E-4	6.344367E-4	9.842674E-9	1.475586E+0
2.500000E-1	5.903417E-4	5.903417E-4	9.158583E-9	2.050781E+0
3.000000E-1	7.723173E-4	7.723173E-4	1.198176E-8	2.239258E+0
3.500000E-1	1.016324E-3	1.016324E-3	1.576729E-8	2.426758E+0
4.000000E-1	1.368023E-3	1.368023E-3	2.122356E-8	2.615234E+0
4.500000E-1	1.779130E-3	1.779130E-3	2.760149E-8	2.803711E+0
5.000000E-1	2.268475E-3	2.268475E-3	3.519321E-8	2.991211E+0
5.000000E-1	2.286547E-3	2.286547E-3	3.547357E-8	3.179688E+0
4.500000E-1	1.857640E-3	1.857640E-3	2.881950E-8	3.367188E+0
4.000000E-1	1.494732E-3	1.494732E-3	2.318933E-8	3.555664E+0
3.500000E-1	1.145196E-3	1.145196E-3	1.776662E-8	3.744141E+0
3.000000E-1	8.674744E-4	8.674744E-4	1.345803E-8	3.931641E+0
2.500000E-1	6.052963E-4	6.052963E-4	9.390590E-9	4.701172E+0
2.000000E-1	3.956129E-4	3.956129E-4	6.137554E-9	5.082031E+0
1.500000E-1	2.658871E-4	2.658871E-4	4.124983E-9	5.270508E+0
1.000000E-1	1.549939E-4	1.549939E-4	2.404581E-9	5.458008E+0
5.000000E-2	6.911927E-5	6.911927E-5	1.072319E-9	5.646484E+0
0.000000E+0	5.341692E-8	5.341692E-8	8.287121E-13	6.541016E+0
-5.000000E-2	5.432252E-6	-5.432252E-6	-8.427616E-11	7.065430E+0
-1.000000E-1	1.536681E-4	-1.536681E-4	-2.384013E-9	7.641602E+0
-1.500000E-1	2.692458E-4	-2.692458E-4	-4.177089E-9	7.829102E+0
-2.000000E-1	4.028908E-4	-4.028908E-4	-6.250463E-9	8.017578E+0
-2.500000E-1	5.467538E-4	-5.467538E-4	-8.482360E-9	8.592773E+0
-3.000000E-1	7.336646E-4	-7.336646E-4	-1.138210E-8	8.781250E+0
-3.500000E-1	9.537304E-4	-9.537304E-4	-1.479621E-8	8.968750E+0
-4.000000E-1	1.193856E-3	-1.193856E-3	-1.852152E-8	9.157227E+0
-4.500000E-1	1.396246E-3	-1.396246E-3	-2.166142E-8	9.344727E+0
