voltage_6_1_500mv_500ms	absJ_6_1_500mv_500ms	J_6_1_500mv_500ms	current_6_1_500mv_500ms	time_6_1_500mv_500ms	
0.000000E+0	3.485094E-9	-3.485094E-9	-1.351697E-14	0.000000E+0
5.000000E-2	8.490587E-6	8.490587E-6	3.293082E-11	1.001953E+0
1.000000E-1	2.049511E-5	2.049511E-5	7.949048E-11	2.004883E+0
1.500000E-1	5.190293E-5	5.190293E-5	2.013060E-10	4.018555E+0
2.000000E-1	9.378786E-5	9.378786E-5	3.637571E-10	4.685547E+0
2.500000E-1	2.166722E-4	2.166722E-4	8.403653E-10	5.353516E+0
3.000000E-1	2.121790E-4	2.121790E-4	8.229381E-10	6.021484E+0
3.500000E-1	1.480763E-4	1.480763E-4	5.743153E-10	6.689453E+0
4.000000E-1	2.368554E-4	2.368554E-4	9.186458E-10	7.357422E+0
4.500000E-1	6.225271E-4	6.225271E-4	2.414477E-9	9.371094E+0
5.000000E-1	6.550578E-4	6.550578E-4	2.540648E-9	1.003809E+1
5.000000E-1	9.965698E-4	9.965698E-4	3.865205E-9	1.070508E+1
4.500000E-1	8.486761E-4	8.486761E-4	3.291598E-9	1.137305E+1
4.000000E-1	5.459744E-4	5.459744E-4	2.117567E-9	1.204004E+1
3.500000E-1	4.223427E-4	4.223427E-4	1.638060E-9	1.270703E+1
3.000000E-1	1.820941E-4	1.820941E-4	7.062538E-10	1.404688E+1
2.500000E-1	1.459904E-4	1.459904E-4	5.662253E-10	1.471484E+1
2.000000E-1	1.092078E-4	1.092078E-4	4.235633E-10	1.538281E+1
1.500000E-1	6.038219E-5	6.038219E-5	2.341929E-10	1.605078E+1
1.000000E-1	3.397870E-5	3.397870E-5	1.317867E-10	1.671875E+1
5.000000E-2	1.466325E-5	1.466325E-5	5.687157E-11	1.849219E+1
0.000000E+0	4.525254E-8	4.525254E-8	1.755124E-13	1.949512E+1
-5.000000E-2	1.528493E-5	-1.528493E-5	-5.928276E-11	2.049805E+1
-1.000000E-1	3.000991E-5	-3.000991E-5	-1.163937E-10	2.251172E+1
-1.500000E-1	8.200800E-5	-8.200800E-5	-3.180688E-10	2.317969E+1
-2.000000E-1	1.006010E-4	-1.006010E-4	-3.901818E-10	2.384668E+1
-2.500000E-1	1.736375E-4	-1.736375E-4	-6.734545E-10	2.451465E+1
-3.000000E-1	2.145173E-4	-2.145173E-4	-8.320072E-10	2.518262E+1
-3.500000E-1	3.573685E-4	-3.573685E-4	-1.386057E-9	2.719531E+1
-4.000000E-1	4.974687E-4	-4.974687E-4	-1.929437E-9	2.786328E+1
-4.500000E-1	6.260508E-4	-6.260508E-4	-2.428144E-9	2.853027E+1
-5.000000E-1	7.348153E-4	-7.348153E-4	-2.849988E-9	2.919727E+1
-5.000000E-1	9.636132E-4	-9.636132E-4	-3.737383E-9	2.986426E+1
-4.500000E-1	6.943436E-4	-6.943436E-4	-2.693018E-9	3.053125E+1
-4.000000E-1	4.732411E-4	-4.732411E-4	-1.835470E-9	3.119922E+1
-3.500000E-1	3.497944E-4	-3.497944E-4	-1.356681E-9	3.186621E+1
-3.000000E-1	2.861176E-4	-2.861176E-4	-1.109710E-9	3.253320E+1
-2.500000E-1	1.923123E-4	-1.923123E-4	-7.458850E-10	3.387305E+1
-2.000000E-1	9.885587E-5	-9.885587E-5	-3.834134E-10	3.454102E+1
-1.500000E-1	5.916157E-5	-5.916157E-5	-2.294587E-10	3.520898E+1
-1.000000E-1	4.051472E-5	-4.051472E-5	-1.571367E-10	3.587598E+1
-5.000000E-2	1.564746E-5	-1.564746E-5	-6.068882E-11	3.764941E+1
0.000000E+0	6.871429E-8	-6.871429E-8	-2.665090E-13	3.865234E+1
