voltage_2_1_500mv_500ms	absJ_2_1_500mv_500ms	J_2_1_500mv_500ms	current_2_1_500mv_500ms	time_2_1_500mv_500ms	
0.000000E+0	4.805421E-8	4.805421E-8	1.863787E-13	0.000000E+0
5.000000E-2	2.208916E-6	2.208916E-6	8.567300E-12	7.031250E-1
1.000000E-1	4.622451E-6	4.622451E-6	1.792822E-11	1.406250E+0
1.500000E-1	7.420232E-6	7.420232E-6	2.877944E-11	2.109375E+0
2.000000E-1	1.102315E-5	1.102315E-5	4.275338E-11	2.812500E+0
2.500000E-1	1.540495E-5	1.540495E-5	5.974826E-11	3.515625E+0
3.000000E-1	2.164848E-5	2.164848E-5	8.396385E-11	4.218750E+0
3.500000E-1	2.663062E-5	2.663062E-5	1.032871E-10	4.921875E+0
4.000000E-1	4.296455E-5	4.296455E-5	1.666384E-10	6.037109E+0
4.500000E-1	5.769979E-5	5.769979E-5	2.237892E-10	6.405273E+0
5.000000E-1	7.126209E-5	7.126209E-5	2.763907E-10	6.774414E+0
5.000000E-1	7.031129E-5	7.031129E-5	2.727030E-10	7.142578E+0
4.500000E-1	5.360198E-5	5.360198E-5	2.078958E-10	7.510742E+0
4.000000E-1	4.058856E-5	4.058856E-5	1.574231E-10	7.879883E+0
3.500000E-1	3.012848E-5	3.012848E-5	1.168536E-10	8.248047E+0
3.000000E-1	2.229973E-5	2.229973E-5	8.648970E-11	9.422852E+0
2.500000E-1	1.561824E-5	1.561824E-5	6.057550E-11	1.012598E+1
2.000000E-1	1.152446E-5	1.152446E-5	4.469772E-11	1.082910E+1
1.500000E-1	7.593936E-6	7.593936E-6	2.945315E-11	1.153223E+1
1.000000E-1	5.088816E-6	5.088816E-6	1.973702E-11	1.223535E+1
5.000000E-2	2.289395E-6	2.289395E-6	8.879439E-12	1.293848E+1
0.000000E+0	6.497514E-8	6.497514E-8	2.520067E-13	1.364160E+1
-5.000000E-2	2.206715E-6	-2.206715E-6	-8.558765E-12	1.434473E+1
-1.000000E-1	4.388658E-6	-4.388658E-6	-1.702145E-11	1.504785E+1
-1.500000E-1	6.919230E-6	-6.919230E-6	-2.683630E-11	1.575098E+1
-2.000000E-1	9.943217E-6	-9.943217E-6	-3.856486E-11	1.645410E+1
-2.500000E-1	1.394781E-5	-1.394781E-5	-5.409673E-11	1.715723E+1
-3.000000E-1	1.839279E-5	-1.839279E-5	-7.133662E-11	1.786035E+1
-3.500000E-1	2.482959E-5	-2.482959E-5	-9.630181E-11	1.856348E+1
-4.000000E-1	3.637650E-5	-3.637650E-5	-1.410866E-10	1.967871E+1
-4.500000E-1	4.501291E-5	-4.501291E-5	-1.745830E-10	2.004688E+1
-5.000000E-1	6.017237E-5	-6.017237E-5	-2.333791E-10	2.041504E+1
-5.000000E-1	5.957941E-5	-5.957941E-5	-2.310793E-10	2.078418E+1
-4.500000E-1	4.416754E-5	-4.416754E-5	-1.713042E-10	2.115234E+1
-4.000000E-1	3.366848E-5	-3.366848E-5	-1.305835E-10	2.152051E+1
-3.500000E-1	2.480620E-5	-2.480620E-5	-9.621109E-11	2.269531E+1
-3.000000E-1	2.029607E-5	-2.029607E-5	-7.871849E-11	2.339844E+1
-2.500000E-1	1.659085E-5	-1.659085E-5	-6.434776E-11	2.410156E+1
-2.000000E-1	1.253343E-5	-1.253343E-5	-4.861102E-11	2.480469E+1
-1.500000E-1	8.283932E-6	-8.283932E-6	-3.212931E-11	2.550781E+1
-1.000000E-1	5.267650E-6	-5.267650E-6	-2.043063E-11	2.621094E+1
-5.000000E-2	2.657756E-6	-2.657756E-6	-1.030813E-11	2.691406E+1
0.000000E+0	5.948630E-8	-5.948630E-8	-2.307182E-13	2.761719E+1
