voltage_2_1_500mv_500ms	absJ_2_1_500mv_500ms	J_2_1_500mv_500ms	current_2_1_500mv_500ms	time_2_1_500mv_500ms	
0.000000E+0	1.549526E-8	1.549526E-8	8.654188E-14	0.000000E+0
5.000000E-2	3.153644E-7	3.153644E-7	1.761327E-12	1.001953E+0
1.000000E-1	5.314135E-7	5.314135E-7	2.967973E-12	2.004883E+0
1.500000E-1	9.693809E-7	9.693809E-7	5.414044E-12	3.007813E+0
2.000000E-1	1.094275E-6	1.094275E-6	6.111583E-12	4.009766E+0
2.500000E-1	2.595907E-6	2.595907E-6	1.449828E-11	5.012695E+0
3.000000E-1	2.147133E-6	2.147133E-6	1.199185E-11	6.015625E+0
3.500000E-1	3.813315E-6	3.813315E-6	2.129757E-11	7.017578E+0
4.000000E-1	5.371292E-6	5.371292E-6	2.999895E-11	8.020508E+0
4.500000E-1	7.684143E-6	7.684143E-6	4.291635E-11	9.023438E+0
5.000000E-1	7.600939E-6	7.600939E-6	4.245165E-11	1.002539E+1
5.000000E-1	1.182168E-5	1.182168E-5	6.602469E-11	1.102832E+1
4.500000E-1	4.732091E-6	4.732091E-6	2.642898E-11	1.203125E+1
4.000000E-1	5.322819E-6	5.322819E-6	2.972823E-11	1.303320E+1
3.500000E-1	2.316656E-6	2.316656E-6	1.293865E-11	1.403613E+1
3.000000E-1	2.665108E-6	2.665108E-6	1.488477E-11	1.503906E+1
2.500000E-1	1.916152E-6	1.916152E-6	1.070181E-11	1.604102E+1
2.000000E-1	1.191565E-6	1.191565E-6	6.654954E-12	1.704395E+1
1.500000E-1	6.621890E-7	6.621890E-7	3.698361E-12	1.804688E+1
1.000000E-1	6.756119E-7	6.756119E-7	3.773329E-12	1.904883E+1
5.000000E-2	9.775237E-8	9.775237E-8	5.459522E-13	2.005176E+1
0.000000E+0	7.603514E-9	-7.603514E-9	-4.246603E-14	2.105371E+1
-5.000000E-2	1.489966E-7	-1.489966E-7	-8.321538E-13	2.205762E+1
-1.000000E-1	3.217951E-7	-3.217951E-7	-1.797243E-12	2.305957E+1
-1.500000E-1	8.336308E-7	-8.336308E-7	-4.655873E-12	2.406250E+1
-2.000000E-1	9.752476E-7	-9.752476E-7	-5.446810E-12	2.506445E+1
-2.500000E-1	8.605488E-7	-8.605488E-7	-4.806211E-12	2.606738E+1
-3.000000E-1	2.384047E-6	-2.384047E-6	-1.331503E-11	2.706934E+1
-3.500000E-1	3.028644E-6	-3.028644E-6	-1.691514E-11	2.807227E+1
-4.000000E-1	4.357244E-6	-4.357244E-6	-2.433544E-11	2.907520E+1
-4.500000E-1	8.306359E-6	-8.306359E-6	-4.639146E-11	3.007715E+1
-5.000000E-1	6.740861E-6	-6.740861E-6	-3.764807E-11	3.108008E+1
-5.000000E-1	5.365238E-6	-5.365238E-6	-2.996514E-11	3.208203E+1
-4.500000E-1	5.873306E-6	-5.873306E-6	-3.280273E-11	3.308496E+1
-4.000000E-1	3.992073E-6	-3.992073E-6	-2.229594E-11	3.408789E+1
-3.500000E-1	5.352113E-6	-5.352113E-6	-2.989184E-11	3.508984E+1
-3.000000E-1	4.652459E-6	-4.652459E-6	-2.598423E-11	3.609277E+1
-2.500000E-1	2.049765E-6	-2.049765E-6	-1.144805E-11	3.709473E+1
-2.000000E-1	2.614659E-6	-2.614659E-6	-1.460301E-11	3.809766E+1
-1.500000E-1	9.210289E-7	-9.210289E-7	-5.143996E-12	3.909961E+1
-1.000000E-1	7.361791E-7	-7.361791E-7	-4.111600E-12	4.010254E+1
-5.000000E-2	3.990850E-7	-3.990850E-7	-2.228911E-12	4.110547E+1
0.000000E+0	6.800423E-8	6.800423E-8	3.798073E-13	4.210742E+1
