voltage_2_2_500mv_500ms	absJ_2_2_500mv_500ms	J_2_2_500mv_500ms	current_2_2_500mv_500ms	time_2_2_500mv_500ms	
0.000000E+0	9.582936E-10	9.582936E-10	1.074141E-14	0.000000E+0
5.000000E-2	2.845485E-5	2.845485E-5	3.189473E-10	2.012695E+0
1.000000E-1	6.164698E-5	6.164698E-5	6.909944E-10	2.680664E+0
1.500000E-1	9.057149E-5	9.057149E-5	1.015206E-9	5.361328E+0
2.000000E-1	1.450382E-4	1.450382E-4	1.625718E-9	6.028320E+0
2.500000E-1	1.815120E-4	1.815120E-4	2.034549E-9	6.695313E+0
3.000000E-1	3.527282E-4	3.527282E-4	3.953692E-9	7.362305E+0
3.500000E-1	4.650773E-4	4.650773E-4	5.213001E-9	8.030273E+0
4.000000E-1	2.281239E-4	2.281239E-4	2.557016E-9	1.004199E+1
4.500000E-1	2.114581E-4	2.114581E-4	2.370211E-9	1.138184E+1
5.000000E-1	3.008432E-4	3.008432E-4	3.372119E-9	1.204980E+1
5.000000E-1	3.828951E-4	3.828951E-4	4.291830E-9	1.271680E+1
4.500000E-1	2.020203E-4	2.020203E-4	2.264424E-9	1.338379E+1
4.000000E-1	1.686546E-4	1.686546E-4	1.890431E-9	1.405176E+1
3.500000E-1	1.448651E-4	1.448651E-4	1.623777E-9	1.471875E+1
3.000000E-1	1.299657E-4	1.299657E-4	1.456772E-9	1.538574E+1
2.500000E-1	8.903816E-5	8.903816E-5	9.980191E-10	1.672559E+1
2.000000E-1	5.789699E-5	5.789699E-5	6.489611E-10	1.739355E+1
1.500000E-1	4.098023E-5	4.098023E-5	4.593430E-10	1.806152E+1
1.000000E-1	2.643976E-5	2.643976E-5	2.963604E-10	1.872949E+1
5.000000E-2	1.383739E-5	1.383739E-5	1.551018E-10	1.939746E+1
0.000000E+0	1.379299E-7	1.379299E-7	1.546041E-12	2.117090E+1
-5.000000E-2	1.316411E-5	-1.316411E-5	-1.475551E-10	2.318555E+1
-1.000000E-1	3.000339E-5	-3.000339E-5	-3.363048E-10	2.385352E+1
-1.500000E-1	4.387662E-5	-4.387662E-5	-4.918083E-10	2.452051E+1
-2.000000E-1	7.230858E-5	-7.230858E-5	-8.104991E-10	2.518848E+1
-2.500000E-1	9.836494E-5	-9.836494E-5	-1.102562E-9	2.720215E+1
-3.000000E-1	1.169285E-4	-1.169285E-4	-1.310639E-9	2.786914E+1
-3.500000E-1	1.523287E-4	-1.523287E-4	-1.707436E-9	2.853613E+1
-4.000000E-1	1.711132E-4	-1.711132E-4	-1.917989E-9	2.920313E+1
-4.500000E-1	2.126905E-4	-2.126905E-4	-2.384025E-9	2.987012E+1
-5.000000E-1	2.232193E-4	-2.232193E-4	-2.502041E-9	3.053711E+1
-5.000000E-1	2.285126E-4	-2.285126E-4	-2.561373E-9	3.120508E+1
-4.500000E-1	2.164438E-4	-2.164438E-4	-2.426095E-9	3.187207E+1
-4.000000E-1	1.885026E-4	-1.885026E-4	-2.112905E-9	3.253906E+1
-3.500000E-1	1.789119E-4	-1.789119E-4	-2.005404E-9	3.320605E+1
-3.000000E-1	1.263185E-4	-1.263185E-4	-1.415891E-9	3.387305E+1
-2.500000E-1	1.028938E-4	-1.028938E-4	-1.153326E-9	3.454102E+1
-2.000000E-1	7.505870E-5	-7.505870E-5	-8.413249E-10	3.588086E+1
-1.500000E-1	4.058173E-5	-4.058173E-5	-4.548762E-10	3.654785E+1
-1.000000E-1	2.376072E-5	-2.376072E-5	-2.663314E-10	3.721582E+1
-5.000000E-2	1.191466E-5	-1.191466E-5	-1.335501E-10	3.788379E+1
0.000000E+0	1.073549E-7	1.073549E-7	1.203329E-12	3.965723E+1
