voltage_11_1	absJ_11_1	J_11_1	current_11_1	time_11_1	
0.000000E+0	4.384620E-6	4.384620E-6	2.448834E-11	0.000000E+0
5.000000E-2	3.512138E-3	3.512138E-3	1.961548E-8	3.828125E-1
1.000000E-1	8.235368E-3	8.235368E-3	4.599497E-8	5.703125E-1
1.500000E-1	1.487064E-2	1.487064E-2	8.305334E-8	7.587891E-1
2.000000E-1	2.316961E-2	2.316961E-2	1.294035E-7	1.333008E+0
2.500000E-1	3.418461E-2	3.418461E-2	1.909229E-7	1.521484E+0
3.000000E-1	4.781568E-2	4.781568E-2	2.670531E-7	1.708984E+0
3.500000E-1	6.340641E-2	6.340641E-2	3.541282E-7	1.897461E+0
4.000000E-1	8.106916E-2	8.106916E-2	4.527756E-7	2.085938E+0
4.500000E-1	1.005937E-1	1.005937E-1	5.618211E-7	2.273438E+0
5.000000E-1	1.234639E-1	1.234639E-1	6.895522E-7	2.461914E+0
5.000000E-1	1.236979E-1	1.236979E-1	6.908594E-7	2.650391E+0
4.500000E-1	1.022995E-1	1.022995E-1	5.713482E-7	2.837891E+0
4.000000E-1	8.214564E-2	8.214564E-2	4.587878E-7	3.026367E+0
3.500000E-1	6.436322E-2	6.436322E-2	3.594720E-7	3.213867E+0
3.000000E-1	4.871484E-2	4.871484E-2	2.720750E-7	3.402344E+0
2.500000E-1	3.522367E-2	3.522367E-2	1.967261E-7	3.590820E+0
2.000000E-1	2.405980E-2	2.405980E-2	1.343753E-7	3.778320E+0
1.500000E-1	1.507794E-2	1.507794E-2	8.421108E-8	4.160156E+0
1.000000E-1	8.472603E-3	8.472603E-3	4.731994E-8	4.348633E+0
5.000000E-2	3.687102E-3	3.687102E-3	2.059266E-8	4.536133E+0
0.000000E+0	3.979111E-6	3.979111E-6	2.222355E-11	5.430664E+0
-5.000000E-2	3.657867E-3	-3.657867E-3	-2.042938E-8	5.814453E+0
-1.000000E-1	8.385952E-3	-8.385952E-3	-4.683599E-8	6.001953E+0
-1.500000E-1	1.495924E-2	-1.495924E-2	-8.354814E-8	6.190430E+0
-2.000000E-1	2.353285E-2	-2.353285E-2	-1.314322E-7	6.764648E+0
-2.500000E-1	3.396390E-2	-3.396390E-2	-1.896902E-7	6.953125E+0
-3.000000E-1	4.671352E-2	-4.671352E-2	-2.608975E-7	7.140625E+0
-3.500000E-1	6.149003E-2	-6.149003E-2	-3.434251E-7	7.329102E+0
-4.000000E-1	7.831732E-2	-7.831732E-2	-4.374064E-7	7.517578E+0
-4.500000E-1	9.656677E-2	-9.656677E-2	-5.393306E-7	7.705078E+0
-5.000000E-1	1.168841E-1	-1.168841E-1	-6.528039E-7	7.893555E+0
-5.000000E-1	1.160119E-1	-1.160119E-1	-6.479327E-7	8.081055E+0
-4.500000E-1	9.568906E-2	-9.568906E-2	-5.344285E-7	8.269531E+0
-4.000000E-1	7.835787E-2	-7.835787E-2	-4.376329E-7	8.458008E+0
-3.500000E-1	6.205228E-2	-6.205228E-2	-3.465653E-7	8.645508E+0
-3.000000E-1	4.731113E-2	-4.731113E-2	-2.642352E-7	8.833984E+0
-2.500000E-1	3.474855E-2	-3.474855E-2	-1.940725E-7	9.022461E+0
-2.000000E-1	2.390838E-2	-2.390838E-2	-1.335296E-7	9.209961E+0
-1.500000E-1	1.520683E-2	-1.520683E-2	-8.493099E-8	9.591797E+0
-1.000000E-1	8.597097E-3	-8.597097E-3	-4.801525E-8	9.780273E+0
-5.000000E-2	3.784800E-3	-3.784800E-3	-2.113831E-8	9.967773E+0
0.000000E+0	4.381269E-6	4.381269E-6	2.446962E-11	1.086328E+1
