voltage_4_2_21	absJ_4_2_21	J_4_2_21	current_4_2_21	time_4_2_21	
0.000000E+0	1.764787E-6	1.764787E-6	1.540067E-11	0.000000E+0
5.000000E-2	3.988556E-4	3.988556E-4	3.480672E-9	5.761719E-1
1.000000E-1	9.341115E-4	9.341115E-4	8.151661E-9	7.636719E-1
1.500000E-1	1.706436E-3	1.706436E-3	1.489146E-8	1.338867E+0
2.000000E-1	2.827319E-3	2.827319E-3	2.467301E-8	1.527344E+0
2.500000E-1	4.394447E-3	4.394447E-3	3.834878E-8	1.715820E+0
3.000000E-1	6.488422E-3	6.488422E-3	5.662216E-8	1.903320E+0
3.500000E-1	9.212253E-3	9.212253E-3	8.039208E-8	2.091797E+0
4.000000E-1	1.261001E-2	1.261001E-2	1.100431E-7	2.666016E+0
4.500000E-1	1.670933E-2	1.670933E-2	1.458164E-7	2.854492E+0
5.000000E-1	2.180108E-2	2.180108E-2	1.902503E-7	3.041992E+0
5.000000E-1	2.180560E-2	2.180560E-2	1.902898E-7	3.230469E+0
4.500000E-1	1.696598E-2	1.696598E-2	1.480561E-7	3.418945E+0
4.000000E-1	1.279690E-2	1.279690E-2	1.116740E-7	3.606445E+0
3.500000E-1	9.399382E-3	9.399382E-3	8.202508E-8	3.988281E+0
3.000000E-1	6.618674E-3	6.618674E-3	5.775883E-8	4.176758E+0
2.500000E-1	4.502744E-3	4.502744E-3	3.929385E-8	4.364258E+0
2.000000E-1	2.925311E-3	2.925311E-3	2.552815E-8	4.552734E+0
1.500000E-1	1.776893E-3	1.776893E-3	1.550632E-8	4.740234E+0
1.000000E-1	9.606318E-4	9.606318E-4	8.383094E-9	5.122070E+0
5.000000E-2	4.153076E-4	4.153076E-4	3.624243E-9	5.310547E+0
0.000000E+0	1.687309E-6	1.687309E-6	1.472455E-11	6.205078E+0
-5.000000E-2	3.916113E-4	-3.916113E-4	-3.417453E-9	6.782227E+0
-1.000000E-1	9.246973E-4	-9.246973E-4	-8.069506E-9	6.969727E+0
-1.500000E-1	1.690919E-3	-1.690919E-3	-1.475605E-8	7.544922E+0
-2.000000E-1	2.754304E-3	-2.754304E-3	-2.403584E-8	7.733398E+0
-2.500000E-1	4.243883E-3	-4.243883E-3	-3.703487E-8	7.920898E+0
-3.000000E-1	6.217313E-3	-6.217313E-3	-5.425629E-8	8.109375E+0
-3.500000E-1	8.714026E-3	-8.714026E-3	-7.604422E-8	8.297852E+0
-4.000000E-1	1.176288E-2	-1.176288E-2	-1.026505E-7	8.485352E+0
-4.500000E-1	1.553242E-2	-1.553242E-2	-1.355459E-7	9.060547E+0
-5.000000E-1	1.990937E-2	-1.990937E-2	-1.737420E-7	9.248047E+0
-5.000000E-1	1.994096E-2	-1.994096E-2	-1.740177E-7	9.436523E+0
-4.500000E-1	1.560668E-2	-1.560668E-2	-1.361940E-7	9.625000E+0
-4.000000E-1	1.192852E-2	-1.192852E-2	-1.040960E-7	9.812500E+0
-3.500000E-1	8.808968E-3	-8.808968E-3	-7.687275E-8	1.019434E+1
-3.000000E-1	6.344901E-3	-6.344901E-3	-5.536971E-8	1.038281E+1
-2.500000E-1	4.403433E-3	-4.403433E-3	-3.842720E-8	1.057031E+1
-2.000000E-1	2.891294E-3	-2.891294E-3	-2.523130E-8	1.075879E+1
-1.500000E-1	1.773928E-3	-1.773928E-3	-1.548044E-8	1.094727E+1
-1.000000E-1	9.688305E-4	-9.688305E-4	-8.454641E-9	1.132813E+1
-5.000000E-2	4.251833E-4	-4.251833E-4	-3.710424E-9	1.151660E+1
0.000000E+0	1.682120E-6	1.682120E-6	1.467927E-11	1.241113E+1
0.000000E+0	1.999330E-6	1.999330E-6	1.744745E-11	1.293555E+1
5.000000E-2	4.268604E-4	4.268604E-4	3.725060E-9	1.351172E+1
1.000000E-1	9.992294E-4	9.992294E-4	8.719922E-9	1.369922E+1
1.500000E-1	1.801116E-3	1.801116E-3	1.571770E-8	1.427441E+1
2.000000E-1	2.976711E-3	2.976711E-3	2.597670E-8	1.446289E+1
2.500000E-1	4.649108E-3	4.649108E-3	4.057112E-8	1.465137E+1
3.000000E-1	6.848126E-3	6.848126E-3	5.976118E-8	1.483887E+1
3.500000E-1	9.630939E-3	9.630939E-3	8.404580E-8	1.502734E+1
4.000000E-1	1.304357E-2	1.304357E-2	1.138266E-7	1.560156E+1
4.500000E-1	1.724275E-2	1.724275E-2	1.504714E-7	1.579004E+1
5.000000E-1	2.243925E-2	2.243925E-2	1.958194E-7	1.597754E+1
5.000000E-1	2.258867E-2	2.258867E-2	1.971233E-7	1.616602E+1
4.500000E-1	1.749114E-2	1.749114E-2	1.526390E-7	1.635449E+1
4.000000E-1	1.322077E-2	1.322077E-2	1.153730E-7	1.654199E+1
3.500000E-1	9.716843E-3	9.716843E-3	8.479545E-8	1.692383E+1
3.000000E-1	6.908035E-3	6.908035E-3	6.028398E-8	1.711230E+1
2.500000E-1	4.704183E-3	4.704183E-3	4.105174E-8	1.729980E+1
2.000000E-1	3.047821E-3	3.047821E-3	2.659726E-8	1.748828E+1
1.500000E-1	1.849512E-3	1.849512E-3	1.614004E-8	1.767676E+1
1.000000E-1	9.867441E-4	9.867441E-4	8.610967E-9	1.805762E+1
5.000000E-2	4.279496E-4	4.279496E-4	3.734565E-9	1.824609E+1
0.000000E+0	1.575109E-6	1.575109E-6	1.374542E-11	1.914063E+1
-5.000000E-2	3.994925E-4	-3.994925E-4	-3.486230E-9	1.971777E+1
-1.000000E-1	9.452153E-4	-9.452153E-4	-8.248559E-9	1.990527E+1
-1.500000E-1	1.747550E-3	-1.747550E-3	-1.525025E-8	2.048047E+1
-2.000000E-1	2.857727E-3	-2.857727E-3	-2.493837E-8	2.066895E+1
-2.500000E-1	4.366408E-3	-4.366408E-3	-3.810410E-8	2.085645E+1
-3.000000E-1	6.369799E-3	-6.369799E-3	-5.558698E-8	2.104492E+1
-3.500000E-1	8.956221E-3	-8.956221E-3	-7.815777E-8	2.123340E+1
-4.000000E-1	1.200705E-2	-1.200705E-2	-1.047813E-7	2.142090E+1
-4.500000E-1	1.618293E-2	-1.618293E-2	-1.412227E-7	2.199609E+1
-5.000000E-1	2.067270E-2	-2.067270E-2	-1.804033E-7	2.218359E+1
-5.000000E-1	2.072014E-2	-2.072014E-2	-1.808173E-7	2.237207E+1
-4.500000E-1	1.621895E-2	-1.621895E-2	-1.415370E-7	2.255957E+1
-4.000000E-1	1.234482E-2	-1.234482E-2	-1.077289E-7	2.274805E+1
-3.500000E-1	9.128925E-3	-9.128925E-3	-7.966490E-8	2.312988E+1
-3.000000E-1	6.587048E-3	-6.587048E-3	-5.748284E-8	2.331836E+1
-2.500000E-1	4.531180E-3	-4.531180E-3	-3.954200E-8	2.350586E+1
-2.000000E-1	2.972868E-3	-2.972868E-3	-2.594317E-8	2.369434E+1
-1.500000E-1	1.817337E-3	-1.817337E-3	-1.585926E-8	2.388184E+1
-1.000000E-1	9.917067E-4	-9.917067E-4	-8.654274E-9	2.426367E+1
-5.000000E-2	4.313073E-4	-4.313073E-4	-3.763866E-9	2.445215E+1
0.000000E+0	1.725223E-6	1.725223E-6	1.505541E-11	2.534668E+1
0.000000E+0	2.075178E-6	2.075178E-6	1.810934E-11	2.587109E+1
5.000000E-2	4.331114E-4	4.331114E-4	3.779610E-9	2.644727E+1
1.000000E-1	1.018019E-3	1.018019E-3	8.883888E-9	2.663477E+1
1.500000E-1	1.864820E-3	1.864820E-3	1.627362E-8	2.720996E+1
2.000000E-1	3.070046E-3	3.070046E-3	2.679121E-8	2.739844E+1
2.500000E-1	4.742494E-3	4.742494E-3	4.138607E-8	2.758594E+1
3.000000E-1	6.995020E-3	6.995020E-3	6.104307E-8	2.777441E+1
3.500000E-1	9.895781E-3	9.895781E-3	8.635698E-8	2.796289E+1
4.000000E-1	1.342240E-2	1.342240E-2	1.171325E-7	2.853711E+1
4.500000E-1	1.779030E-2	1.779030E-2	1.552497E-7	2.872461E+1
5.000000E-1	2.313358E-2	2.313358E-2	2.018786E-7	2.891309E+1
5.000000E-1	2.323582E-2	2.323582E-2	2.027708E-7	2.910156E+1
4.500000E-1	1.791781E-2	1.791781E-2	1.563624E-7	2.928906E+1
4.000000E-1	1.349971E-2	1.349971E-2	1.178072E-7	2.947754E+1
3.500000E-1	9.894126E-3	9.894126E-3	8.634254E-8	2.985937E+1
3.000000E-1	7.036844E-3	7.036844E-3	6.140805E-8	3.004688E+1
2.500000E-1	4.794684E-3	4.794684E-3	4.184151E-8	3.023535E+1
2.000000E-1	3.099055E-3	3.099055E-3	2.704436E-8	3.042383E+1
1.500000E-1	1.875619E-3	1.875619E-3	1.636786E-8	3.061133E+1
1.000000E-1	1.010555E-3	1.010555E-3	8.818756E-9	3.099316E+1
5.000000E-2	4.347389E-4	4.347389E-4	3.793813E-9	3.118164E+1
0.000000E+0	1.490095E-6	1.490095E-6	1.300353E-11	3.207617E+1
-5.000000E-2	4.126785E-4	-4.126785E-4	-3.601299E-9	3.265234E+1
-1.000000E-1	9.748641E-4	-9.748641E-4	-8.507294E-9	3.284082E+1
-1.500000E-1	1.800194E-3	-1.800194E-3	-1.570966E-8	3.341602E+1
-2.000000E-1	2.940317E-3	-2.940317E-3	-2.565911E-8	3.360449E+1
-2.500000E-1	4.508873E-3	-4.508873E-3	-3.934734E-8	3.379199E+1
-3.000000E-1	6.590417E-3	-6.590417E-3	-5.751224E-8	3.398047E+1
-3.500000E-1	9.312386E-3	-9.312386E-3	-8.126590E-8	3.416797E+1
-4.000000E-1	1.272475E-2	-1.272475E-2	-1.110444E-7	3.474316E+1
-4.500000E-1	1.668694E-2	-1.668694E-2	-1.456210E-7	3.493066E+1
-5.000000E-1	2.140403E-2	-2.140403E-2	-1.867854E-7	3.511914E+1
-5.000000E-1	2.142607E-2	-2.142607E-2	-1.869777E-7	3.530762E+1
-4.500000E-1	1.672825E-2	-1.672825E-2	-1.459815E-7	3.549512E+1
-4.000000E-1	1.275719E-2	-1.275719E-2	-1.113275E-7	3.568359E+1
-3.500000E-1	9.410849E-3	-9.410849E-3	-8.212515E-8	3.606543E+1
-3.000000E-1	6.756046E-3	-6.756046E-3	-5.895762E-8	3.625293E+1
-2.500000E-1	4.645790E-3	-4.645790E-3	-4.054216E-8	3.644141E+1
-2.000000E-1	3.050235E-3	-3.050235E-3	-2.661832E-8	3.662891E+1
-1.500000E-1	1.864244E-3	-1.864244E-3	-1.626860E-8	3.681738E+1
-1.000000E-1	1.020946E-3	-1.020946E-3	-8.909437E-9	3.719922E+1
-5.000000E-2	4.414248E-4	-4.414248E-4	-3.852158E-9	3.738770E+1
0.000000E+0	1.813611E-6	1.813611E-6	1.582674E-11	3.828223E+1
0.000000E+0	1.155397E-6	1.155397E-6	1.008274E-11	3.880664E+1
5.000000E-2	4.394937E-4	4.394937E-4	3.835306E-9	3.938184E+1
1.000000E-1	1.036448E-3	1.036448E-3	9.044719E-9	3.957031E+1
1.500000E-1	1.889728E-3	1.889728E-3	1.649099E-8	4.014551E+1
2.000000E-1	3.145260E-3	3.145260E-3	2.744757E-8	4.033398E+1
2.500000E-1	4.858652E-3	4.858652E-3	4.239974E-8	4.052148E+1
3.000000E-1	7.193513E-3	7.193513E-3	6.277524E-8	4.070996E+1
3.500000E-1	1.018987E-2	1.018987E-2	8.892335E-8	4.089746E+1
4.000000E-1	1.385284E-2	1.385284E-2	1.208888E-7	4.147266E+1
4.500000E-1	1.841893E-2	1.841893E-2	1.607355E-7	4.166016E+1
5.000000E-1	2.386528E-2	2.386528E-2	2.082639E-7	4.184863E+1
5.000000E-1	2.384006E-2	2.384006E-2	2.080438E-7	4.203613E+1
4.500000E-1	1.854090E-2	1.854090E-2	1.617999E-7	4.222461E+1
4.000000E-1	1.397232E-2	1.397232E-2	1.219315E-7	4.241309E+1
3.500000E-1	1.017646E-2	1.017646E-2	8.880638E-8	4.279492E+1
3.000000E-1	7.233188E-3	7.233188E-3	6.312147E-8	4.298242E+1
2.500000E-1	4.939160E-3	4.939160E-3	4.310230E-8	4.317090E+1
2.000000E-1	3.191640E-3	3.191640E-3	2.785231E-8	4.335840E+1
1.500000E-1	1.931724E-3	1.931724E-3	1.685747E-8	4.354687E+1
1.000000E-1	1.043959E-3	1.043959E-3	9.110258E-9	4.392871E+1
5.000000E-2	4.524809E-4	4.524809E-4	3.948641E-9	4.411621E+1
0.000000E+0	1.429392E-6	1.429392E-6	1.247380E-11	4.501172E+1
-5.000000E-2	4.192466E-4	-4.192466E-4	-3.658617E-9	4.558789E+1
-1.000000E-1	1.001850E-3	-1.001850E-3	-8.742793E-9	4.577637E+1
-1.500000E-1	1.851205E-3	-1.851205E-3	-1.615481E-8	4.635156E+1
-2.000000E-1	3.035499E-3	-3.035499E-3	-2.648973E-8	4.653906E+1
-2.500000E-1	4.702699E-3	-4.702699E-3	-4.103879E-8	4.672754E+1
-3.000000E-1	6.834409E-3	-6.834409E-3	-5.964147E-8	4.691504E+1
-3.500000E-1	9.609014E-3	-9.609014E-3	-8.385447E-8	4.710352E+1
-4.000000E-1	1.309243E-2	-1.309243E-2	-1.142530E-7	4.767773E+1
-4.500000E-1	1.714796E-2	-1.714796E-2	-1.496442E-7	4.786621E+1
-5.000000E-1	2.203384E-2	-2.203384E-2	-1.922815E-7	4.805371E+1
-5.000000E-1	2.205486E-2	-2.205486E-2	-1.924650E-7	4.824219E+1
-4.500000E-1	1.722882E-2	-1.722882E-2	-1.503498E-7	4.843066E+1
-4.000000E-1	1.314037E-2	-1.314037E-2	-1.146714E-7	4.861816E+1
-3.500000E-1	9.685941E-3	-9.685941E-3	-8.452578E-8	4.900000E+1
-3.000000E-1	6.957911E-3	-6.957911E-3	-6.071923E-8	4.918848E+1
-2.500000E-1	4.782979E-3	-4.782979E-3	-4.173937E-8	4.937598E+1
-2.000000E-1	3.132031E-3	-3.132031E-3	-2.733213E-8	4.956445E+1
-1.500000E-1	1.905449E-3	-1.905449E-3	-1.662818E-8	4.975293E+1
-1.000000E-1	1.040851E-3	-1.040851E-3	-9.083134E-9	5.013379E+1
-5.000000E-2	4.480041E-4	-4.480041E-4	-3.909573E-9	5.032227E+1
0.000000E+0	2.167758E-6	2.167758E-6	1.891726E-11	5.121680E+1
0.000000E+0	6.353666E-7	6.353666E-7	5.544620E-12	5.174121E+1
5.000000E-2	4.545364E-4	4.545364E-4	3.966578E-9	5.231738E+1
1.000000E-1	1.066174E-3	1.066174E-3	9.304125E-9	5.250488E+1
1.500000E-1	1.965203E-3	1.965203E-3	1.714963E-8	5.308008E+1
