voltage_4_1	absJ_4_1	J_4_1	current_4_1	time_4_1	
0.000000E+0	8.547176E-7	8.547176E-7	1.196726E-11	0.000000E+0
5.000000E-2	2.373916E-4	2.373916E-4	3.323819E-9	5.761719E-1
1.000000E-1	5.609695E-4	5.609695E-4	7.854369E-9	7.636719E-1
1.500000E-1	1.096853E-3	1.096853E-3	1.535750E-8	1.338867E+0
2.000000E-1	1.811633E-3	1.811633E-3	2.536544E-8	1.527344E+0
2.500000E-1	2.743877E-3	2.743877E-3	3.841817E-8	1.714844E+0
3.000000E-1	3.932566E-3	3.932566E-3	5.506151E-8	1.903320E+0
3.500000E-1	5.433291E-3	5.433291E-3	7.607378E-8	2.091797E+0
4.000000E-1	7.232231E-3	7.232231E-3	1.012615E-7	2.279297E+0
4.500000E-1	1.001579E-2	1.001579E-2	1.402353E-7	2.854492E+0
5.000000E-1	1.276351E-2	1.276351E-2	1.787073E-7	3.041992E+0
5.000000E-1	1.292411E-2	1.292411E-2	1.809559E-7	3.230469E+0
4.500000E-1	1.055973E-2	1.055973E-2	1.478512E-7	3.417969E+0
4.000000E-1	8.254478E-3	8.254478E-3	1.155744E-7	3.606445E+0
3.500000E-1	6.375416E-3	6.375416E-3	8.926487E-8	3.988281E+0
3.000000E-1	4.723115E-3	4.723115E-3	6.613032E-8	4.176758E+0
2.500000E-1	3.333781E-3	3.333781E-3	4.667767E-8	4.364258E+0
2.000000E-1	2.217900E-3	2.217900E-3	3.105374E-8	4.552734E+0
1.500000E-1	1.366559E-3	1.366559E-3	1.913376E-8	4.740234E+0
1.000000E-1	7.454380E-4	7.454380E-4	1.043719E-8	4.928711E+0
5.000000E-2	3.127361E-4	3.127361E-4	4.378749E-9	5.310547E+0
0.000000E+0	1.119412E-6	1.119412E-6	1.567335E-11	6.205078E+0
-5.000000E-2	3.013932E-4	-3.013932E-4	-4.219932E-9	6.781250E+0
-1.000000E-1	6.928856E-4	-6.928856E-4	-9.701382E-9	6.969727E+0
-1.500000E-1	1.313393E-3	-1.313393E-3	-1.838937E-8	7.544922E+0
-2.000000E-1	2.115781E-3	-2.115781E-3	-2.962393E-8	7.733398E+0
-2.500000E-1	3.138522E-3	-3.138522E-3	-4.394376E-8	7.920898E+0
-3.000000E-1	4.430795E-3	-4.430795E-3	-6.203742E-8	8.109375E+0
-3.500000E-1	5.938002E-3	-5.938002E-3	-8.314045E-8	8.297852E+0
-4.000000E-1	7.905820E-3	-7.905820E-3	-1.106927E-7	8.872070E+0
-4.500000E-1	9.946341E-3	-9.946341E-3	-1.392629E-7	9.059570E+0
-5.000000E-1	1.236270E-2	-1.236270E-2	-1.730954E-7	9.248047E+0
-5.000000E-1	1.239033E-2	-1.239033E-2	-1.734822E-7	9.436523E+0
-4.500000E-1	1.010314E-2	-1.010314E-2	-1.414583E-7	9.624023E+0
-4.000000E-1	8.049191E-3	-8.049191E-3	-1.127001E-7	9.812500E+0
-3.500000E-1	6.187828E-3	-6.187828E-3	-8.663838E-8	1.019434E+1
-3.000000E-1	4.642940E-3	-4.642940E-3	-6.500775E-8	1.038184E+1
-2.500000E-1	3.310471E-3	-3.310471E-3	-4.635129E-8	1.057031E+1
-2.000000E-1	2.239052E-3	-2.239052E-3	-3.134990E-8	1.075879E+1
-1.500000E-1	1.401556E-3	-1.401556E-3	-1.962378E-8	1.094629E+1
-1.000000E-1	7.695127E-4	-7.695127E-4	-1.077427E-8	1.113477E+1
-5.000000E-2	3.301276E-4	-3.301276E-4	-4.622255E-9	1.151660E+1
0.000000E+0	1.468786E-6	1.468786E-6	2.056509E-11	1.241113E+1
