voltage_4_1	absJ_4_1	J_4_1	current_4_1	time_4_1	
0.000000E+0	1.345193E-7	-1.345193E-7	-1.022599E-12	0.000000E+0
5.000000E-2	4.772345E-6	4.772345E-6	3.627879E-11	5.234375E-1
1.000000E-1	9.160685E-6	9.160685E-6	6.963841E-11	1.046875E+0
1.500000E-1	9.743264E-6	9.743264E-6	7.406711E-11	1.570313E+0
2.000000E-1	4.094673E-5	4.094673E-5	3.112721E-10	2.176758E+0
2.500000E-1	6.375503E-5	6.375503E-5	4.846580E-10	2.365234E+0
3.000000E-1	8.815090E-5	8.815090E-5	6.701124E-10	2.553711E+0
3.500000E-1	1.361243E-4	1.361243E-4	1.034800E-9	3.129883E+0
4.000000E-1	1.819892E-4	1.819892E-4	1.383460E-9	3.318359E+0
4.500000E-1	2.397705E-4	2.397705E-4	1.822706E-9	3.505859E+0
5.000000E-1	3.087024E-4	3.087024E-4	2.346718E-9	3.694336E+0
5.000000E-1	3.104195E-4	3.104195E-4	2.359771E-9	3.881836E+0
4.500000E-1	2.456268E-4	2.456268E-4	1.867225E-9	4.070313E+0
4.000000E-1	1.895913E-4	1.895913E-4	1.441250E-9	4.258789E+0
3.500000E-1	1.401869E-4	1.401869E-4	1.065684E-9	4.446289E+0
3.000000E-1	1.017232E-4	1.017232E-4	7.732872E-10	5.245117E+0
2.500000E-1	6.960565E-5	6.960565E-5	5.291337E-10	5.656250E+0
2.000000E-1	4.431886E-5	4.431886E-5	3.369066E-10	5.845703E+0
1.500000E-1	2.536095E-5	2.536095E-5	1.927909E-10	6.034180E+0
1.000000E-1	1.316442E-5	1.316442E-5	1.000743E-10	6.222656E+0
5.000000E-2	5.726046E-6	5.726046E-6	4.352871E-11	7.118164E+0
0.000000E+0	6.169817E-7	6.169817E-7	4.690220E-12	7.641602E+0
-5.000000E-2	5.976168E-6	-5.976168E-6	-4.543010E-11	8.165039E+0
-1.000000E-1	9.366191E-6	-9.366191E-6	-7.120064E-11	8.689453E+0
-1.500000E-1	1.022766E-5	-1.022766E-5	-7.774940E-11	9.212891E+0
-2.000000E-1	3.607078E-5	-3.607078E-5	-2.742057E-10	9.818359E+0
-2.500000E-1	6.211891E-5	-6.211891E-5	-4.722204E-10	1.000781E+1
-3.000000E-1	8.754822E-5	-8.754822E-5	-6.655309E-10	1.019629E+1
-3.500000E-1	1.127258E-4	-1.127258E-4	-8.569279E-10	1.077148E+1
-4.000000E-1	1.724801E-4	-1.724801E-4	-1.311173E-9	1.095996E+1
-4.500000E-1	2.265699E-4	-2.265699E-4	-1.722357E-9	1.114844E+1
-5.000000E-1	2.921882E-4	-2.921882E-4	-2.221179E-9	1.133594E+1
-5.000000E-1	2.927144E-4	-2.927144E-4	-2.225179E-9	1.152441E+1
-4.500000E-1	2.310641E-4	-2.310641E-4	-1.756521E-9	1.171191E+1
-4.000000E-1	1.787421E-4	-1.787421E-4	-1.358776E-9	1.190039E+1
-3.500000E-1	1.330250E-4	-1.330250E-4	-1.011240E-9	1.208887E+1
-3.000000E-1	8.930161E-5	-8.930161E-5	-6.788600E-10	1.250000E+1
-2.500000E-1	6.528333E-5	-6.528333E-5	-4.962759E-10	1.268945E+1
-2.000000E-1	4.243627E-5	-4.243627E-5	-3.225954E-10	1.287793E+1
-1.500000E-1	2.546897E-5	-2.546897E-5	-1.936120E-10	1.306641E+1
-1.000000E-1	1.358012E-5	-1.358012E-5	-1.032344E-10	1.325488E+1
-5.000000E-2	5.831769E-6	-5.831769E-6	-4.433240E-11	1.415039E+1
0.000000E+0	1.133550E-6	1.133550E-6	8.617107E-12	1.467383E+1
