voltage_1_3_22	absJ_1_3_22	J_1_3_22	current_1_3_22	time_1_3_22	
0.000000E+0	6.909639E-6	6.909639E-6	2.679910E-11	0.000000E+0
5.000000E-2	1.618600E-5	1.618600E-5	6.277755E-11	5.234375E-1
1.000000E-1	1.887964E-4	1.887964E-4	7.322485E-10	1.129883E+0
1.500000E-1	2.030202E-4	2.030202E-4	7.874158E-10	1.318359E+0
2.000000E-1	2.018211E-4	2.018211E-4	7.827649E-10	1.506836E+0
2.500000E-1	4.533868E-4	4.533868E-4	1.758465E-9	2.083008E+0
3.000000E-1	6.409748E-4	6.409748E-4	2.486027E-9	2.271484E+0
3.500000E-1	8.005710E-4	8.005710E-4	3.105022E-9	2.458984E+0
4.000000E-1	1.019489E-3	1.019489E-3	3.954096E-9	2.647461E+0
4.500000E-1	1.265160E-3	1.265160E-3	4.906936E-9	2.835938E+0
5.000000E-1	1.598748E-3	1.598748E-3	6.200759E-9	3.023438E+0
5.000000E-1	1.523765E-3	1.523765E-3	5.909936E-9	3.211914E+0
4.500000E-1	1.090670E-3	1.090670E-3	4.230172E-9	3.399414E+0
4.000000E-1	9.734188E-4	9.734188E-4	3.775414E-9	3.587891E+0
3.500000E-1	8.130848E-4	8.130848E-4	3.153557E-9	3.776367E+0
3.000000E-1	6.561240E-4	6.561240E-4	2.544783E-9	3.963867E+0
2.500000E-1	5.561644E-4	5.561644E-4	2.157089E-9	4.152344E+0
2.000000E-1	2.995960E-4	2.995960E-4	1.161986E-9	4.340820E+0
1.500000E-1	1.924433E-4	1.924433E-4	7.463932E-10	5.138672E+0
1.000000E-1	1.069792E-4	1.069792E-4	4.149198E-10	5.550781E+0
5.000000E-2	6.069543E-5	6.069543E-5	2.354078E-10	5.739258E+0
0.000000E+0	4.575203E-7	4.575203E-7	1.774497E-12	6.634766E+0
-5.000000E-2	6.995527E-5	-6.995527E-5	-2.713222E-10	7.241211E+0
-1.000000E-1	1.307410E-4	-1.307410E-4	-5.070804E-10	7.429688E+0
-1.500000E-1	2.204010E-4	-2.204010E-4	-8.548273E-10	8.005859E+0
-2.000000E-1	2.874081E-4	-2.874081E-4	-1.114715E-9	8.193359E+0
-2.500000E-1	3.645019E-4	-3.645019E-4	-1.413724E-9	8.381836E+0
-3.000000E-1	4.333706E-4	-4.333706E-4	-1.680832E-9	8.570313E+0
-3.500000E-1	5.756108E-4	-5.756108E-4	-2.232512E-9	8.757813E+0
-4.000000E-1	7.103371E-4	-7.103371E-4	-2.755049E-9	8.946289E+0
-4.500000E-1	7.691578E-4	-7.691578E-4	-2.983186E-9	9.133789E+0
-5.000000E-1	9.069590E-4	-9.069590E-4	-3.517649E-9	9.322266E+0
-5.000000E-1	9.056662E-4	-9.056662E-4	-3.512635E-9	9.510742E+0
-4.500000E-1	7.708410E-4	-7.708410E-4	-2.989714E-9	9.698242E+0
-4.000000E-1	6.681309E-4	-6.681309E-4	-2.591352E-9	9.886719E+0
-3.500000E-1	5.700837E-4	-5.700837E-4	-2.211075E-9	1.007520E+1
-3.000000E-1	4.591555E-4	-4.591555E-4	-1.780839E-9	1.026270E+1
-2.500000E-1	3.456947E-4	-3.456947E-4	-1.340780E-9	1.045117E+1
-2.000000E-1	2.702038E-4	-2.702038E-4	-1.047988E-9	1.125000E+1
-1.500000E-1	1.626898E-4	-1.626898E-4	-6.309940E-10	1.166113E+1
-1.000000E-1	1.060136E-4	-1.060136E-4	-4.111746E-10	1.185059E+1
-5.000000E-2	3.717596E-5	-3.717596E-5	-1.441873E-10	1.203906E+1
0.000000E+0	3.788504E-6	-3.788504E-6	-1.469375E-11	1.293457E+1
0.000000E+0	1.715138E-7	-1.715138E-7	-6.652179E-13	1.345801E+1
5.000000E-2	1.402860E-5	1.402860E-5	5.441007E-11	1.398145E+1
1.000000E-1	1.022189E-4	1.022189E-4	3.964568E-10	1.458789E+1
1.500000E-1	1.669289E-4	1.669289E-4	6.474355E-10	1.477637E+1
2.000000E-1	1.751484E-4	1.751484E-4	6.793149E-10	1.496484E+1
2.500000E-1	2.165114E-4	2.165114E-4	8.397414E-10	1.515332E+1
3.000000E-1	2.378782E-4	2.378782E-4	9.226129E-10	1.534277E+1
3.500000E-1	2.383176E-4	2.383176E-4	9.243169E-10	1.553125E+1
4.000000E-1	9.829072E-4	9.829072E-4	3.812215E-9	1.610742E+1
4.500000E-1	1.553075E-3	1.553075E-3	6.023615E-9	1.629492E+1
5.000000E-1	1.361022E-3	1.361022E-3	5.278736E-9	1.648340E+1
5.000000E-1	1.500013E-3	1.500013E-3	5.817815E-9	1.667090E+1
4.500000E-1	1.193477E-3	1.193477E-3	4.628910E-9	1.685938E+1
4.000000E-1	8.728407E-4	8.728407E-4	3.385321E-9	1.704785E+1
3.500000E-1	8.457435E-4	8.457435E-4	3.280224E-9	1.723535E+1
3.000000E-1	6.350352E-4	6.350352E-4	2.462990E-9	1.742383E+1
2.500000E-1	4.280742E-4	4.280742E-4	1.660290E-9	1.761230E+1
2.000000E-1	2.818433E-4	2.818433E-4	1.093132E-9	1.779980E+1
1.500000E-1	1.724424E-4	1.724424E-4	6.688196E-10	1.821191E+1
1.000000E-1	1.608638E-4	1.608638E-4	6.239118E-10	1.840039E+1
5.000000E-2	6.097858E-5	6.097858E-5	2.365060E-10	1.858887E+1
0.000000E+0	5.468165E-6	-5.468165E-6	-2.120833E-11	1.948438E+1
-5.000000E-2	7.552540E-5	-7.552540E-5	-2.929260E-10	2.025781E+1
-1.000000E-1	1.451509E-4	-1.451509E-4	-5.629691E-10	2.044727E+1
-1.500000E-1	1.974489E-4	-1.974489E-4	-7.658073E-10	2.063574E+1
-2.000000E-1	2.128560E-4	-2.128560E-4	-8.255640E-10	2.082422E+1
-2.500000E-1	2.374152E-4	-2.374152E-4	-9.208171E-10	2.101270E+1
-3.000000E-1	2.536122E-4	-2.536122E-4	-9.836373E-10	2.120215E+1
-3.500000E-1	2.580726E-4	-2.580726E-4	-1.000937E-9	2.139063E+1
-4.000000E-1	5.295687E-4	-5.295687E-4	-2.053937E-9	2.196680E+1
-4.500000E-1	6.593620E-4	-6.593620E-4	-2.557342E-9	2.215430E+1
-5.000000E-1	7.648454E-4	-7.648454E-4	-2.966460E-9	2.234277E+1
-5.000000E-1	6.057157E-4	-6.057157E-4	-2.349274E-9	2.253027E+1
-4.500000E-1	6.032309E-4	-6.032309E-4	-2.339637E-9	2.271875E+1
-4.000000E-1	4.883995E-4	-4.883995E-4	-1.894262E-9	2.290723E+1
-3.500000E-1	4.367309E-4	-4.367309E-4	-1.693865E-9	2.309473E+1
-3.000000E-1	3.174152E-4	-3.174152E-4	-1.231098E-9	2.328320E+1
-2.500000E-1	2.805609E-4	-2.805609E-4	-1.088158E-9	2.347168E+1
-2.000000E-1	1.534799E-4	-1.534799E-4	-5.952733E-10	2.388281E+1
-1.500000E-1	1.832281E-4	-1.832281E-4	-7.106519E-10	2.407129E+1
-1.000000E-1	1.107824E-4	-1.107824E-4	-4.296707E-10	2.426074E+1
-5.000000E-2	3.829448E-5	-3.829448E-5	-1.485255E-10	2.444922E+1
0.000000E+0	1.181955E-6	-1.181955E-6	-4.584222E-12	2.534473E+1
0.000000E+0	1.551618E-6	1.551618E-6	6.017964E-12	2.611816E+1
5.000000E-2	4.839434E-5	4.839434E-5	1.876979E-10	2.630664E+1
1.000000E-1	1.119003E-4	1.119003E-4	4.340062E-10	2.649512E+1
1.500000E-1	1.659701E-4	1.659701E-4	6.437167E-10	2.668457E+1
2.000000E-1	2.025827E-4	2.025827E-4	7.857188E-10	2.687305E+1
2.500000E-1	3.168032E-4	3.168032E-4	1.228724E-9	2.744922E+1
3.000000E-1	4.072900E-4	4.072900E-4	1.579678E-9	2.763672E+1
3.500000E-1	5.208341E-4	5.208341E-4	2.020060E-9	2.782520E+1
4.000000E-1	5.711805E-4	5.711805E-4	2.215329E-9	2.801270E+1
4.500000E-1	6.916381E-4	6.916381E-4	2.682525E-9	2.820117E+1
5.000000E-1	8.479015E-4	8.479015E-4	3.288594E-9	2.838965E+1
5.000000E-1	8.249424E-4	8.249424E-4	3.199547E-9	2.857715E+1
4.500000E-1	6.909662E-4	6.909662E-4	2.679919E-9	2.876562E+1
4.000000E-1	5.783784E-4	5.783784E-4	2.243246E-9	2.895313E+1
3.500000E-1	4.831397E-4	4.831397E-4	1.873862E-9	2.914160E+1
3.000000E-1	4.004061E-4	4.004061E-4	1.552979E-9	2.933008E+1
2.500000E-1	3.095625E-4	3.095625E-4	1.200641E-9	2.951758E+1
2.000000E-1	1.978846E-4	1.978846E-4	7.674972E-10	2.992969E+1
1.500000E-1	1.480724E-4	1.480724E-4	5.743004E-10	3.011816E+1
1.000000E-1	9.816364E-5	9.816364E-5	3.807286E-10	3.030664E+1
5.000000E-2	4.331981E-5	4.331981E-5	1.680163E-10	3.049609E+1
0.000000E+0	1.217099E-7	1.217099E-7	4.720530E-13	3.139063E+1
-5.000000E-2	2.062772E-5	-2.062772E-5	-8.000481E-11	3.191504E+1
-1.000000E-1	1.086539E-4	-1.086539E-4	-4.214152E-10	3.252051E+1
-1.500000E-1	1.935473E-4	-1.935473E-4	-7.506750E-10	3.270996E+1
-2.000000E-1	1.925433E-4	-1.925433E-4	-7.467812E-10	3.289844E+1
-2.500000E-1	2.491350E-4	-2.491350E-4	-9.662724E-10	3.366211E+1
-3.000000E-1	3.804480E-4	-3.804480E-4	-1.475571E-9	3.384961E+1
-3.500000E-1	4.347057E-4	-4.347057E-4	-1.686010E-9	3.403809E+1
-4.000000E-1	5.707647E-4	-5.707647E-4	-2.213716E-9	3.422656E+1
-4.500000E-1	5.916239E-4	-5.916239E-4	-2.294619E-9	3.441406E+1
-5.000000E-1	6.908597E-4	-6.908597E-4	-2.679506E-9	3.460254E+1
