voltage_2_1	absJ_2_1	J_2_1	current_2_1	time_2_1	
0.000000E+0	4.161044E-6	-4.161044E-6	-1.613865E-11	0.000000E+0
5.000000E-2	2.127700E-5	2.127700E-5	8.252306E-11	5.234375E-1
1.000000E-1	1.415167E-4	1.415167E-4	5.488737E-10	1.128906E+0
1.500000E-1	1.775678E-4	1.775678E-4	6.886985E-10	1.318359E+0
2.000000E-1	1.878931E-4	1.878931E-4	7.287451E-10	1.506836E+0
2.500000E-1	3.728551E-4	3.728551E-4	1.446122E-9	2.082031E+0
3.000000E-1	4.514781E-4	4.514781E-4	1.751062E-9	2.270508E+0
3.500000E-1	5.611792E-4	5.611792E-4	2.176539E-9	2.458984E+0
4.000000E-1	7.010788E-4	7.010788E-4	2.719141E-9	2.646484E+0
4.500000E-1	8.111320E-4	8.111320E-4	3.145983E-9	2.834961E+0
5.000000E-1	9.842007E-4	9.842007E-4	3.817232E-9	3.022461E+0
5.000000E-1	1.003000E-3	1.003000E-3	3.890146E-9	3.210938E+0
4.500000E-1	8.680283E-4	8.680283E-4	3.366656E-9	3.399414E+0
4.000000E-1	6.068360E-4	6.068360E-4	2.353619E-9	3.586914E+0
3.500000E-1	5.752885E-4	5.752885E-4	2.231262E-9	3.775391E+0
3.000000E-1	5.388402E-4	5.388402E-4	2.089897E-9	3.963867E+0
2.500000E-1	3.859709E-4	3.859709E-4	1.496992E-9	4.151367E+0
2.000000E-1	2.719888E-4	2.719888E-4	1.054911E-9	4.339844E+0
1.500000E-1	2.617975E-4	2.617975E-4	1.015384E-9	4.527344E+0
1.000000E-1	1.518156E-4	1.518156E-4	5.888184E-10	4.939453E+0
5.000000E-2	6.915236E-5	6.915236E-5	2.682081E-10	5.127930E+0
0.000000E+0	2.535784E-6	2.535784E-6	9.835063E-12	6.023438E+0
-5.000000E-2	1.925923E-5	-1.925923E-5	-7.469712E-11	6.547852E+0
-1.000000E-1	1.063214E-4	-1.063214E-4	-4.123686E-10	7.153320E+0
-1.500000E-1	1.780472E-4	-1.780472E-4	-6.905578E-10	7.729492E+0
-2.000000E-1	2.287384E-4	-2.287384E-4	-8.871641E-10	8.527344E+0
-2.500000E-1	2.791490E-4	-2.791490E-4	-1.082682E-9	8.715820E+0
-3.000000E-1	3.161939E-4	-3.161939E-4	-1.226361E-9	8.904297E+0
-3.500000E-1	4.102909E-4	-4.102909E-4	-1.591317E-9	9.091797E+0
-4.000000E-1	4.562407E-4	-4.562407E-4	-1.769534E-9	9.280273E+0
-4.500000E-1	5.423517E-4	-5.423517E-4	-2.103516E-9	9.468750E+0
-5.000000E-1	6.105015E-4	-6.105015E-4	-2.367836E-9	9.656250E+0
-5.000000E-1	6.006083E-4	-6.006083E-4	-2.329465E-9	9.844727E+0
-4.500000E-1	5.939426E-4	-5.939426E-4	-2.303612E-9	1.003223E+1
-4.000000E-1	4.860550E-4	-4.860550E-4	-1.885169E-9	1.022070E+1
-3.500000E-1	4.059361E-4	-4.059361E-4	-1.574427E-9	1.040918E+1
-3.000000E-1	3.481515E-4	-3.481515E-4	-1.350309E-9	1.059668E+1
-2.500000E-1	2.059323E-4	-2.059323E-4	-7.987102E-10	1.100879E+1
-2.000000E-1	1.613271E-4	-1.613271E-4	-6.257086E-10	1.119727E+1
-1.500000E-1	1.504167E-4	-1.504167E-4	-5.833927E-10	1.138574E+1
-1.000000E-1	7.263099E-5	-7.263099E-5	-2.817000E-10	1.157520E+1
-5.000000E-2	4.738728E-5	-4.738728E-5	-1.837920E-10	1.176367E+1
0.000000E+0	3.333917E-7	3.333917E-7	1.293063E-12	1.265918E+1
