voltage_6_1	absJ_6_1	J_6_1	current_6_1	time_6_1	
0.000000E+0	3.628933E-7	3.628933E-7	1.407485E-12	0.000000E+0
5.000000E-2	6.563354E-7	6.563354E-7	2.545603E-12	5.234375E-1
1.000000E-1	1.532536E-6	1.532536E-6	5.943954E-12	1.046875E+0
1.500000E-1	2.672060E-6	2.672060E-6	1.036361E-11	1.570313E+0
2.000000E-1	3.815417E-6	3.815417E-6	1.479813E-11	2.093750E+0
2.500000E-1	6.650527E-6	6.650527E-6	2.579413E-11	2.617188E+0
3.000000E-1	1.028325E-5	1.028325E-5	3.988368E-11	3.140625E+0
3.500000E-1	1.592747E-5	1.592747E-5	6.177483E-11	3.664063E+0
4.000000E-1	2.019390E-5	2.019390E-5	7.832224E-11	4.437500E+0
4.500000E-1	2.803234E-5	2.803234E-5	1.087237E-10	4.625977E+0
5.000000E-1	3.701956E-5	3.701956E-5	1.435807E-10	4.814453E+0
5.000000E-1	3.665903E-5	3.665903E-5	1.421824E-10	5.002930E+0
4.500000E-1	2.829914E-5	2.829914E-5	1.097585E-10	5.192383E+0
4.000000E-1	2.035475E-5	2.035475E-5	7.894607E-11	6.169922E+0
3.500000E-1	1.521591E-5	1.521591E-5	5.901506E-11	7.065430E+0
3.000000E-1	9.704202E-6	9.704202E-6	3.763784E-11	7.588867E+0
2.500000E-1	7.580505E-6	7.580505E-6	2.940106E-11	8.112305E+0
2.000000E-1	4.458014E-6	4.458014E-6	1.729045E-11	8.635742E+0
1.500000E-1	1.986757E-6	1.986757E-6	7.705656E-12	9.159180E+0
1.000000E-1	1.181879E-6	1.181879E-6	4.583930E-12	9.682617E+0
5.000000E-2	1.935014E-7	1.935014E-7	7.504969E-13	1.020605E+1
0.000000E+0	2.113347E-7	-2.113347E-7	-8.196638E-13	1.072949E+1
-5.000000E-2	8.048739E-7	-8.048739E-7	-3.121711E-12	1.125293E+1
-1.000000E-1	1.517497E-6	-1.517497E-6	-5.885625E-12	1.177637E+1
-1.500000E-1	2.712271E-6	-2.712271E-6	-1.051957E-11	1.229980E+1
-2.000000E-1	4.582526E-6	-4.582526E-6	-1.777337E-11	1.282324E+1
-2.500000E-1	7.255733E-6	-7.255733E-6	-2.814143E-11	1.334668E+1
-3.000000E-1	1.039451E-5	-1.039451E-5	-4.031521E-11	1.387012E+1
-3.500000E-1	1.419825E-5	-1.419825E-5	-5.506803E-11	1.439355E+1
-4.000000E-1	1.907340E-5	-1.907340E-5	-7.397638E-11	1.491699E+1
-4.500000E-1	2.013551E-5	-2.013551E-5	-7.809575E-11	1.552344E+1
-5.000000E-1	3.694260E-5	-3.694260E-5	-1.432822E-10	1.571191E+1
-5.000000E-1	3.584797E-5	-3.584797E-5	-1.390367E-10	1.590039E+1
-4.500000E-1	2.973684E-5	-2.973684E-5	-1.153346E-10	1.608984E+1
-4.000000E-1	1.952286E-5	-1.952286E-5	-7.571961E-11	1.698438E+1
-3.500000E-1	1.501208E-5	-1.501208E-5	-5.822451E-11	1.750781E+1
-3.000000E-1	9.781023E-6	-9.781023E-6	-3.793579E-11	1.803125E+1
-2.500000E-1	8.031385E-6	-8.031385E-6	-3.114980E-11	1.855469E+1
-2.000000E-1	4.341330E-6	-4.341330E-6	-1.683789E-11	1.907812E+1
-1.500000E-1	2.880132E-6	-2.880132E-6	-1.117062E-11	1.960156E+1
-1.000000E-1	1.320306E-6	-1.320306E-6	-5.120820E-12	2.012500E+1
-5.000000E-2	4.790106E-7	-4.790106E-7	-1.857847E-12	2.064844E+1
0.000000E+0	8.689475E-8	8.689475E-8	3.370221E-13	2.117188E+1
