voltage_6_2_21	absJ_6_2_21	J_6_2_21	current_6_2_21	time_6_2_21	
0.000000E+0	1.037391E-6	-1.037391E-6	-4.023532E-12	0.000000E+0
5.000000E-2	3.773181E-6	3.773181E-6	1.463432E-11	5.234375E-1
1.000000E-1	2.416071E-6	2.416071E-6	9.370754E-12	1.046875E+0
1.500000E-1	3.816593E-6	3.816593E-6	1.480269E-11	1.570313E+0
2.000000E-1	6.422359E-6	6.422359E-6	2.490918E-11	2.093750E+0
2.500000E-1	9.061747E-6	9.061747E-6	3.514607E-11	2.617188E+0
3.000000E-1	1.265186E-5	1.265186E-5	4.907037E-11	3.140625E+0
3.500000E-1	1.890375E-5	1.890375E-5	7.331837E-11	3.664063E+0
4.000000E-1	3.274201E-5	3.274201E-5	1.269902E-10	4.270508E+0
4.500000E-1	4.156824E-5	4.156824E-5	1.612228E-10	4.458984E+0
5.000000E-1	5.850657E-5	5.850657E-5	2.269183E-10	4.647461E+0
5.000000E-1	5.840984E-5	5.840984E-5	2.265431E-10	4.835938E+0
4.500000E-1	4.525813E-5	4.525813E-5	1.755341E-10	5.025391E+0
4.000000E-1	3.286422E-5	3.286422E-5	1.274642E-10	5.213867E+0
3.500000E-1	2.018350E-5	2.018350E-5	7.828189E-11	6.109375E+0
3.000000E-1	1.713742E-5	1.713742E-5	6.646766E-11	6.632813E+0
2.500000E-1	9.182050E-6	9.182050E-6	3.561267E-11	7.156250E+0
2.000000E-1	6.834027E-6	6.834027E-6	2.650584E-11	7.679688E+0
1.500000E-1	3.834904E-6	3.834904E-6	1.487371E-11	8.203125E+0
1.000000E-1	1.814363E-6	1.814363E-6	7.037024E-12	8.726563E+0
5.000000E-2	8.591254E-7	8.591254E-7	3.332126E-12	9.250000E+0
0.000000E+0	4.419270E-7	-4.419270E-7	-1.714018E-12	9.773438E+0
-5.000000E-2	9.914946E-7	-9.914946E-7	-3.845521E-12	1.029688E+1
-1.000000E-1	2.338709E-6	-2.338709E-6	-9.070703E-12	1.082031E+1
-1.500000E-1	4.022231E-6	-4.022231E-6	-1.560026E-11	1.134375E+1
-2.000000E-1	6.704921E-6	-6.704921E-6	-2.600510E-11	1.186719E+1
-2.500000E-1	1.063737E-5	-1.063737E-5	-4.125714E-11	1.239062E+1
-3.000000E-1	1.436831E-5	-1.436831E-5	-5.572764E-11	1.291406E+1
-3.500000E-1	1.966407E-5	-1.966407E-5	-7.626730E-11	1.343750E+1
-4.000000E-1	2.413390E-5	-2.413390E-5	-9.360357E-11	1.404395E+1
-4.500000E-1	3.547164E-5	-3.547164E-5	-1.375771E-10	1.423242E+1
-5.000000E-1	4.503862E-5	-4.503862E-5	-1.746827E-10	1.442090E+1
-5.000000E-1	4.531563E-5	-4.531563E-5	-1.757571E-10	1.461035E+1
-4.500000E-1	3.647994E-5	-3.647994E-5	-1.414878E-10	1.479883E+1
-4.000000E-1	2.788486E-5	-2.788486E-5	-1.081517E-10	1.498730E+1
-3.500000E-1	1.931305E-5	-1.931305E-5	-7.490583E-11	1.588281E+1
-3.000000E-1	1.609805E-5	-1.609805E-5	-6.243644E-11	1.640625E+1
-2.500000E-1	9.537471E-6	-9.537471E-6	-3.699117E-11	1.692969E+1
-2.000000E-1	7.890655E-6	-7.890655E-6	-3.060398E-11	1.745313E+1
-1.500000E-1	4.148070E-6	-4.148070E-6	-1.608833E-11	1.797656E+1
