voltage_3_2_6	absJ_3_2_6	J_3_2_6	current_3_2_6	time_3_2_6	
0.000000E+0	4.376188E-6	4.376188E-6	4.345110E-11	0.000000E+0
5.000000E-2	1.078240E-2	1.078240E-2	1.070583E-7	7.685547E-1
1.000000E-1	2.256307E-2	2.256307E-2	2.240284E-7	9.570313E-1
1.500000E-1	3.588969E-2	3.588969E-2	3.563482E-7	1.144531E+0
2.000000E-1	5.104193E-2	5.104193E-2	5.067945E-7	1.333008E+0
2.500000E-1	6.782961E-2	6.782961E-2	6.734791E-7	1.521484E+0
3.000000E-1	8.675077E-2	8.675077E-2	8.613470E-7	1.708984E+0
3.500000E-1	1.066681E-1	1.066681E-1	1.059106E-6	2.291016E+0
4.000000E-1	1.280530E-1	1.280530E-1	1.271436E-6	2.478516E+0
4.500000E-1	1.534444E-1	1.534444E-1	1.523547E-6	2.666992E+0
5.000000E-1	1.799226E-1	1.799226E-1	1.786449E-6	2.855469E+0
5.000000E-1	1.801502E-1	1.801502E-1	1.788708E-6	3.042969E+0
4.500000E-1	1.514018E-1	1.514018E-1	1.503266E-6	3.231445E+0
4.000000E-1	1.267513E-1	1.267513E-1	1.258512E-6	3.419922E+0
3.500000E-1	1.043622E-1	1.043622E-1	1.036211E-6	3.607422E+0
3.000000E-1	8.334166E-2	8.334166E-2	8.274980E-7	3.989258E+0
2.500000E-1	6.670823E-2	6.670823E-2	6.623450E-7	4.177734E+0
2.000000E-1	4.961615E-2	4.961615E-2	4.926379E-7	4.365234E+0
1.500000E-1	3.505218E-2	3.505218E-2	3.480325E-7	4.553711E+0
1.000000E-1	2.210823E-2	2.210823E-2	2.195123E-7	4.741211E+0
5.000000E-2	1.057618E-2	1.057618E-2	1.050107E-7	4.929688E+0
0.000000E+0	4.518772E-6	4.518772E-6	4.486681E-11	6.047852E+0
-5.000000E-2	9.851334E-3	-9.851334E-3	-9.781374E-8	6.430664E+0
-1.000000E-1	1.970295E-2	-1.970295E-2	-1.956303E-7	7.005859E+0
-1.500000E-1	2.884961E-2	-2.884961E-2	-2.864473E-7	7.193359E+0
-2.000000E-1	3.818599E-2	-3.818599E-2	-3.791481E-7	7.381836E+0
-2.500000E-1	4.747914E-2	-4.747914E-2	-4.714196E-7	7.570313E+0
-3.000000E-1	5.678597E-2	-5.678597E-2	-5.638270E-7	7.757813E+0
-3.500000E-1	6.580427E-2	-6.580427E-2	-6.533695E-7	7.946289E+0
-4.000000E-1	7.483389E-2	-7.483389E-2	-7.430245E-7	8.133789E+0
-4.500000E-1	8.474011E-2	-8.474011E-2	-8.413832E-7	8.322266E+0
-5.000000E-1	9.479296E-2	-9.479296E-2	-9.411978E-7	8.510742E+0
-5.000000E-1	9.462801E-2	-9.462801E-2	-9.395600E-7	8.698242E+0
-4.500000E-1	8.539331E-2	-8.539331E-2	-8.478688E-7	8.886719E+0
-4.000000E-1	7.559855E-2	-7.559855E-2	-7.506168E-7	9.075195E+0
-3.500000E-1	6.619973E-2	-6.619973E-2	-6.572960E-7	9.262695E+0
-3.000000E-1	5.650938E-2	-5.650938E-2	-5.610807E-7	9.451172E+0
-2.500000E-1	4.690211E-2	-4.690211E-2	-4.656903E-7	9.638672E+0
-2.000000E-1	3.775831E-2	-3.775831E-2	-3.749017E-7	9.827148E+0
-1.500000E-1	2.839344E-2	-2.839344E-2	-2.819180E-7	1.001562E+1
-1.000000E-1	1.926557E-2	-1.926557E-2	-1.912875E-7	1.020312E+1
-5.000000E-2	9.654755E-3	-9.654755E-3	-9.586191E-8	1.058496E+1
0.000000E+0	4.763798E-6	4.763798E-6	4.729967E-11	1.170313E+1
