voltage_1_2	absJ_1_2	J_1_2	current_1_2	time_1_2	
0.000000E+0	1.019323E-6	1.019323E-6	5.692974E-12	0.000000E+0
5.000000E-2	1.862518E-5	1.862518E-5	1.040226E-10	5.234375E-1
1.000000E-1	3.766109E-4	3.766109E-4	2.103392E-9	1.099609E+0
1.500000E-1	6.101612E-4	6.101612E-4	3.407783E-9	1.287109E+0
2.000000E-1	9.016223E-4	9.016223E-4	5.035609E-9	1.475586E+0
2.500000E-1	1.266682E-3	1.266682E-3	7.074485E-9	1.664063E+0
3.000000E-1	1.793087E-3	1.793087E-3	1.001449E-8	1.851563E+0
3.500000E-1	7.185000E-4	7.185000E-4	4.012861E-9	2.426758E+0
4.000000E-1	1.367077E-3	1.367077E-3	7.635196E-9	2.808594E+0
4.500000E-1	1.815936E-3	1.815936E-3	1.014210E-8	2.997070E+0
5.000000E-1	1.845363E-3	1.845363E-3	1.030645E-8	3.184570E+0
5.000000E-1	1.297325E-3	1.297325E-3	7.245632E-9	3.759766E+0
4.500000E-1	1.088025E-3	1.088025E-3	6.076678E-9	4.141602E+0
4.000000E-1	1.211329E-3	1.211329E-3	6.765340E-9	4.330078E+0
3.500000E-1	1.062572E-3	1.062572E-3	5.934520E-9	4.517578E+0
3.000000E-1	9.745953E-4	9.745953E-4	5.443167E-9	4.706055E+0
2.500000E-1	7.597057E-4	7.597057E-4	4.242997E-9	4.893555E+0
2.000000E-1	5.823515E-4	5.823515E-4	3.252464E-9	5.082031E+0
1.500000E-1	4.067959E-4	4.067959E-4	2.271977E-9	5.270508E+0
1.000000E-1	2.536567E-4	2.536567E-4	1.416686E-9	5.458008E+0
5.000000E-2	1.235663E-4	1.235663E-4	6.901246E-10	5.870117E+0
0.000000E+0	7.561496E-7	7.561496E-7	4.223136E-12	6.765625E+0
-5.000000E-2	1.071869E-4	-1.071869E-4	-5.986444E-10	7.372070E+0
-1.000000E-1	1.797003E-4	-1.797003E-4	-1.003636E-9	7.560547E+0
-1.500000E-1	1.868809E-4	-1.868809E-4	-1.043740E-9	7.749023E+0
-2.000000E-1	4.915256E-4	-4.915256E-4	-2.745197E-9	8.325195E+0
-2.500000E-1	6.217161E-4	-6.217161E-4	-3.472318E-9	8.512695E+0
-3.000000E-1	7.291869E-4	-7.291869E-4	-4.072548E-9	8.701172E+0
-3.500000E-1	8.356228E-4	-8.356228E-4	-4.666998E-9	8.889648E+0
-4.000000E-1	9.172856E-4	-9.172856E-4	-5.123089E-9	9.077148E+0
-4.500000E-1	1.093016E-3	-1.093016E-3	-6.104552E-9	9.265625E+0
-5.000000E-1	1.269158E-3	-1.269158E-3	-7.088315E-9	9.454102E+0
-5.000000E-1	1.247074E-3	-1.247074E-3	-6.964973E-9	9.641602E+0
-4.500000E-1	1.058557E-3	-1.058557E-3	-5.912095E-9	9.830078E+0
-4.000000E-1	9.408868E-4	-9.408868E-4	-5.254903E-9	1.001758E+1
-3.500000E-1	8.394183E-4	-8.394183E-4	-4.688196E-9	1.020605E+1
-3.000000E-1	7.312805E-4	-7.312805E-4	-4.084241E-9	1.039453E+1
-2.500000E-1	6.238329E-4	-6.238329E-4	-3.484140E-9	1.058203E+1
-2.000000E-1	5.021780E-4	-5.021780E-4	-2.804691E-9	1.077051E+1
-1.500000E-1	3.783681E-4	-3.783681E-4	-2.113206E-9	1.095898E+1
-1.000000E-1	2.521627E-4	-2.521627E-4	-1.408342E-9	1.114648E+1
-5.000000E-2	1.336339E-4	-1.336339E-4	-7.463524E-10	1.155859E+1
0.000000E+0	1.390365E-6	1.390365E-6	7.765261E-12	1.245410E+1
