voltage_6_12_21	absJ_6_12_21	J_6_12_21	current_6_12_21	time_6_12_21	
0.000000E+0	1.873989E-6	1.873989E-6	1.635364E-11	0.000000E+0
5.000000E-2	1.152357E-5	1.152357E-5	1.005621E-10	5.234375E-1
1.000000E-1	2.314474E-4	2.314474E-4	2.019760E-9	1.099609E+0
1.500000E-1	3.740122E-4	3.740122E-4	3.263872E-9	1.287109E+0
2.000000E-1	5.372422E-4	5.372422E-4	4.688323E-9	1.475586E+0
2.500000E-1	7.261921E-4	7.261921E-4	6.337222E-9	1.663086E+0
3.000000E-1	9.448496E-4	9.448496E-4	8.245368E-9	1.851563E+0
3.500000E-1	1.138084E-3	1.138084E-3	9.931659E-9	2.040039E+0
4.000000E-1	1.569226E-3	1.569226E-3	1.369408E-8	2.615234E+0
4.500000E-1	1.906580E-3	1.906580E-3	1.663805E-8	2.802734E+0
5.000000E-1	2.297050E-3	2.297050E-3	2.004554E-8	2.991211E+0
5.000000E-1	2.286978E-3	2.286978E-3	1.995765E-8	3.178711E+0
4.500000E-1	1.878934E-3	1.878934E-3	1.639679E-8	3.367188E+0
4.000000E-1	1.508461E-3	1.508461E-3	1.316381E-8	3.555664E+0
3.500000E-1	1.200418E-3	1.200418E-3	1.047562E-8	3.743164E+0
3.000000E-1	9.185247E-4	9.185247E-4	8.015640E-9	4.125000E+0
2.500000E-1	6.967789E-4	6.967789E-4	6.080543E-9	4.313477E+0
2.000000E-1	5.106388E-4	5.106388E-4	4.456164E-9	4.500977E+0
1.500000E-1	3.484709E-4	3.484709E-4	3.040982E-9	4.689453E+0
1.000000E-1	2.146946E-4	2.146946E-4	1.873564E-9	4.877930E+0
5.000000E-2	9.890846E-5	9.890846E-5	8.631391E-10	5.289063E+0
0.000000E+0	1.549745E-6	1.549745E-6	1.352408E-11	6.184570E+0
-5.000000E-2	7.961619E-5	-7.961619E-5	-6.947823E-10	6.791016E+0
-1.000000E-1	1.117110E-4	-1.117110E-4	-9.748623E-10	6.979492E+0
-1.500000E-1	2.459978E-4	-2.459978E-4	-2.146736E-9	7.555664E+0
-2.000000E-1	3.150567E-4	-3.150567E-4	-2.749388E-9	7.744141E+0
-2.500000E-1	3.853288E-4	-3.853288E-4	-3.362628E-9	7.931641E+0
-3.000000E-1	4.493662E-4	-4.493662E-4	-3.921460E-9	8.120117E+0
-3.500000E-1	5.139163E-4	-5.139163E-4	-4.484766E-9	8.308594E+0
-4.000000E-1	5.745944E-4	-5.745944E-4	-5.014282E-9	8.496094E+0
-4.500000E-1	6.355682E-4	-6.355682E-4	-5.546379E-9	8.684570E+0
-5.000000E-1	7.028600E-4	-7.028600E-4	-6.133611E-9	8.872070E+0
-5.000000E-1	7.142115E-4	-7.142115E-4	-6.232671E-9	9.060547E+0
-4.500000E-1	6.645017E-4	-6.645017E-4	-5.798871E-9	9.249023E+0
-4.000000E-1	6.062235E-4	-6.062235E-4	-5.290298E-9	9.436523E+0
-3.500000E-1	5.454695E-4	-5.454695E-4	-4.760119E-9	9.625000E+0
-3.000000E-1	4.886655E-4	-4.886655E-4	-4.264411E-9	9.813477E+0
-2.500000E-1	4.267089E-4	-4.267089E-4	-3.723738E-9	1.000098E+1
-2.000000E-1	3.562661E-4	-3.562661E-4	-3.109008E-9	1.018945E+1
-1.500000E-1	2.760237E-4	-2.760237E-4	-2.408761E-9	1.037793E+1
-1.000000E-1	1.936603E-4	-1.936603E-4	-1.690005E-9	1.056543E+1
-5.000000E-2	9.830942E-5	-9.830942E-5	-8.579116E-10	1.097754E+1
0.000000E+0	2.432637E-6	2.432637E-6	2.122876E-11	1.187305E+1
0.000000E+0	2.141438E-6	2.141438E-6	1.868757E-11	1.239648E+1
5.000000E-2	1.015582E-4	1.015582E-4	8.862625E-10	1.300293E+1
1.000000E-1	1.169758E-4	1.169758E-4	1.020806E-9	1.319141E+1
1.500000E-1	3.901185E-4	3.901185E-4	3.404426E-9	1.376660E+1
2.000000E-1	5.573541E-4	5.573541E-4	4.863832E-9	1.395508E+1
2.500000E-1	7.556366E-4	7.556366E-4	6.594173E-9	1.414355E+1
3.000000E-1	9.738788E-4	9.738788E-4	8.498696E-9	1.433105E+1
3.500000E-1	1.139567E-3	1.139567E-3	9.944602E-9	1.451953E+1
4.000000E-1	1.501077E-3	1.501077E-3	1.309937E-8	1.509473E+1
