voltage_5_17_21	absJ_5_17_21	J_5_17_21	current_5_17_21	time_5_17_21	
0.000000E+0	1.654613E-5	1.654613E-5	1.257817E-10	0.000000E+0
5.000000E-2	1.541249E-2	1.541249E-2	1.171639E-7	3.818359E-1
1.000000E-1	3.188681E-2	3.188681E-2	2.423997E-7	5.703125E-1
1.500000E-1	4.998190E-2	4.998190E-2	3.799563E-7	7.578125E-1
2.000000E-1	6.989388E-2	6.989388E-2	5.313248E-7	9.462891E-1
2.500000E-1	9.131268E-2	9.131268E-2	6.941479E-7	1.133789E+0
3.000000E-1	1.148688E-1	1.148688E-1	8.732184E-7	1.322266E+0
3.500000E-1	1.402991E-1	1.402991E-1	1.066537E-6	1.904297E+0
4.000000E-1	1.698708E-1	1.698708E-1	1.291337E-6	2.091797E+0
4.500000E-1	2.015118E-1	2.015118E-1	1.531868E-6	2.280273E+0
5.000000E-1	2.394559E-1	2.394559E-1	1.820315E-6	2.468750E+0
5.000000E-1	2.410366E-1	2.410366E-1	1.832331E-6	2.656250E+0
4.500000E-1	2.028996E-1	2.028996E-1	1.542418E-6	2.844727E+0
4.000000E-1	1.691283E-1	1.691283E-1	1.285693E-6	3.032227E+0
3.500000E-1	1.398928E-1	1.398928E-1	1.063448E-6	3.220703E+0
3.000000E-1	1.139712E-1	1.139712E-1	8.663955E-7	3.602539E+0
2.500000E-1	9.001206E-2	9.001206E-2	6.842607E-7	3.791016E+0
2.000000E-1	6.865930E-2	6.865930E-2	5.219397E-7	3.978516E+0
1.500000E-1	4.902488E-2	4.902488E-2	3.726812E-7	4.166992E+0
1.000000E-1	3.129886E-2	3.129886E-2	2.379301E-7	4.354492E+0
5.000000E-2	1.510023E-2	1.510023E-2	1.147901E-7	4.542969E+0
0.000000E+0	1.318261E-5	1.318261E-5	1.002126E-10	4.955078E+0
-5.000000E-2	1.434961E-2	-1.434961E-2	-1.090840E-7	5.336914E+0
-1.000000E-1	2.840761E-2	-2.840761E-2	-2.159512E-7	5.525391E+0
-1.500000E-1	4.241726E-2	-4.241726E-2	-3.224509E-7	5.713867E+0
-2.000000E-1	5.633356E-2	-5.633356E-2	-4.282409E-7	5.901367E+0
-2.500000E-1	7.057946E-2	-7.057946E-2	-5.365365E-7	6.089844E+0
-3.000000E-1	8.502334E-2	-8.502334E-2	-6.463371E-7	6.278320E+0
-3.500000E-1	9.978013E-2	-9.978013E-2	-7.585164E-7	6.465820E+0
-4.000000E-1	1.146911E-1	-1.146911E-1	-8.718677E-7	6.654297E+0
-4.500000E-1	1.297770E-1	-1.297770E-1	-9.865488E-7	6.841797E+0
-5.000000E-1	1.471481E-1	-1.471481E-1	-1.118602E-6	7.423828E+0
-5.000000E-1	1.468110E-1	-1.468110E-1	-1.116039E-6	7.612305E+0
-4.500000E-1	1.308090E-1	-1.308090E-1	-9.943941E-7	7.993164E+0
-4.000000E-1	1.155537E-1	-1.155537E-1	-8.784253E-7	8.181641E+0
-3.500000E-1	1.006433E-1	-1.006433E-1	-7.650780E-7	8.370117E+0
-3.000000E-1	8.607743E-2	-8.607743E-2	-6.543502E-7	8.557617E+0
-2.500000E-1	7.180282E-2	-7.180282E-2	-5.458363E-7	8.746094E+0
-2.000000E-1	5.753250E-2	-5.753250E-2	-4.373551E-7	8.934570E+0
-1.500000E-1	4.317378E-2	-4.317378E-2	-3.282018E-7	9.122070E+0
-1.000000E-1	2.896681E-2	-2.896681E-2	-2.202022E-7	9.310547E+0
-5.000000E-2	1.463532E-2	-1.463532E-2	-1.112559E-7	9.498047E+0
0.000000E+0	1.442430E-5	1.442430E-5	1.096518E-10	9.910156E+0
0.000000E+0	1.470593E-5	1.470593E-5	1.117927E-10	1.009961E+1
5.000000E-2	1.548621E-2	1.548621E-2	1.177243E-7	1.048145E+1
1.000000E-1	3.202245E-2	3.202245E-2	2.434308E-7	1.066992E+1
1.500000E-1	5.012218E-2	5.012218E-2	3.810227E-7	1.085742E+1
2.000000E-1	7.006338E-2	7.006338E-2	5.326133E-7	1.104590E+1
2.500000E-1	9.186950E-2	9.186950E-2	6.983808E-7	1.123340E+1
3.000000E-1	1.153684E-1	1.153684E-1	8.770166E-7	1.142187E+1
3.500000E-1	1.405180E-1	1.405180E-1	1.068201E-6	1.200391E+1
4.000000E-1	1.693318E-1	1.693318E-1	1.287240E-6	1.219141E+1
4.500000E-1	2.025772E-1	2.025772E-1	1.539967E-6	1.237988E+1
5.000000E-1	2.399736E-1	2.399736E-1	1.824250E-6	1.256836E+1
5.000000E-1	2.418540E-1	2.418540E-1	1.838545E-6	1.275586E+1
4.500000E-1	2.045245E-1	2.045245E-1	1.554770E-6	1.294434E+1
4.000000E-1	1.713025E-1	1.713025E-1	1.302221E-6	1.313184E+1
3.500000E-1	1.410612E-1	1.410612E-1	1.072330E-6	1.332031E+1
3.000000E-1	1.144477E-1	1.144477E-1	8.700172E-7	1.370215E+1
2.500000E-1	9.044221E-2	9.044221E-2	6.875307E-7	1.388965E+1
2.000000E-1	6.874484E-2	6.874484E-2	5.225899E-7	1.407812E+1
1.500000E-1	4.912757E-2	4.912757E-2	3.734618E-7	1.426660E+1
1.000000E-1	3.139664E-2	3.139664E-2	2.386734E-7	1.445410E+1
5.000000E-2	1.516395E-2	1.516395E-2	1.152745E-7	1.464258E+1
0.000000E+0	5.930672E-6	5.930672E-6	4.508425E-11	1.576074E+1
-5.000000E-2	1.449286E-2	-1.449286E-2	-1.101730E-7	1.653027E+1
-1.000000E-1	2.872189E-2	-2.872189E-2	-2.183403E-7	1.671777E+1
-1.500000E-1	4.282356E-2	-4.282356E-2	-3.255395E-7	1.690625E+1
-2.000000E-1	5.694006E-2	-5.694006E-2	-4.328514E-7	1.709473E+1
-2.500000E-1	7.123240E-2	-7.123240E-2	-5.415000E-7	1.728223E+1
-3.000000E-1	8.566632E-2	-8.566632E-2	-6.512249E-7	1.747070E+1
-3.500000E-1	1.000826E-1	-1.000826E-1	-7.608159E-7	1.765820E+1
-4.000000E-1	1.149248E-1	-1.149248E-1	-8.736441E-7	1.784668E+1
-4.500000E-1	1.304970E-1	-1.304970E-1	-9.920221E-7	1.803516E+1
-5.000000E-1	1.481567E-1	-1.481567E-1	-1.126269E-6	1.861621E+1
-5.000000E-1	1.482009E-1	-1.482009E-1	-1.126605E-6	1.880469E+1
-4.500000E-1	1.317556E-1	-1.317556E-1	-1.001590E-6	1.899219E+1
-4.000000E-1	1.162676E-1	-1.162676E-1	-8.838521E-7	1.937402E+1
-3.500000E-1	1.010667E-1	-1.010667E-1	-7.682971E-7	1.956250E+1
-3.000000E-1	8.643862E-2	-8.643862E-2	-6.570959E-7	1.975000E+1
-2.500000E-1	7.195694E-2	-7.195694E-2	-5.470079E-7	1.993848E+1
-2.000000E-1	5.772513E-2	-5.772513E-2	-4.388194E-7	2.012695E+1
-1.500000E-1	4.347835E-2	-4.347835E-2	-3.305171E-7	2.031445E+1
-1.000000E-1	2.919799E-2	-2.919799E-2	-2.219596E-7	2.050293E+1
-5.000000E-2	1.471815E-2	-1.471815E-2	-1.118856E-7	2.069141E+1
0.000000E+0	1.427860E-5	1.427860E-5	1.085442E-10	2.110254E+1
0.000000E+0	1.448784E-5	1.448784E-5	1.101348E-10	2.129199E+1
5.000000E-2	1.548336E-2	1.548336E-2	1.177026E-7	2.167383E+1
1.000000E-1	3.210783E-2	3.210783E-2	2.440798E-7	2.186230E+1
1.500000E-1	5.017911E-2	5.017911E-2	3.814555E-7	2.204980E+1
