voltage_7_1_5	absJ_7_1_5	J_7_1_5	current_7_1_5	time_7_1_5	
0.000000E+0	4.179854E-6	4.179854E-6	3.647611E-11	0.000000E+0
5.000000E-2	1.091712E-2	1.091712E-2	9.526985E-8	3.818359E-1
1.000000E-1	2.304357E-2	2.304357E-2	2.010931E-7	9.570313E-1
1.500000E-1	3.636069E-2	3.636069E-2	3.173069E-7	1.144531E+0
2.000000E-1	5.083179E-2	5.083179E-2	4.435911E-7	1.333008E+0
2.500000E-1	6.676570E-2	6.676570E-2	5.826406E-7	1.520508E+0
3.000000E-1	8.449724E-2	8.449724E-2	7.373775E-7	1.708984E+0
3.500000E-1	1.054775E-1	1.054775E-1	9.204649E-7	1.897461E+0
4.000000E-1	1.320056E-1	1.320056E-1	1.151966E-6	2.478516E+0
4.500000E-1	1.563061E-1	1.563061E-1	1.364028E-6	2.666992E+0
5.000000E-1	1.865453E-1	1.865453E-1	1.627915E-6	2.854492E+0
5.000000E-1	1.880348E-1	1.880348E-1	1.640913E-6	3.042969E+0
4.500000E-1	1.572281E-1	1.572281E-1	1.372074E-6	3.231445E+0
4.000000E-1	1.327393E-1	1.327393E-1	1.158369E-6	3.418945E+0
3.500000E-1	1.095174E-1	1.095174E-1	9.557200E-7	3.800781E+0
3.000000E-1	8.835902E-2	8.835902E-2	7.710779E-7	3.989258E+0
2.500000E-1	6.981357E-2	6.981357E-2	6.092383E-7	4.176758E+0
2.000000E-1	5.242910E-2	5.242910E-2	4.575302E-7	4.365234E+0
1.500000E-1	3.783783E-2	3.783783E-2	3.301974E-7	4.553711E+0
1.000000E-1	2.371649E-2	2.371649E-2	2.069654E-7	4.741211E+0
5.000000E-2	1.136170E-2	1.136170E-2	9.914955E-8	5.123047E+0
0.000000E+0	4.471344E-6	4.471344E-6	3.901984E-11	6.241211E+0
-5.000000E-2	1.095514E-2	-1.095514E-2	-9.560161E-8	6.624023E+0
-1.000000E-1	2.191551E-2	-2.191551E-2	-1.912489E-7	7.199219E+0
-1.500000E-1	3.348970E-2	-3.348970E-2	-2.922528E-7	7.386719E+0
-2.000000E-1	4.499278E-2	-4.499278E-2	-3.926361E-7	7.575195E+0
-2.500000E-1	5.738623E-2	-5.738623E-2	-5.007893E-7	7.762695E+0
-3.000000E-1	7.053519E-2	-7.053519E-2	-6.155356E-7	7.951172E+0
-3.500000E-1	8.423787E-2	-8.423787E-2	-7.351141E-7	8.139648E+0
-4.000000E-1	9.677233E-2	-9.677233E-2	-8.444979E-7	8.327148E+0
-4.500000E-1	1.130664E-1	-1.130664E-1	-9.866906E-7	8.515625E+0
-5.000000E-1	1.271613E-1	-1.271613E-1	-1.109692E-6	9.096680E+0
-5.000000E-1	1.269939E-1	-1.269939E-1	-1.108231E-6	9.285156E+0
-4.500000E-1	1.125162E-1	-1.125162E-1	-9.818891E-7	9.666992E+0
-4.000000E-1	9.899993E-2	-9.899993E-2	-8.639374E-7	9.854492E+0
-3.500000E-1	8.337493E-2	-8.337493E-2	-7.275835E-7	1.004297E+1
-3.000000E-1	6.986345E-2	-6.986345E-2	-6.096736E-7	1.023145E+1
-2.500000E-1	5.786512E-2	-5.786512E-2	-5.049684E-7	1.041895E+1
-2.000000E-1	4.514868E-2	-4.514868E-2	-3.939966E-7	1.060742E+1
-1.500000E-1	3.348040E-2	-3.348040E-2	-2.921716E-7	1.079492E+1
-1.000000E-1	2.194838E-2	-2.194838E-2	-1.915357E-7	1.098340E+1
-5.000000E-2	1.086238E-2	-1.086238E-2	-9.479216E-8	1.136523E+1
0.000000E+0	4.519469E-6	4.519469E-6	3.943981E-11	1.248340E+1
0.000000E+0	2.141523E-6	2.141523E-6	1.868831E-11	1.300781E+1
5.000000E-2	1.121674E-2	1.121674E-2	9.788451E-8	1.338965E+1
1.000000E-1	2.358449E-2	2.358449E-2	2.058135E-7	1.396484E+1
1.500000E-1	3.706496E-2	3.706496E-2	3.234528E-7	1.415234E+1
2.000000E-1	5.239440E-2	5.239440E-2	4.572274E-7	1.434082E+1
2.500000E-1	6.890456E-2	6.890456E-2	6.013057E-7	1.452832E+1
3.000000E-1	8.734633E-2	8.734633E-2	7.622405E-7	1.471680E+1
3.500000E-1	1.078524E-1	1.078524E-1	9.411895E-7	1.490527E+1
4.000000E-1	1.333619E-1	1.333619E-1	1.163802E-6	1.548633E+1
4.500000E-1	1.593973E-1	1.593973E-1	1.391004E-6	1.567480E+1
5.000000E-1	1.883022E-1	1.883022E-1	1.643247E-6	1.586230E+1
5.000000E-1	1.913806E-1	1.913806E-1	1.670111E-6	1.605078E+1
4.500000E-1	1.635995E-1	1.635995E-1	1.427675E-6	1.623926E+1
4.000000E-1	1.354908E-1	1.354908E-1	1.182380E-6	1.642676E+1
3.500000E-1	1.110599E-1	1.110599E-1	9.691807E-7	1.680859E+1
3.000000E-1	9.010427E-2	9.010427E-2	7.863081E-7	1.699707E+1
2.500000E-1	7.108759E-2	7.108759E-2	6.203562E-7	1.718457E+1
2.000000E-1	5.344405E-2	5.344405E-2	4.663873E-7	1.737305E+1
1.500000E-1	3.801828E-2	3.801828E-2	3.317721E-7	1.756152E+1
1.000000E-1	2.416742E-2	2.416742E-2	2.109005E-7	1.774902E+1
5.000000E-2	1.159233E-2	1.159233E-2	1.011622E-7	1.793750E+1
0.000000E+0	4.533453E-6	4.533453E-6	3.956184E-11	1.905566E+1
-5.000000E-2	1.089441E-2	-1.089441E-2	-9.507164E-8	1.943848E+1
-1.000000E-1	2.216696E-2	-2.216696E-2	-1.934432E-7	2.001270E+1
-1.500000E-1	3.379286E-2	-3.379286E-2	-2.948983E-7	2.020117E+1
-2.000000E-1	4.606613E-2	-4.606613E-2	-4.020028E-7	2.038867E+1
-2.500000E-1	5.857926E-2	-5.857926E-2	-5.112005E-7	2.057715E+1
-3.000000E-1	7.144340E-2	-7.144340E-2	-6.234613E-7	2.076563E+1
-3.500000E-1	8.530647E-2	-8.530647E-2	-7.444394E-7	2.095312E+1
-4.000000E-1	9.931313E-2	-9.931313E-2	-8.666705E-7	2.114160E+1
-4.500000E-1	1.138731E-1	-1.138731E-1	-9.937298E-7	2.133008E+1
-5.000000E-1	1.301657E-1	-1.301657E-1	-1.135910E-6	2.191113E+1
-5.000000E-1	1.303396E-1	-1.303396E-1	-1.137428E-6	2.209961E+1
-4.500000E-1	1.142653E-1	-1.142653E-1	-9.971532E-7	2.248145E+1
-4.000000E-1	9.993135E-2	-9.993135E-2	-8.720656E-7	2.266895E+1
-3.500000E-1	8.507427E-2	-8.507427E-2	-7.424130E-7	2.285742E+1
-3.000000E-1	7.107830E-2	-7.107830E-2	-6.202752E-7	2.304492E+1
-2.500000E-1	5.831230E-2	-5.831230E-2	-5.088708E-7	2.323340E+1
-2.000000E-1	4.591509E-2	-4.591509E-2	-4.006847E-7	2.342188E+1
-1.500000E-1	3.402168E-2	-3.402168E-2	-2.968952E-7	2.360937E+1
-1.000000E-1	2.228845E-2	-2.228845E-2	-1.945034E-7	2.379785E+1
-5.000000E-2	1.107853E-2	-1.107853E-2	-9.667841E-8	2.417969E+1
0.000000E+0	4.571957E-6	4.571957E-6	3.989785E-11	2.529785E+1
0.000000E+0	2.118375E-6	2.118375E-6	1.848631E-11	2.582129E+1
5.000000E-2	1.141997E-2	1.141997E-2	9.965807E-8	2.620410E+1
1.000000E-1	2.395435E-2	2.395435E-2	2.090411E-7	2.677832E+1
1.500000E-1	3.769040E-2	3.769040E-2	3.289108E-7	2.696680E+1
2.000000E-1	5.298467E-2	5.298467E-2	4.623785E-7	2.715430E+1
2.500000E-1	7.005054E-2	7.005054E-2	6.113063E-7	2.734277E+1
3.000000E-1	8.910093E-2	8.910093E-2	7.775523E-7	2.753125E+1
3.500000E-1	1.092601E-1	1.092601E-1	9.534741E-7	2.771875E+1
4.000000E-1	1.332727E-1	1.332727E-1	1.163024E-6	2.830078E+1
4.500000E-1	1.597411E-1	1.597411E-1	1.394004E-6	2.848828E+1
5.000000E-1	1.900754E-1	1.900754E-1	1.658721E-6	2.867676E+1
5.000000E-1	1.898213E-1	1.898213E-1	1.656503E-6	2.886523E+1
4.500000E-1	1.611742E-1	1.611742E-1	1.406510E-6	2.905273E+1
4.000000E-1	1.382092E-1	1.382092E-1	1.206103E-6	2.924121E+1
3.500000E-1	1.129265E-1	1.129265E-1	9.854698E-7	2.962305E+1
3.000000E-1	9.038948E-2	9.038948E-2	7.887970E-7	2.981055E+1
2.500000E-1	6.933285E-2	6.933285E-2	6.050432E-7	2.999902E+1
2.000000E-1	5.285889E-2	5.285889E-2	4.612808E-7	3.018652E+1
1.500000E-1	3.733658E-2	3.733658E-2	3.258231E-7	3.037500E+1
1.000000E-1	2.362730E-2	2.362730E-2	2.061871E-7	3.056348E+1
5.000000E-2	1.129402E-2	1.129402E-2	9.855888E-8	3.094434E+1
0.000000E+0	4.386841E-6	4.386841E-6	3.828241E-11	3.206250E+1
-5.000000E-2	1.080642E-2	-1.080642E-2	-9.430377E-8	3.244629E+1
-1.000000E-1	2.190010E-2	-2.190010E-2	-1.911144E-7	3.302051E+1
