voltage_6_1	absJ_6_1	J_6_1	current_6_1	time_6_1	
0.000000E+0	3.424199E-6	3.424199E-6	2.244453E-11	0.000000E+0
5.000000E-2	8.343870E-3	8.343870E-3	5.469141E-8	3.818359E-1
1.000000E-1	1.401415E-2	1.401415E-2	9.185828E-8	9.570313E-1
1.500000E-1	2.162528E-2	2.162528E-2	1.417468E-7	1.144531E+0
2.000000E-1	3.101024E-2	3.101024E-2	2.032622E-7	1.333008E+0
2.500000E-1	4.121387E-2	4.121387E-2	2.701438E-7	1.520508E+0
3.000000E-1	5.043312E-2	5.043312E-2	3.305730E-7	1.708984E+0
3.500000E-1	5.312585E-2	5.312585E-2	3.482230E-7	1.897461E+0
4.000000E-1	6.372133E-2	6.372133E-2	4.176730E-7	2.084961E+0
4.500000E-1	8.005372E-2	8.005372E-2	5.247266E-7	2.273438E+0
5.000000E-1	7.874803E-2	7.874803E-2	5.161682E-7	2.461914E+0
5.000000E-1	7.670301E-2	7.670301E-2	5.027638E-7	2.649414E+0
4.500000E-1	6.481884E-2	6.481884E-2	4.248668E-7	2.837891E+0
4.000000E-1	5.418509E-2	5.418509E-2	3.551660E-7	3.025391E+0
3.500000E-1	4.612501E-2	4.612501E-2	3.023347E-7	3.213867E+0
3.000000E-1	3.750491E-2	3.750491E-2	2.458327E-7	3.402344E+0
2.500000E-1	2.887271E-2	2.887271E-2	1.892514E-7	3.589844E+0
2.000000E-1	2.210774E-2	2.210774E-2	1.449092E-7	3.778320E+0
1.500000E-1	1.584501E-2	1.584501E-2	1.038590E-7	3.966797E+0
1.000000E-1	9.830978E-3	9.830978E-3	6.443892E-8	4.347656E+0
5.000000E-2	4.562233E-3	4.562233E-3	2.990398E-8	4.536133E+0
0.000000E+0	3.600708E-6	3.600708E-6	2.360149E-11	5.430664E+0
-5.000000E-2	4.624045E-3	-4.624045E-3	-3.030914E-8	5.813477E+0
-1.000000E-1	9.456868E-3	-9.456868E-3	-6.198675E-8	6.001953E+0
-1.500000E-1	1.441565E-2	-1.441565E-2	-9.448996E-8	6.190430E+0
-2.000000E-1	2.539013E-2	-2.539013E-2	-1.664242E-7	6.764648E+0
-2.500000E-1	3.515071E-2	-3.515071E-2	-2.304017E-7	6.953125E+0
-3.000000E-1	4.413330E-2	-4.413330E-2	-2.892797E-7	7.140625E+0
-3.500000E-1	5.231684E-2	-5.231684E-2	-3.429202E-7	7.329102E+0
-4.000000E-1	6.399831E-2	-6.399831E-2	-4.194885E-7	7.517578E+0
-4.500000E-1	7.521393E-2	-7.521393E-2	-4.930033E-7	7.705078E+0
-5.000000E-1	8.919758E-2	-8.919758E-2	-5.846617E-7	7.893555E+0
-5.000000E-1	9.173200E-2	-9.173200E-2	-6.012740E-7	8.081055E+0
-4.500000E-1	7.815007E-2	-7.815007E-2	-5.122488E-7	8.269531E+0
-4.000000E-1	6.507839E-2	-6.507839E-2	-4.265681E-7	8.458008E+0
-3.500000E-1	5.140897E-2	-5.140897E-2	-3.369694E-7	8.645508E+0
-3.000000E-1	4.323072E-2	-4.323072E-2	-2.833636E-7	8.833984E+0
-2.500000E-1	3.299082E-2	-3.299082E-2	-2.162443E-7	9.022461E+0
-2.000000E-1	2.448202E-2	-2.448202E-2	-1.604718E-7	9.209961E+0
-1.500000E-1	1.634775E-2	-1.634775E-2	-1.071543E-7	9.398438E+0
-1.000000E-1	1.057358E-2	-1.057358E-2	-6.930642E-8	9.780273E+0
-5.000000E-2	4.965575E-3	-4.965575E-3	-3.254776E-8	9.967773E+0
0.000000E+0	1.882951E-6	1.882951E-6	1.234214E-11	1.086230E+1
