voltage_4_1	absJ_4_1	J_4_1	current_4_1	time_4_1	
0.000000E+0	8.030731E-7	8.030731E-7	3.768819E-12	0.000000E+0
5.000000E-2	9.090710E-4	9.090710E-4	4.266267E-9	5.761719E-1
1.000000E-1	1.777407E-3	1.777407E-3	8.341367E-9	7.636719E-1
1.500000E-1	1.149557E-4	1.149557E-4	5.394867E-10	1.338867E+0
2.000000E-1	1.343891E-4	1.343891E-4	6.306876E-10	1.750977E+0
2.500000E-1	2.534992E-4	2.534992E-4	1.189671E-9	2.326172E+0
3.000000E-1	3.388990E-4	3.388990E-4	1.590452E-9	2.514648E+0
3.500000E-1	3.942792E-4	3.942792E-4	1.850351E-9	2.703125E+0
4.000000E-1	4.268527E-4	4.268527E-4	2.003218E-9	2.890625E+0
4.500000E-1	4.993833E-4	4.993833E-4	2.343604E-9	3.079102E+0
5.000000E-1	6.233962E-4	6.233962E-4	2.925596E-9	3.267578E+0
5.000000E-1	6.875100E-4	6.875100E-4	3.226482E-9	3.455078E+0
4.500000E-1	5.714319E-4	5.714319E-4	2.681728E-9	3.643555E+0
4.000000E-1	4.373999E-4	4.373999E-4	2.052716E-9	3.831055E+0
3.500000E-1	3.770955E-4	3.770955E-4	1.769708E-9	4.019531E+0
3.000000E-1	3.136612E-4	3.136612E-4	1.472011E-9	4.208008E+0
2.500000E-1	2.252908E-4	2.252908E-4	1.057289E-9	4.395508E+0
2.000000E-1	1.637683E-4	1.637683E-4	7.685639E-10	5.194336E+0
1.500000E-1	1.202636E-4	1.202636E-4	5.643966E-10	5.606445E+0
1.000000E-1	7.461499E-5	7.461499E-5	3.501679E-10	5.794922E+0
5.000000E-2	3.740478E-5	3.740478E-5	1.755405E-10	5.983398E+0
0.000000E+0	2.101276E-7	-2.101276E-7	-9.861278E-13	6.878906E+0
-5.000000E-2	1.419227E-5	-1.419227E-5	-6.660428E-11	7.402344E+0
-1.000000E-1	1.531427E-5	-1.531427E-5	-7.186980E-11	7.925781E+0
-1.500000E-1	1.215015E-4	-1.215015E-4	-5.702061E-10	8.532227E+0
-2.000000E-1	1.346056E-4	-1.346056E-4	-6.317038E-10	8.720703E+0
-2.500000E-1	1.459681E-4	-1.459681E-4	-6.850278E-10	8.910156E+0
-3.000000E-1	2.354643E-4	-2.354643E-4	-1.105033E-9	9.485352E+0
-3.500000E-1	2.775427E-4	-2.775427E-4	-1.302507E-9	9.673828E+0
-4.000000E-1	3.198831E-4	-3.198831E-4	-1.501210E-9	9.861328E+0
-4.500000E-1	3.753063E-4	-3.753063E-4	-1.761311E-9	1.004980E+1
-5.000000E-1	4.325256E-4	-4.325256E-4	-2.029841E-9	1.023828E+1
-5.000000E-1	4.194271E-4	-4.194271E-4	-1.968370E-9	1.042578E+1
-4.500000E-1	3.792383E-4	-3.792383E-4	-1.779764E-9	1.061426E+1
-4.000000E-1	3.264722E-4	-3.264722E-4	-1.532133E-9	1.080176E+1
-3.500000E-1	2.769163E-4	-2.769163E-4	-1.299567E-9	1.099023E+1
-3.000000E-1	2.408361E-4	-2.408361E-4	-1.130243E-9	1.117871E+1
-2.500000E-1	1.473086E-4	-1.473086E-4	-6.913188E-10	1.158984E+1
-2.000000E-1	1.586294E-4	-1.586294E-4	-7.444472E-10	1.216602E+1
-1.500000E-1	1.219805E-4	-1.219805E-4	-5.724541E-10	1.257715E+1
-1.000000E-1	8.726461E-5	-8.726461E-5	-4.095325E-10	1.276660E+1
-5.000000E-2	4.116517E-5	-4.116517E-5	-1.931880E-10	1.295508E+1
0.000000E+0	9.203585E-7	9.203585E-7	4.319239E-12	1.385059E+1
