voltage_1_6	absJ_1_6	J_1_6	current_1_6	time_1_6	
0.000000E+0	1.044608E-7	-1.044608E-7	-9.704182E-13	0.000000E+0
5.000000E-2	4.275496E-5	4.275496E-5	3.971843E-10	1.014648E+0
1.000000E-1	8.396061E-5	8.396061E-5	7.799759E-10	1.286133E+0
1.500000E-1	9.208507E-5	9.208507E-5	8.554504E-10	1.558594E+0
2.000000E-1	2.174830E-4	2.174830E-4	2.020370E-9	2.231445E+0
2.500000E-1	3.024492E-4	3.024492E-4	2.809688E-9	2.349609E+0
3.000000E-1	4.314246E-4	4.314246E-4	4.007841E-9	2.466797E+0
3.500000E-1	5.626391E-4	5.626391E-4	5.226796E-9	2.584961E+0
4.000000E-1	7.250731E-4	7.250731E-4	6.735772E-9	2.703125E+0
4.500000E-1	8.668294E-4	8.668294E-4	8.052657E-9	2.821289E+0
5.000000E-1	9.252881E-4	9.252881E-4	8.595726E-9	2.939453E+0
5.000000E-1	8.230285E-4	8.230285E-4	7.645757E-9	3.056641E+0
4.500000E-1	6.576924E-4	6.576924E-4	6.109820E-9	3.174805E+0
4.000000E-1	5.778073E-4	5.778073E-4	5.367705E-9	3.292969E+0
3.500000E-1	4.345076E-4	4.345076E-4	4.036482E-9	3.411133E+0
3.000000E-1	3.563458E-4	3.563458E-4	3.310375E-9	3.529297E+0
2.500000E-1	2.781549E-4	2.781549E-4	2.583999E-9	3.646484E+0
2.000000E-1	2.044311E-4	2.044311E-4	1.899121E-9	3.764648E+0
1.500000E-1	1.492478E-4	1.492478E-4	1.386480E-9	3.882813E+0
1.000000E-1	8.215748E-5	8.215748E-5	7.632252E-10	4.124023E+0
5.000000E-2	4.138114E-5	4.138114E-5	3.844218E-10	4.396484E+0
0.000000E+0	1.646117E-7	1.646117E-7	1.529207E-12	5.385742E+0
-5.000000E-2	8.730711E-6	-8.730711E-6	-8.110641E-11	6.000977E+0
-1.000000E-1	7.392173E-5	-7.392173E-5	-6.867169E-10	6.673828E+0
-1.500000E-1	9.017348E-5	-9.017348E-5	-8.376921E-10	6.946289E+0
-2.000000E-1	9.634020E-5	-9.634020E-5	-8.949796E-10	7.218750E+0
-2.500000E-1	2.283773E-4	-2.283773E-4	-2.121576E-9	7.890625E+0
-3.000000E-1	2.993082E-4	-2.993082E-4	-2.780508E-9	8.008789E+0
-3.500000E-1	4.192054E-4	-4.192054E-4	-3.894327E-9	8.126953E+0
-4.000000E-1	4.737060E-4	-4.737060E-4	-4.400626E-9	8.245117E+0
-4.500000E-1	5.812329E-4	-5.812329E-4	-5.399528E-9	8.363281E+0
-5.000000E-1	5.672271E-4	-5.672271E-4	-5.269417E-9	8.480469E+0
-5.000000E-1	6.149668E-4	-6.149668E-4	-5.712909E-9	8.598633E+0
-4.500000E-1	4.934503E-4	-4.934503E-4	-4.584047E-9	8.716797E+0
-4.000000E-1	4.073757E-4	-4.073757E-4	-3.784432E-9	8.834961E+0
-3.500000E-1	3.336647E-4	-3.336647E-4	-3.099673E-9	8.953125E+0
-3.000000E-1	2.682653E-4	-2.682653E-4	-2.492127E-9	9.070313E+0
-2.500000E-1	2.161097E-4	-2.161097E-4	-2.007612E-9	9.188477E+0
-2.000000E-1	1.580034E-4	-1.580034E-4	-1.467817E-9	9.306641E+0
-1.500000E-1	3.687427E-5	-3.687427E-5	-3.425540E-10	9.547852E+0
-1.000000E-1	3.232315E-5	-3.232315E-5	-3.002751E-10	9.820313E+0
-5.000000E-2	4.394455E-5	-4.394455E-5	-4.082354E-10	1.103906E+1
0.000000E+0	6.158311E-7	-6.158311E-7	-5.720938E-12	1.202930E+1
