voltage_2_3_5	absJ_2_3_5	J_2_3_5	current_2_3_5	time_2_3_5	
0.000000E+0	6.235201E-7	6.235201E-7	5.792367E-12	0.000000E+0
5.000000E-2	1.765660E-4	1.765660E-4	1.640260E-9	1.013672E+0
1.000000E-1	3.571104E-4	3.571104E-4	3.317478E-9	1.131836E+0
1.500000E-1	5.524262E-4	5.524262E-4	5.131920E-9	1.250000E+0
2.000000E-1	7.988795E-4	7.988795E-4	7.421418E-9	1.367188E+0
2.500000E-1	9.877459E-4	9.877459E-4	9.175945E-9	1.485352E+0
3.000000E-1	1.212386E-3	1.212386E-3	1.126280E-8	1.850586E+0
3.500000E-1	1.482430E-3	1.482430E-3	1.377145E-8	1.967773E+0
4.000000E-1	1.767239E-3	1.767239E-3	1.641727E-8	2.085938E+0
4.500000E-1	2.116226E-3	2.116226E-3	1.965928E-8	2.204102E+0
5.000000E-1	2.547730E-3	2.547730E-3	2.366786E-8	2.322266E+0
5.000000E-1	2.540300E-3	2.540300E-3	2.359884E-8	2.440430E+0
4.500000E-1	2.079876E-3	2.079876E-3	1.932160E-8	2.557617E+0
4.000000E-1	1.694184E-3	1.694184E-3	1.573860E-8	2.675781E+0
3.500000E-1	1.372295E-3	1.372295E-3	1.274832E-8	2.793945E+0
3.000000E-1	9.970528E-4	9.970528E-4	9.262405E-9	3.035156E+0
2.500000E-1	8.519601E-4	8.519601E-4	7.914525E-9	3.153320E+0
2.000000E-1	6.262936E-4	6.262936E-4	5.818132E-9	3.271484E+0
1.500000E-1	4.340910E-4	4.340910E-4	4.032611E-9	3.389648E+0
1.000000E-1	2.759286E-4	2.759286E-4	2.563317E-9	3.506836E+0
5.000000E-2	1.294612E-4	1.294612E-4	1.202667E-9	3.625000E+0
0.000000E+0	8.879616E-7	8.879616E-7	8.248971E-12	4.306641E+0
-5.000000E-2	1.125598E-4	-1.125598E-4	-1.045656E-9	5.322266E+0
-1.000000E-1	2.410569E-4	-2.410569E-4	-2.239367E-9	5.440430E+0
-1.500000E-1	3.626890E-4	-3.626890E-4	-3.369302E-9	5.558594E+0
-2.000000E-1	4.934239E-4	-4.934239E-4	-4.583801E-9	5.675781E+0
-2.500000E-1	6.270743E-4	-6.270743E-4	-5.825384E-9	5.793945E+0
-3.000000E-1	7.651384E-4	-7.651384E-4	-7.107970E-9	5.912109E+0
-3.500000E-1	9.024761E-4	-9.024761E-4	-8.383807E-9	6.030273E+0
-4.000000E-1	1.005132E-3	-1.005132E-3	-9.337458E-9	6.148438E+0
-4.500000E-1	1.081040E-3	-1.081040E-3	-1.004263E-8	6.265625E+0
-5.000000E-1	1.118767E-3	-1.118767E-3	-1.039310E-8	6.383789E+0
-5.000000E-1	1.117214E-3	-1.117214E-3	-1.037868E-8	6.501953E+0
-4.500000E-1	1.087869E-3	-1.087869E-3	-1.010607E-8	6.620117E+0
-4.000000E-1	1.017719E-3	-1.017719E-3	-9.454385E-9	6.738281E+0
-3.500000E-1	9.067701E-4	-9.067701E-4	-8.423698E-9	6.855469E+0
-3.000000E-1	7.873200E-4	-7.873200E-4	-7.314033E-9	6.973633E+0
-2.500000E-1	6.466302E-4	-6.466302E-4	-6.007055E-9	7.091797E+0
-2.000000E-1	5.112707E-4	-5.112707E-4	-4.749594E-9	7.209961E+0
-1.500000E-1	3.790048E-4	-3.790048E-4	-3.520873E-9	7.328125E+0
-1.000000E-1	2.516666E-4	-2.516666E-4	-2.337928E-9	7.446289E+0
-5.000000E-2	1.243969E-4	-1.243969E-4	-1.155620E-9	7.563477E+0
0.000000E+0	8.195420E-7	8.195420E-7	7.613368E-12	8.246094E+0
0.000000E+0	4.344880E-7	4.344880E-7	4.036299E-12	8.860352E+0
5.000000E-2	1.231916E-4	1.231916E-4	1.144423E-9	9.533203E+0
1.000000E-1	2.555067E-4	2.555067E-4	2.373602E-9	9.651367E+0
1.500000E-1	3.999567E-4	3.999567E-4	3.715511E-9	9.769531E+0
2.000000E-1	5.484280E-4	5.484280E-4	5.094778E-9	9.886719E+0
2.500000E-1	7.357941E-4	7.357941E-4	6.835368E-9	1.000488E+1
3.000000E-1	9.198732E-4	9.198732E-4	8.545423E-9	1.012305E+1
3.500000E-1	1.063344E-3	1.063344E-3	9.878233E-9	1.024121E+1
4.000000E-1	1.123267E-3	1.123267E-3	1.043491E-8	1.035937E+1
4.500000E-1	1.729025E-3	1.729025E-3	1.606227E-8	1.072363E+1
5.000000E-1	2.024581E-3	2.024581E-3	1.880792E-8	1.084180E+1
5.000000E-1	1.984342E-3	1.984342E-3	1.843411E-8	1.095996E+1
4.500000E-1	1.667994E-3	1.667994E-3	1.549530E-8	1.107715E+1
4.000000E-1	1.362976E-3	1.362976E-3	1.266175E-8	1.119531E+1
3.500000E-1	1.084784E-3	1.084784E-3	1.007741E-8	1.131348E+1
3.000000E-1	8.207114E-4	8.207114E-4	7.624231E-9	1.155469E+1
2.500000E-1	6.337913E-4	6.337913E-4	5.887784E-9	1.167285E+1
2.000000E-1	4.715167E-4	4.715167E-4	4.380288E-9	1.179102E+1
1.500000E-1	3.274946E-4	3.274946E-4	3.042354E-9	1.190918E+1
1.000000E-1	2.074267E-4	2.074267E-4	1.926949E-9	1.202734E+1
5.000000E-2	8.553804E-5	8.553804E-5	7.946299E-10	1.226855E+1
0.000000E+0	7.551335E-7	7.551335E-7	7.015027E-12	1.325781E+1
-5.000000E-2	8.358839E-5	-8.358839E-5	-7.765180E-10	1.427246E+1
-1.000000E-1	9.814904E-5	-9.814904E-5	-9.117833E-10	1.454492E+1
-1.500000E-1	1.070469E-4	-1.070469E-4	-9.944421E-10	1.481738E+1
-2.000000E-1	3.577068E-4	-3.577068E-4	-3.323019E-9	1.549023E+1
-2.500000E-1	4.570255E-4	-4.570255E-4	-4.245668E-9	1.560840E+1
-3.000000E-1	5.563748E-4	-5.563748E-4	-5.168601E-9	1.572559E+1
-3.500000E-1	6.593400E-4	-6.593400E-4	-6.125126E-9	1.584375E+1
-4.000000E-1	7.757127E-4	-7.757127E-4	-7.206203E-9	1.596191E+1
-4.500000E-1	8.792009E-4	-8.792009E-4	-8.167587E-9	1.608008E+1
-5.000000E-1	9.649038E-4	-9.649038E-4	-8.963748E-9	1.619824E+1
-5.000000E-1	9.591946E-4	-9.591946E-4	-8.910710E-9	1.631543E+1
-4.500000E-1	8.753103E-4	-8.753103E-4	-8.131443E-9	1.643359E+1
-4.000000E-1	7.815520E-4	-7.815520E-4	-7.260449E-9	1.655176E+1
-3.500000E-1	6.765563E-4	-6.765563E-4	-6.285062E-9	1.666992E+1
-3.000000E-1	5.700089E-4	-5.700089E-4	-5.295260E-9	1.678809E+1
-2.500000E-1	4.735613E-4	-4.735613E-4	-4.399282E-9	1.690527E+1
-2.000000E-1	3.752670E-4	-3.752670E-4	-3.486149E-9	1.702344E+1
-1.500000E-1	2.801979E-4	-2.801979E-4	-2.602978E-9	1.714160E+1
-1.000000E-1	1.850638E-4	-1.850638E-4	-1.719203E-9	1.725977E+1
-5.000000E-2	8.396436E-5	-8.396436E-5	-7.800107E-10	1.750098E+1
0.000000E+0	7.517321E-7	7.517321E-7	6.983428E-12	1.849023E+1
0.000000E+0	1.067003E-6	1.067003E-6	9.912224E-12	1.910449E+1
5.000000E-2	8.408804E-5	8.408804E-5	7.811597E-10	1.994824E+1
1.000000E-1	9.912716E-5	9.912716E-5	9.208699E-10	2.022070E+1
1.500000E-1	1.081880E-4	1.081880E-4	1.005043E-9	2.049219E+1
2.000000E-1	4.239828E-4	4.239828E-4	3.938708E-9	2.116504E+1
2.500000E-1	5.492655E-4	5.492655E-4	5.102558E-9	2.128320E+1
3.000000E-1	7.030229E-4	7.030229E-4	6.530931E-9	2.140039E+1
3.500000E-1	8.812910E-4	8.812910E-4	8.187003E-9	2.151855E+1
4.000000E-1	1.016555E-3	1.016555E-3	9.443578E-9	2.163672E+1
4.500000E-1	1.314534E-3	1.314534E-3	1.221174E-8	2.200098E+1
5.000000E-1	1.580381E-3	1.580381E-3	1.468140E-8	2.211914E+1
5.000000E-1	1.525975E-3	1.525975E-3	1.417598E-8	2.223730E+1
4.500000E-1	1.230104E-3	1.230104E-3	1.142740E-8	2.235547E+1
4.000000E-1	9.506458E-4	9.506458E-4	8.831294E-9	2.259668E+1
3.500000E-1	8.047124E-4	8.047124E-4	7.475604E-9	2.271484E+1
3.000000E-1	6.189725E-4	6.189725E-4	5.750121E-9	2.283301E+1
2.500000E-1	4.847527E-4	4.847527E-4	4.503248E-9	2.295020E+1
2.000000E-1	3.621680E-4	3.621680E-4	3.364462E-9	2.306836E+1
1.500000E-1	2.551750E-4	2.551750E-4	2.370521E-9	2.318652E+1
1.000000E-1	1.604200E-4	1.604200E-4	1.490267E-9	2.330469E+1
5.000000E-2	7.357889E-5	7.357889E-5	6.835320E-10	2.354590E+1
0.000000E+0	5.579568E-7	5.579568E-7	5.183298E-12	2.453516E+1
-5.000000E-2	6.570168E-5	-6.570168E-5	-6.103544E-10	2.520898E+1
-1.000000E-1	9.154166E-5	-9.154166E-5	-8.504022E-10	2.548047E+1
-1.500000E-1	1.023831E-4	-1.023831E-4	-9.511172E-10	2.575293E+1
-2.000000E-1	2.818596E-4	-2.818596E-4	-2.618415E-9	2.642578E+1
-2.500000E-1	3.573090E-4	-3.573090E-4	-3.319323E-9	2.654395E+1
-3.000000E-1	4.312973E-4	-4.312973E-4	-4.006659E-9	2.666211E+1
-3.500000E-1	5.148923E-4	-5.148923E-4	-4.783238E-9	2.677930E+1
-4.000000E-1	5.891991E-4	-5.891991E-4	-5.473532E-9	2.689746E+1
-4.500000E-1	6.693739E-4	-6.693739E-4	-6.218339E-9	2.701563E+1
-5.000000E-1	7.527095E-4	-7.527095E-4	-6.992509E-9	2.713379E+1
-5.000000E-1	7.494545E-4	-7.494545E-4	-6.962270E-9	2.725195E+1
-4.500000E-1	6.729394E-4	-6.729394E-4	-6.251461E-9	2.736914E+1
-4.000000E-1	5.944500E-4	-5.944500E-4	-5.522312E-9	2.748730E+1
-3.500000E-1	5.175094E-4	-5.175094E-4	-4.807551E-9	2.760547E+1
-3.000000E-1	4.386464E-4	-4.386464E-4	-4.074930E-9	2.772363E+1
-2.500000E-1	3.590079E-4	-3.590079E-4	-3.335106E-9	2.784180E+1
-2.000000E-1	2.886055E-4	-2.886055E-4	-2.681083E-9	2.795898E+1
-1.500000E-1	2.135608E-4	-2.135608E-4	-1.983934E-9	2.807715E+1
-1.000000E-1	1.430654E-4	-1.430654E-4	-1.329047E-9	2.819531E+1
-5.000000E-2	6.807311E-5	-6.807311E-5	-6.323844E-10	2.843652E+1
0.000000E+0	1.091294E-6	1.091294E-6	1.013789E-11	2.942676E+1
