voltage_1_2_16_1	absJ_1_2_16_1	J_1_2_16_1	current_1_2_16_1	time_1_2_16_1	
0.000000E+0	8.110175E-7	8.110175E-7	7.863848E-13	0.000000E+0
5.000000E-2	7.763942E-4	7.763942E-4	7.528131E-10	1.115234E+0
1.000000E-1	1.621707E-3	1.621707E-3	1.572452E-9	2.230469E+0
1.500000E-1	2.624820E-3	2.624820E-3	2.545097E-9	2.598633E+0
2.000000E-1	3.627843E-3	3.627843E-3	3.517656E-9	2.965820E+0
2.500000E-1	5.060436E-3	5.060436E-3	4.906737E-9	3.333984E+0
3.000000E-1	6.715954E-3	6.715954E-3	6.511973E-9	3.702148E+0
3.500000E-1	9.322969E-3	9.322969E-3	9.039806E-9	4.070313E+0
4.000000E-1	7.701316E-3	7.701316E-3	7.467406E-9	5.184570E+0
4.500000E-1	9.586484E-3	9.586484E-3	9.295317E-9	5.925781E+0
5.000000E-1	1.082282E-2	1.082282E-2	1.049410E-8	6.292969E+0
5.000000E-1	1.032016E-2	1.032016E-2	1.000671E-8	6.661133E+0
4.500000E-1	8.684229E-3	8.684229E-3	8.420466E-9	7.029297E+0
4.000000E-1	6.566564E-3	6.566564E-3	6.367120E-9	7.396484E+0
3.500000E-1	5.447021E-3	5.447021E-3	5.281581E-9	7.764648E+0
3.000000E-1	4.001030E-3	4.001030E-3	3.879508E-9	8.132813E+0
2.500000E-1	2.749736E-3	2.749736E-3	2.666219E-9	8.500977E+0
2.000000E-1	2.114150E-3	2.114150E-3	2.049938E-9	8.868164E+0
1.500000E-1	1.350138E-3	1.350138E-3	1.309131E-9	9.236328E+0
1.000000E-1	8.674848E-4	8.674848E-4	8.411370E-10	9.977539E+0
5.000000E-2	3.935131E-4	3.935131E-4	3.815611E-10	1.034570E+1
0.000000E+0	1.132336E-5	1.132336E-5	1.097944E-11	1.152148E+1
-5.000000E-2	3.961950E-4	-3.961950E-4	-3.841615E-10	1.263672E+1
-1.000000E-1	6.691293E-4	-6.691293E-4	-6.488061E-10	1.300586E+1
-1.500000E-1	1.118169E-3	-1.118169E-3	-1.084207E-9	1.412012E+1
-2.000000E-1	1.544466E-3	-1.544466E-3	-1.497557E-9	1.448828E+1
-2.500000E-1	1.924637E-3	-1.924637E-3	-1.866181E-9	1.485645E+1
-3.000000E-1	2.466191E-3	-2.466191E-3	-2.391286E-9	1.522363E+1
-3.500000E-1	2.970266E-3	-2.970266E-3	-2.880051E-9	1.559180E+1
-4.000000E-1	3.598691E-3	-3.598691E-3	-3.489389E-9	1.595996E+1
-4.500000E-1	4.167645E-3	-4.167645E-3	-4.041063E-9	1.632715E+1
-5.000000E-1	4.857876E-3	-4.857876E-3	-4.710329E-9	1.669531E+1
-5.000000E-1	4.696802E-3	-4.696802E-3	-4.554148E-9	1.706348E+1
-4.500000E-1	4.212708E-3	-4.212708E-3	-4.084757E-9	1.743066E+1
-4.000000E-1	3.749216E-3	-3.749216E-3	-3.635342E-9	1.779883E+1
-3.500000E-1	3.275770E-3	-3.275770E-3	-3.176276E-9	1.816699E+1
-3.000000E-1	2.757080E-3	-2.757080E-3	-2.673340E-9	1.853516E+1
-2.500000E-1	2.175812E-3	-2.175812E-3	-2.109727E-9	1.890234E+1
-2.000000E-1	1.676148E-3	-1.676148E-3	-1.625239E-9	1.927051E+1
-1.500000E-1	1.169139E-3	-1.169139E-3	-1.133629E-9	1.963867E+1
-1.000000E-1	7.833641E-4	-7.833641E-4	-7.595713E-10	2.037988E+1
-5.000000E-2	3.830311E-4	-3.830311E-4	-3.713974E-10	2.074805E+1
0.000000E+0	7.180007E-7	7.180007E-7	6.961931E-13	2.192285E+1
0.000000E+0	5.066624E-8	-5.066624E-8	-4.912737E-14	2.262695E+1
5.000000E-2	3.793233E-4	3.793233E-4	3.678023E-10	2.374219E+1
1.000000E-1	8.894128E-4	8.894128E-4	8.623990E-10	2.411035E+1
1.500000E-1	1.430356E-3	1.430356E-3	1.386912E-9	2.522559E+1
2.000000E-1	2.053466E-3	2.053466E-3	1.991097E-9	2.559375E+1
2.500000E-1	2.870405E-3	2.870405E-3	2.783223E-9	2.596191E+1
3.000000E-1	4.124157E-3	4.124157E-3	3.998895E-9	2.632910E+1
3.500000E-1	5.278422E-3	5.278422E-3	5.118103E-9	2.669727E+1
4.000000E-1	5.836777E-3	5.836777E-3	5.659499E-9	2.706543E+1
4.500000E-1	7.111416E-3	7.111416E-3	6.895424E-9	2.743262E+1
5.000000E-1	8.276017E-3	8.276017E-3	8.024653E-9	2.780078E+1
5.000000E-1	9.566036E-3	9.566036E-3	9.275491E-9	2.816895E+1
4.500000E-1	8.477688E-3	8.477688E-3	8.220198E-9	2.853613E+1
4.000000E-1	7.573504E-3	7.573504E-3	7.343477E-9	2.890430E+1
3.500000E-1	5.727158E-3	5.727158E-3	5.553209E-9	2.927246E+1
