voltage_2_1_1	absJ_2_1_1	J_2_1_1	current_2_1_1	time_2_1_1	
0.000000E+0	1.167914E-6	-1.167914E-6	-1.132441E-12	0.000000E+0
5.000000E-2	1.022930E-4	1.022930E-4	9.918612E-11	7.031250E-1
1.000000E-1	2.224556E-4	2.224556E-4	2.156990E-10	1.818359E+0
1.500000E-1	3.564159E-4	3.564159E-4	3.455906E-10	2.186523E+0
2.000000E-1	5.082406E-4	5.082406E-4	4.928040E-10	2.555664E+0
2.500000E-1	6.790111E-4	6.790111E-4	6.583878E-10	2.923828E+0
3.000000E-1	8.712181E-4	8.712181E-4	8.447569E-10	3.291992E+0
3.500000E-1	1.076508E-3	1.076508E-3	1.043812E-9	3.660156E+0
4.000000E-1	1.333885E-3	1.333885E-3	1.293371E-9	4.775391E+0
4.500000E-1	1.616990E-3	1.616990E-3	1.567878E-9	5.143555E+0
5.000000E-1	1.939409E-3	1.939409E-3	1.880504E-9	5.510742E+0
5.000000E-1	1.939734E-3	1.939734E-3	1.880819E-9	5.878906E+0
4.500000E-1	1.624612E-3	1.624612E-3	1.575268E-9	6.247070E+0
4.000000E-1	1.347807E-3	1.347807E-3	1.306871E-9	6.615234E+0
3.500000E-1	1.098703E-3	1.098703E-3	1.065332E-9	6.982422E+0
3.000000E-1	8.813381E-4	8.813381E-4	8.545696E-10	7.723633E+0
2.500000E-1	6.883389E-4	6.883389E-4	6.674323E-10	8.091797E+0
2.000000E-1	5.180155E-4	5.180155E-4	5.022820E-10	8.460938E+0
1.500000E-1	3.656165E-4	3.656165E-4	3.545118E-10	8.829102E+0
1.000000E-1	2.291808E-4	2.291808E-4	2.222200E-10	9.197266E+0
5.000000E-2	1.081343E-4	1.081343E-4	1.048500E-10	9.565430E+0
0.000000E+0	1.131217E-6	-1.131217E-6	-1.096859E-12	1.074023E+1
-5.000000E-2	1.001304E-4	-1.001304E-4	-9.708917E-11	1.144434E+1
-1.000000E-1	2.032507E-4	-2.032507E-4	-1.970774E-10	1.255957E+1
-1.500000E-1	3.044754E-4	-3.044754E-4	-2.952277E-10	1.292773E+1
-2.000000E-1	4.027709E-4	-4.027709E-4	-3.905377E-10	1.329590E+1
-2.500000E-1	5.056712E-4	-5.056712E-4	-4.903127E-10	1.366504E+1
-3.000000E-1	5.990233E-4	-5.990233E-4	-5.808294E-10	1.403320E+1
-3.500000E-1	6.975011E-4	-6.975011E-4	-6.763161E-10	1.440137E+1
-4.000000E-1	8.017720E-4	-8.017720E-4	-7.774201E-10	1.476953E+1
-4.500000E-1	9.041002E-4	-9.041002E-4	-8.766403E-10	1.513867E+1
-5.000000E-1	1.015486E-3	-1.015486E-3	-9.846428E-10	1.550684E+1
-5.000000E-1	1.005519E-3	-1.005519E-3	-9.749788E-10	1.587500E+1
-4.500000E-1	8.974526E-4	-8.974526E-4	-8.701946E-10	1.624316E+1
-4.000000E-1	7.958236E-4	-7.958236E-4	-7.716523E-10	1.661230E+1
-3.500000E-1	6.915869E-4	-6.915869E-4	-6.705816E-10	1.698047E+1
-3.000000E-1	5.916639E-4	-5.916639E-4	-5.736935E-10	1.734863E+1
-2.500000E-1	4.939311E-4	-4.939311E-4	-4.789291E-10	1.771680E+1
-2.000000E-1	3.964071E-4	-3.964071E-4	-3.843672E-10	1.808496E+1
-1.500000E-1	2.990318E-4	-2.990318E-4	-2.899494E-10	1.845410E+1
-1.000000E-1	2.009800E-4	-2.009800E-4	-1.948757E-10	1.882227E+1
-5.000000E-2	1.011064E-4	-1.011064E-4	-9.803557E-11	1.999707E+1
0.000000E+0	2.253517E-6	-2.253517E-6	-2.185072E-12	2.070020E+1
