voltage_19_3_20	absJ_19_3_20	J_19_3_20	current_19_3_20	time_19_3_20	
0.000000E+0	4.777836E-8	4.777836E-8	2.840644E-13	0.000000E+0
5.000000E-2	1.190726E-5	1.190726E-5	7.079416E-11	6.142578E-1
1.000000E-1	4.398392E-5	4.398392E-5	2.615047E-10	1.287109E+0
1.500000E-1	7.940325E-5	7.940325E-5	4.720890E-10	1.559570E+0
2.000000E-1	1.337510E-4	1.337510E-4	7.952115E-10	1.831055E+0
2.500000E-1	2.125510E-4	2.125510E-4	1.263714E-9	2.503906E+0
3.000000E-1	2.997843E-4	2.997843E-4	1.782356E-9	2.622070E+0
3.500000E-1	4.072580E-4	4.072580E-4	2.421337E-9	2.739258E+0
4.000000E-1	5.514029E-4	5.514029E-4	3.278345E-9	2.857422E+0
4.500000E-1	6.804902E-4	6.804902E-4	4.045828E-9	2.975586E+0
5.000000E-1	8.852976E-4	8.852976E-4	5.263503E-9	3.093750E+0
5.000000E-1	8.192474E-4	8.192474E-4	4.870804E-9	3.211914E+0
4.500000E-1	6.534196E-4	6.534196E-4	3.884881E-9	3.329102E+0
4.000000E-1	5.257427E-4	5.257427E-4	3.125783E-9	3.447266E+0
3.500000E-1	4.026106E-4	4.026106E-4	2.393706E-9	3.565430E+0
3.000000E-1	2.906659E-4	2.906659E-4	1.728143E-9	3.683594E+0
2.500000E-1	2.039418E-4	2.039418E-4	1.212528E-9	3.801758E+0
2.000000E-1	1.359788E-4	1.359788E-4	8.084569E-10	4.042969E+0
1.500000E-1	8.262430E-5	8.262430E-5	4.912396E-10	4.314453E+0
1.000000E-1	4.771372E-5	4.771372E-5	2.836801E-10	4.586914E+0
5.000000E-2	1.849402E-5	1.849402E-5	1.099555E-10	4.859375E+0
0.000000E+0	4.184955E-8	-4.184955E-8	-2.488149E-13	5.848633E+0
-5.000000E-2	1.245549E-5	-1.245549E-5	-7.405361E-11	6.463867E+0
-1.000000E-1	4.329580E-5	-4.329580E-5	-2.574135E-10	7.478516E+0
-1.500000E-1	7.998021E-5	-7.998021E-5	-4.755193E-10	7.750977E+0
-2.000000E-1	1.259147E-4	-1.259147E-4	-7.486211E-10	8.022461E+0
-2.500000E-1	1.512879E-4	-1.512879E-4	-8.994762E-10	8.294922E+0
-3.000000E-1	1.603093E-4	-1.603093E-4	-9.531126E-10	8.567383E+0
-3.500000E-1	3.184668E-4	-3.184668E-4	-1.893432E-9	9.240234E+0
-4.000000E-1	4.004734E-4	-4.004734E-4	-2.380999E-9	9.358398E+0
-4.500000E-1	5.062803E-4	-5.062803E-4	-3.010070E-9	9.476563E+0
-5.000000E-1	6.037372E-4	-6.037372E-4	-3.589496E-9	9.593750E+0
-5.000000E-1	6.009020E-4	-6.009020E-4	-3.572640E-9	9.711914E+0
-4.500000E-1	4.989387E-4	-4.989387E-4	-2.966421E-9	9.830078E+0
-4.000000E-1	3.996204E-4	-3.996204E-4	-2.375928E-9	9.948242E+0
-3.500000E-1	3.130277E-4	-3.130277E-4	-1.861094E-9	1.006641E+1
-3.000000E-1	2.369311E-4	-2.369311E-4	-1.408665E-9	1.018359E+1
-2.500000E-1	1.802768E-4	-1.802768E-4	-1.071829E-9	1.030176E+1
-2.000000E-1	1.115685E-4	-1.115685E-4	-6.633262E-10	1.054297E+1
-1.500000E-1	7.290151E-5	-7.290151E-5	-4.334331E-10	1.081543E+1
-1.000000E-1	4.463596E-5	-4.463596E-5	-2.653814E-10	1.108789E+1
-5.000000E-2	1.939442E-5	-1.939442E-5	-1.153088E-10	1.136035E+1
0.000000E+0	1.004888E-7	1.004888E-7	5.974526E-13	1.234961E+1
0.000000E+0	1.673608E-9	1.673608E-9	9.950374E-15	1.296387E+1
5.000000E-2	1.352374E-5	1.352374E-5	8.040488E-11	1.357813E+1
1.000000E-1	4.715200E-5	4.715200E-5	2.803404E-10	1.425098E+1
1.500000E-1	8.396678E-5	8.396678E-5	4.992213E-10	1.452344E+1
2.000000E-1	1.344526E-4	1.344526E-4	7.993829E-10	1.479492E+1
2.500000E-1	2.174733E-4	2.174733E-4	1.292979E-9	1.546777E+1
3.000000E-1	2.908881E-4	2.908881E-4	1.729464E-9	1.558594E+1
3.500000E-1	4.057357E-4	4.057357E-4	2.412286E-9	1.570313E+1
4.000000E-1	5.188154E-4	5.188154E-4	3.084597E-9	1.582129E+1
4.500000E-1	6.195142E-4	6.195142E-4	3.683298E-9	1.593945E+1
5.000000E-1	7.712017E-4	7.712017E-4	4.585150E-9	1.605762E+1
5.000000E-1	7.542659E-4	7.542659E-4	4.484459E-9	1.617578E+1
4.500000E-1	6.195391E-4	6.195391E-4	3.683446E-9	1.629297E+1
4.000000E-1	4.864240E-4	4.864240E-4	2.892015E-9	1.641113E+1
3.500000E-1	3.579061E-4	3.579061E-4	2.127917E-9	1.652930E+1
3.000000E-1	2.863292E-4	2.863292E-4	1.702359E-9	1.664746E+1
2.500000E-1	1.987955E-4	1.987955E-4	1.181931E-9	1.676563E+1
2.000000E-1	1.285316E-4	1.285316E-4	7.641796E-10	1.700684E+1
1.500000E-1	8.737296E-5	8.737296E-5	5.194726E-10	1.727930E+1
1.000000E-1	4.691795E-5	4.691795E-5	2.789489E-10	1.755078E+1
5.000000E-2	2.015248E-5	2.015248E-5	1.198158E-10	1.782324E+1
0.000000E+0	5.274083E-8	-5.274083E-8	-3.135686E-13	1.881250E+1
-5.000000E-2	1.271333E-5	-1.271333E-5	-7.558662E-11	1.942773E+1
-1.000000E-1	4.561049E-5	-4.561049E-5	-2.711754E-10	2.027148E+1
-1.500000E-1	8.290185E-5	-8.290185E-5	-4.928898E-10	2.054395E+1
-2.000000E-1	1.338035E-4	-1.338035E-4	-7.955233E-10	2.081543E+1
-2.500000E-1	1.879102E-4	-1.879102E-4	-1.117213E-9	2.148828E+1
-3.000000E-1	2.567816E-4	-2.567816E-4	-1.526685E-9	2.160645E+1
-3.500000E-1	3.307294E-4	-3.307294E-4	-1.966339E-9	2.172461E+1
-4.000000E-1	4.247758E-4	-4.247758E-4	-2.525488E-9	2.184277E+1
-4.500000E-1	5.011502E-4	-5.011502E-4	-2.979569E-9	2.195996E+1
-5.000000E-1	6.290190E-4	-6.290190E-4	-3.739808E-9	2.207813E+1
-5.000000E-1	6.414151E-4	-6.414151E-4	-3.813509E-9	2.219629E+1
-4.500000E-1	5.085580E-4	-5.085580E-4	-3.023612E-9	2.231445E+1
-4.000000E-1	4.216784E-4	-4.216784E-4	-2.507073E-9	2.243262E+1
