voltage_17_2	absJ_17_2	J_17_2	current_17_2	time_17_2	
0.000000E+0	1.273978E-8	1.273978E-8	1.183498E-13	0.000000E+0
5.000000E-2	2.409772E-8	2.409772E-8	2.238626E-13	6.035156E-1
1.000000E-1	3.500900E-8	3.500900E-8	3.252260E-13	1.207031E+0
1.500000E-1	5.102036E-8	5.102036E-8	4.739681E-13	1.809570E+0
2.000000E-1	7.538996E-8	7.538996E-8	7.003564E-13	2.413086E+0
2.500000E-1	1.314521E-7	1.314521E-7	1.221162E-12	3.016602E+0
3.000000E-1	1.933046E-7	1.933046E-7	1.795758E-12	3.620117E+0
3.500000E-1	2.711475E-7	2.711475E-7	2.518902E-12	4.223633E+0
4.000000E-1	4.265524E-7	4.265524E-7	3.962580E-12	4.827148E+0
4.500000E-1	5.714092E-7	5.714092E-7	5.308268E-12	5.429688E+0
5.000000E-1	7.962958E-7	7.962958E-7	7.397416E-12	6.033203E+0
5.000000E-1	8.137966E-7	8.137966E-7	7.559994E-12	6.636719E+0
4.500000E-1	5.903709E-7	5.903709E-7	5.484418E-12	7.240234E+0
4.000000E-1	3.959011E-7	3.959011E-7	3.677836E-12	7.842773E+0
3.500000E-1	2.525562E-7	2.525562E-7	2.346193E-12	8.446289E+0
3.000000E-1	1.661534E-7	1.661534E-7	1.543529E-12	9.049805E+0
2.500000E-1	1.064790E-7	1.064790E-7	9.891671E-13	9.653320E+0
2.000000E-1	6.303112E-8	6.303112E-8	5.855455E-13	1.025586E+1
1.500000E-1	3.451899E-8	3.451899E-8	3.206740E-13	1.085938E+1
1.000000E-1	1.851810E-8	1.851810E-8	1.720291E-13	1.146289E+1
5.000000E-2	7.557520E-9	7.557520E-9	7.020773E-14	1.206641E+1
0.000000E+0	7.618769E-11	-7.618769E-11	-7.077672E-16	1.266992E+1
-5.000000E-2	6.773235E-9	-6.773235E-9	-6.292189E-14	1.327344E+1
-1.000000E-1	1.691666E-8	-1.691666E-8	-1.571521E-13	1.387695E+1
-1.500000E-1	3.033166E-8	-3.033166E-8	-2.817746E-13	1.447949E+1
-2.000000E-1	5.133706E-8	-5.133706E-8	-4.769102E-13	1.508301E+1
-2.500000E-1	8.323281E-8	-8.323281E-8	-7.732148E-13	1.568652E+1
-3.000000E-1	1.254841E-7	-1.254841E-7	-1.165720E-12	1.629004E+1
-3.500000E-1	1.844638E-7	-1.844638E-7	-1.713629E-12	1.689355E+1
-4.000000E-1	2.678789E-7	-2.678789E-7	-2.488537E-12	1.749609E+1
-4.500000E-1	3.913045E-7	-3.913045E-7	-3.635134E-12	1.809961E+1
-5.000000E-1	5.610611E-7	-5.610611E-7	-5.212136E-12	1.870313E+1
-5.000000E-1	5.510028E-7	-5.510028E-7	-5.118697E-12	1.930664E+1
-4.500000E-1	3.863970E-7	-3.863970E-7	-3.589545E-12	1.990918E+1
-4.000000E-1	2.696313E-7	-2.696313E-7	-2.504816E-12	2.051270E+1
-3.500000E-1	1.837110E-7	-1.837110E-7	-1.706635E-12	2.111621E+1
-3.000000E-1	1.209786E-7	-1.209786E-7	-1.123865E-12	2.171973E+1
-2.500000E-1	6.662390E-8	-6.662390E-8	-6.189216E-13	2.232324E+1
-2.000000E-1	3.129222E-8	-3.129222E-8	-2.906980E-13	2.292578E+1
-1.500000E-1	8.836278E-9	-8.836278E-9	-8.208711E-14	2.352930E+1
-1.000000E-1	5.654322E-9	5.654322E-9	5.252743E-14	2.413281E+1
-5.000000E-2	1.436959E-8	1.436959E-8	1.334904E-13	2.473633E+1
0.000000E+0	1.995968E-8	1.995968E-8	1.854211E-13	2.533984E+1
