voltage_3_1_500mv_500ms	absJ_3_1_500mv_500ms	J_3_1_500mv_500ms	current_3_1_500mv_500ms	time_3_1_500mv_500ms	
0.000000E+0	3.270070E-8	-3.270070E-8	-8.117118E-14	0.000000E+0
5.000000E-2	2.465501E-6	2.465501E-6	6.119980E-12	7.031250E-1
1.000000E-1	6.242939E-6	6.242939E-6	1.549651E-11	1.406250E+0
1.500000E-1	1.108222E-5	1.108222E-5	2.750879E-11	2.109375E+0
2.000000E-1	1.811311E-5	1.811311E-5	4.496120E-11	2.812500E+0
2.500000E-1	2.781511E-5	2.781511E-5	6.904396E-11	3.515625E+0
3.000000E-1	7.336602E-5	7.336602E-5	1.821125E-10	4.964844E+0
3.500000E-1	8.574041E-5	8.574041E-5	2.128288E-10	5.333008E+0
4.000000E-1	2.894060E-4	2.894060E-4	7.183768E-10	5.702148E+0
4.500000E-1	3.093095E-4	3.093095E-4	7.677823E-10	6.070313E+0
5.000000E-1	4.962373E-4	4.962373E-4	1.231783E-9	7.184570E+0
5.000000E-1	6.845885E-4	6.845885E-4	1.699317E-9	7.552734E+0
4.500000E-1	4.395704E-4	4.395704E-4	1.091122E-9	7.920898E+0
4.000000E-1	2.057896E-4	2.057896E-4	5.108204E-10	8.662109E+0
3.500000E-1	1.918223E-4	1.918223E-4	4.761502E-10	9.030273E+0
3.000000E-1	9.811735E-5	9.811735E-5	2.435514E-10	9.398438E+0
2.500000E-1	7.166002E-5	7.166002E-5	1.778778E-10	9.767578E+0
2.000000E-1	4.110128E-5	4.110128E-5	1.020235E-10	1.013574E+1
1.500000E-1	5.687401E-5	5.687401E-5	1.411753E-10	1.050391E+1
1.000000E-1	9.573854E-6	9.573854E-6	2.376466E-11	1.209082E+1
5.000000E-2	1.967774E-5	1.967774E-5	4.884498E-11	1.326563E+1
0.000000E+0	2.104049E-7	-2.104049E-7	-5.222767E-13	1.396875E+1
-5.000000E-2	2.167068E-5	-2.167068E-5	-5.379196E-11	1.467188E+1
-1.000000E-1	9.491287E-6	-9.491287E-6	-2.355971E-11	1.612109E+1
-1.500000E-1	1.770098E-5	-1.770098E-5	-4.393819E-11	1.729590E+1
-2.000000E-1	3.326874E-5	-3.326874E-5	-8.258119E-11	1.799902E+1
-2.500000E-1	5.973574E-5	-5.973574E-5	-1.482788E-10	1.911426E+1
-3.000000E-1	1.000335E-4	-1.000335E-4	-2.483078E-10	1.948242E+1
-3.500000E-1	2.067202E-4	-2.067202E-4	-5.131303E-10	1.985156E+1
-4.000000E-1	2.806458E-4	-2.806458E-4	-6.966320E-10	2.021973E+1
-4.500000E-1	2.381052E-4	-2.381052E-4	-5.910357E-10	2.133496E+1
-5.000000E-1	3.055988E-4	-3.055988E-4	-7.585715E-10	2.207520E+1
-5.000000E-1	4.112836E-4	-4.112836E-4	-1.020907E-9	2.244336E+1
-4.500000E-1	4.161034E-4	-4.161034E-4	-1.032871E-9	2.281250E+1
-4.000000E-1	3.139960E-4	-3.139960E-4	-7.794153E-10	2.318066E+1
-3.500000E-1	2.549669E-4	-2.549669E-4	-6.328907E-10	2.354883E+1
-3.000000E-1	1.994157E-4	-1.994157E-4	-4.949989E-10	2.391699E+1
-2.500000E-1	1.537459E-4	-1.537459E-4	-3.816351E-10	2.428613E+1
-2.000000E-1	1.124028E-4	-1.124028E-4	-2.790113E-10	2.465430E+1
-1.500000E-1	2.468234E-5	-2.468234E-5	-6.126763E-11	2.582910E+1
-1.000000E-1	1.162187E-5	-1.162187E-5	-2.884835E-11	2.653223E+1
-5.000000E-2	7.555850E-6	-7.555850E-6	-1.875548E-11	2.723535E+1
0.000000E+0	6.608350E-9	-6.608350E-9	-1.640355E-14	2.793848E+1
