voltage_spot_7_run_1	absJ_spot_7_run_1	J_spot_7_run_1	current_spot_7_run_1	time_spot_7_run_1	
0.000000E+0	2.397979E-5	-2.397979E-5	-1.339284E-10	0.000000E+0
5.000000E-2	8.730812E-3	8.730812E-3	4.876205E-8	1.115234E+0
1.000000E-1	1.874016E-2	1.874016E-2	1.046648E-7	2.234375E+0
1.500000E-1	4.646218E-2	4.646218E-2	2.594938E-7	2.602539E+0
2.000000E-1	1.011806E-1	1.011806E-1	5.650990E-7	2.970703E+0
2.500000E-1	1.386597E-1	1.386597E-1	7.744219E-7	3.337891E+0
3.000000E-1	2.393472E-1	2.393472E-1	1.336767E-6	4.464844E+0
3.500000E-1	2.808240E-1	2.808240E-1	1.568417E-6	4.833008E+0
4.000000E-1	3.123526E-1	3.123526E-1	1.744506E-6	5.201172E+0
4.500000E-1	3.877931E-1	3.877931E-1	2.165845E-6	5.568359E+0
5.000000E-1	5.133798E-1	5.133798E-1	2.867254E-6	5.936523E+0
5.000000E-1	5.612278E-1	5.612278E-1	3.134487E-6	6.304688E+0
4.500000E-1	4.477380E-1	4.477380E-1	2.500641E-6	6.671875E+0
4.000000E-1	3.416216E-1	3.416216E-1	1.907975E-6	7.040039E+0
3.500000E-1	2.678562E-1	2.678562E-1	1.495991E-6	7.407227E+0
3.000000E-1	1.891053E-1	1.891053E-1	1.056163E-6	7.775391E+0
2.500000E-1	1.339946E-1	1.339946E-1	7.483670E-7	8.516602E+0
2.000000E-1	7.997053E-2	7.997053E-2	4.466397E-7	8.884766E+0
1.500000E-1	4.621139E-2	4.621139E-2	2.580931E-7	9.251953E+0
1.000000E-1	2.396511E-2	2.396511E-2	1.338464E-7	9.620117E+0
5.000000E-2	2.067735E-2	2.067735E-2	1.154841E-7	1.111328E+1
0.000000E+0	3.139794E-5	-3.139794E-5	-1.753592E-10	1.185449E+1
-5.000000E-2	8.502190E-4	-8.502190E-4	-4.748519E-9	1.334277E+1
-1.000000E-1	1.799571E-3	-1.799571E-3	-1.005070E-8	1.445703E+1
-1.500000E-1	3.220882E-3	-3.220882E-3	-1.798880E-8	1.482422E+1
-2.000000E-1	5.414811E-3	-5.414811E-3	-3.024201E-8	1.519238E+1
-2.500000E-1	7.854021E-3	-7.854021E-3	-4.386513E-8	1.555957E+1
-3.000000E-1	1.173638E-2	-1.173638E-2	-6.554829E-8	1.592773E+1
-3.500000E-1	1.444251E-2	-1.444251E-2	-8.066222E-8	1.629590E+1
-4.000000E-1	1.518410E-2	-1.518410E-2	-8.480401E-8	1.778320E+1
-4.500000E-1	1.825026E-2	-1.825026E-2	-1.019287E-7	1.815039E+1
-5.000000E-1	2.464411E-2	-2.464411E-2	-1.376387E-7	1.851855E+1
-5.000000E-1	2.277162E-2	-2.277162E-2	-1.271807E-7	1.888574E+1
-4.500000E-1	1.919326E-2	-1.919326E-2	-1.071954E-7	1.925391E+1
-4.000000E-1	1.498316E-2	-1.498316E-2	-8.368174E-8	1.999512E+1
-3.500000E-1	1.340007E-2	-1.340007E-2	-7.484009E-8	2.036230E+1
-3.000000E-1	1.149120E-2	-1.149120E-2	-6.417898E-8	2.073047E+1
-2.500000E-1	8.799631E-3	-8.799631E-3	-4.914641E-8	2.109863E+1
-2.000000E-1	7.050702E-3	-7.050702E-3	-3.937855E-8	2.146582E+1
-1.500000E-1	5.090225E-3	-5.090225E-3	-2.842918E-8	2.183398E+1
-1.000000E-1	2.592312E-3	-2.592312E-3	-1.447820E-8	2.220117E+1
-5.000000E-2	1.110867E-3	-1.110867E-3	-6.204252E-9	2.294238E+1
0.000000E+0	3.518086E-6	-3.518086E-6	-1.964870E-11	2.411621E+1
