voltage_spot_1_scan_1	absJ_spot_1_scan_1	J_spot_1_scan_1	current_spot_1_scan_1	time_spot_1_scan_1	
0.000000E+0	5.915456E-6	-5.915456E-6	-2.294315E-11	0.000000E+0
5.000000E-2	1.195019E-2	1.195019E-2	4.634892E-8	7.412109E-1
1.000000E-1	2.514963E-2	2.514963E-2	9.754307E-8	1.109375E+0
1.500000E-1	3.986686E-2	3.986686E-2	1.546240E-7	2.229492E+0
2.000000E-1	5.602351E-2	5.602351E-2	2.172877E-7	2.596680E+0
2.500000E-1	7.419588E-2	7.419588E-2	2.877694E-7	2.964844E+0
3.000000E-1	9.474887E-2	9.474887E-2	3.674844E-7	3.333008E+0
3.500000E-1	1.180622E-1	1.180622E-1	4.579053E-7	3.700195E+0
4.000000E-1	1.444753E-1	1.444753E-1	5.603490E-7	4.068359E+0
4.500000E-1	1.720260E-1	1.720260E-1	6.672043E-7	4.436523E+0
5.000000E-1	2.034852E-1	2.034852E-1	7.892191E-7	4.803711E+0
5.000000E-1	2.024797E-1	2.024797E-1	7.853195E-7	5.171875E+0
4.500000E-1	1.705533E-1	1.705533E-1	6.614926E-7	5.539063E+0
4.000000E-1	1.419935E-1	1.419935E-1	5.507231E-7	5.907227E+0
3.500000E-1	1.168464E-1	1.168464E-1	4.531898E-7	6.275391E+0
3.000000E-1	9.375274E-2	9.375274E-2	3.636209E-7	6.642578E+0
2.500000E-1	7.436790E-2	7.436790E-2	2.884366E-7	7.010742E+0
2.000000E-1	5.578042E-2	5.578042E-2	2.163449E-7	7.378906E+0
1.500000E-1	3.953393E-2	3.953393E-2	1.533327E-7	7.746094E+0
1.000000E-1	2.491269E-2	2.491269E-2	9.662410E-8	8.487305E+0
5.000000E-2	1.181706E-2	1.181706E-2	4.583257E-8	8.855469E+0
0.000000E+0	5.390491E-6	-5.390491E-6	-2.090707E-11	1.002930E+1
-5.000000E-2	1.117471E-2	-1.117471E-2	-4.334120E-8	1.077148E+1
-1.000000E-1	2.197818E-2	-2.197818E-2	-8.524259E-8	1.113965E+1
-1.500000E-1	3.304739E-2	-3.304739E-2	-1.281746E-7	1.225977E+1
-2.000000E-1	4.403411E-2	-4.403411E-2	-1.707867E-7	1.262695E+1
-2.500000E-1	5.476606E-2	-5.476606E-2	-2.124107E-7	1.299512E+1
-3.000000E-1	6.618862E-2	-6.618862E-2	-2.567132E-7	1.336328E+1
-3.500000E-1	7.670808E-2	-7.670808E-2	-2.975130E-7	1.373047E+1
-4.000000E-1	8.810313E-2	-8.810313E-2	-3.417088E-7	1.409863E+1
-4.500000E-1	9.978442E-2	-9.978442E-2	-3.870148E-7	1.446680E+1
-5.000000E-1	1.125130E-1	-1.125130E-1	-4.363826E-7	1.483398E+1
-5.000000E-1	1.122330E-1	-1.122330E-1	-4.352966E-7	1.520215E+1
-4.500000E-1	1.006364E-1	-1.006364E-1	-3.903191E-7	1.556934E+1
-4.000000E-1	8.760577E-2	-8.760577E-2	-3.397798E-7	1.593750E+1
-3.500000E-1	7.633438E-2	-7.633438E-2	-2.960636E-7	1.630566E+1
-3.000000E-1	6.631349E-2	-6.631349E-2	-2.571975E-7	1.667285E+1
-2.500000E-1	5.535387E-2	-5.535387E-2	-2.146905E-7	1.704102E+1
-2.000000E-1	4.409993E-2	-4.409993E-2	-1.710420E-7	1.740820E+1
-1.500000E-1	3.297393E-2	-3.297393E-2	-1.278897E-7	1.777637E+1
-1.000000E-1	2.216475E-2	-2.216475E-2	-8.596621E-8	1.851758E+1
-5.000000E-2	1.128478E-2	-1.128478E-2	-4.376814E-8	1.888574E+1
0.000000E+0	4.637818E-6	-4.637818E-6	-1.798782E-11	2.005957E+1
0.000000E+0	4.374784E-6	-4.374784E-6	-1.696764E-11	2.076367E+1
5.000000E-2	1.197596E-2	1.197596E-2	4.644889E-8	2.150488E+1
1.000000E-1	2.517266E-2	2.517266E-2	9.763238E-8	2.187305E+1
1.500000E-1	3.992456E-2	3.992456E-2	1.548478E-7	2.299316E+1
2.000000E-1	5.625754E-2	5.625754E-2	2.181954E-7	2.336035E+1
2.500000E-1	7.448678E-2	7.448678E-2	2.888977E-7	2.372852E+1
3.000000E-1	9.588645E-2	9.588645E-2	3.718965E-7	2.409668E+1
3.500000E-1	1.179234E-1	1.179234E-1	4.573669E-7	2.446387E+1
4.000000E-1	1.424409E-1	1.424409E-1	5.524585E-7	2.483203E+1
4.500000E-1	1.688282E-1	1.688282E-1	6.548019E-7	2.519922E+1
5.000000E-1	2.006295E-1	2.006295E-1	7.781433E-7	2.556738E+1
5.000000E-1	2.007423E-1	2.007423E-1	7.785810E-7	2.593555E+1
4.500000E-1	1.685450E-1	1.685450E-1	6.537034E-7	2.630273E+1
4.000000E-1	1.414880E-1	1.414880E-1	5.487624E-7	2.667090E+1
3.500000E-1	1.154283E-1	1.154283E-1	4.476896E-7	2.703906E+1
3.000000E-1	9.403398E-2	9.403398E-2	3.647117E-7	2.740625E+1
2.500000E-1	7.433931E-2	7.433931E-2	2.883257E-7	2.777441E+1
2.000000E-1	5.577264E-2	5.577264E-2	2.163147E-7	2.814258E+1
1.500000E-1	3.950752E-2	3.950752E-2	1.532303E-7	2.850977E+1
1.000000E-1	2.489032E-2	2.489032E-2	9.653735E-8	2.925098E+1
5.000000E-2	1.184410E-2	1.184410E-2	4.593745E-8	2.961914E+1
0.000000E+0	5.693625E-6	-5.693625E-6	-2.208278E-11	3.079297E+1
-5.000000E-2	1.128312E-2	-1.128312E-2	-4.376170E-8	3.153516E+1
-1.000000E-1	2.236049E-2	-2.236049E-2	-8.672538E-8	3.190332E+1
-1.500000E-1	3.282459E-2	-3.282459E-2	-1.273105E-7	3.302246E+1
-2.000000E-1	4.377605E-2	-4.377605E-2	-1.697858E-7	3.339062E+1
-2.500000E-1	5.512950E-2	-5.512950E-2	-2.138203E-7	3.375879E+1
-3.000000E-1	6.619249E-2	-6.619249E-2	-2.567282E-7	3.412598E+1
-3.500000E-1	7.786855E-2	-7.786855E-2	-3.020139E-7	3.449414E+1
-4.000000E-1	8.823650E-2	-8.823650E-2	-3.422261E-7	3.486133E+1
-4.500000E-1	1.008358E-1	-1.008358E-1	-3.910927E-7	3.522949E+1
-5.000000E-1	1.123311E-1	-1.123311E-1	-4.356774E-7	3.559766E+1
-5.000000E-1	1.128601E-1	-1.128601E-1	-4.377291E-7	3.596484E+1
-4.500000E-1	1.000545E-1	-1.000545E-1	-3.880625E-7	3.633301E+1
-4.000000E-1	8.843243E-2	-8.843243E-2	-3.429860E-7	3.670020E+1
-3.500000E-1	7.660214E-2	-7.660214E-2	-2.971021E-7	3.706836E+1
-3.000000E-1	6.574735E-2	-6.574735E-2	-2.550017E-7	3.743652E+1
-2.500000E-1	5.447954E-2	-5.447954E-2	-2.112994E-7	3.780371E+1
-2.000000E-1	4.336119E-2	-4.336119E-2	-1.681768E-7	3.817188E+1
