voltage_spot_17_scan_1	absJ_spot_17_scan_1	J_spot_17_scan_1	current_spot_17_scan_1	time_spot_17_scan_1	
0.000000E+0	3.617232E-7	-3.617232E-7	-1.402947E-12	0.000000E+0
5.000000E-2	2.437867E-4	2.437867E-4	9.455291E-10	1.115234E+0
1.000000E-1	5.970471E-4	5.970471E-4	2.315653E-9	2.229492E+0
1.500000E-1	1.167239E-3	1.167239E-3	4.527146E-9	2.597656E+0
2.000000E-1	2.068928E-3	2.068928E-3	8.024355E-9	2.965820E+0
2.500000E-1	3.264411E-3	3.264411E-3	1.266105E-8	4.080078E+0
3.000000E-1	4.869247E-3	4.869247E-3	1.888542E-8	4.447266E+0
3.500000E-1	7.500742E-3	7.500742E-3	2.909170E-8	4.815430E+0
4.000000E-1	1.070876E-2	1.070876E-2	4.153403E-8	5.183594E+0
4.500000E-1	1.526934E-2	1.526934E-2	5.922227E-8	5.550781E+0
5.000000E-1	2.142706E-2	2.142706E-2	8.310506E-8	5.918945E+0
5.000000E-1	2.170965E-2	2.170965E-2	8.420108E-8	6.286133E+0
4.500000E-1	1.583955E-2	1.583955E-2	6.143385E-8	6.654297E+0
4.000000E-1	1.049917E-2	1.049917E-2	4.072112E-8	7.022461E+0
3.500000E-1	7.326500E-3	7.326500E-3	2.841590E-8	7.389648E+0
3.000000E-1	4.754117E-3	4.754117E-3	1.843889E-8	7.757813E+0
2.500000E-1	3.098164E-3	3.098164E-3	1.201626E-8	8.125977E+0
2.000000E-1	1.826038E-3	1.826038E-3	7.082305E-9	8.867188E+0
1.500000E-1	1.096579E-3	1.096579E-3	4.253092E-9	9.234375E+0
1.000000E-1	5.307769E-4	5.307769E-4	2.058623E-9	9.602539E+0
5.000000E-2	2.219954E-4	2.219954E-4	8.610112E-10	1.034375E+1
0.000000E+0	4.328243E-7	-4.328243E-7	-1.678713E-12	1.151758E+1
-5.000000E-2	2.202094E-4	-2.202094E-4	-8.540844E-10	1.263379E+1
-1.000000E-1	4.703346E-4	-4.703346E-4	-1.824197E-9	1.374805E+1
-1.500000E-1	9.768622E-4	-9.768622E-4	-3.788769E-9	1.411621E+1
-2.000000E-1	1.707810E-3	-1.707810E-3	-6.623757E-9	1.448340E+1
-2.500000E-1	2.822339E-3	-2.822339E-3	-1.094647E-8	1.559766E+1
-3.000000E-1	4.296937E-3	-4.296937E-3	-1.666571E-8	1.596582E+1
-3.500000E-1	6.548307E-3	-6.548307E-3	-2.539767E-8	1.633301E+1
-4.000000E-1	9.701500E-3	-9.701500E-3	-3.762736E-8	1.670117E+1
-4.500000E-1	1.407104E-2	-1.407104E-2	-5.457467E-8	1.706934E+1
-5.000000E-1	1.975990E-2	-1.975990E-2	-7.663897E-8	1.743652E+1
-5.000000E-1	1.977978E-2	-1.977978E-2	-7.671605E-8	1.780469E+1
-4.500000E-1	1.428270E-2	-1.428270E-2	-5.539559E-8	1.817188E+1
-4.000000E-1	1.002404E-2	-1.002404E-2	-3.887833E-8	1.854004E+1
-3.500000E-1	6.777119E-3	-6.777119E-3	-2.628512E-8	1.890820E+1
-3.000000E-1	4.621064E-3	-4.621064E-3	-1.792284E-8	1.927539E+1
-2.500000E-1	3.008488E-3	-3.008488E-3	-1.166845E-8	1.964355E+1
-2.000000E-1	1.905970E-3	-1.905970E-3	-7.392321E-9	2.038477E+1
-1.500000E-1	1.106280E-3	-1.106280E-3	-4.290716E-9	2.075195E+1
-1.000000E-1	5.550699E-4	-5.550699E-4	-2.152844E-9	2.112012E+1
-5.000000E-2	2.585705E-4	-2.585705E-4	-1.002868E-9	2.186133E+1
0.000000E+0	8.475823E-7	-8.475823E-7	-3.287356E-12	2.303613E+1
