voltage_spot_5_run_3_20	absJ_spot_5_run_3_20	J_spot_5_run_3_20	current_spot_5_run_3_20	time_spot_5_run_3_20	
0.000000E+0	4.364579E-6	-4.364579E-6	-1.083396E-11	0.000000E+0
5.000000E-2	1.583301E-3	1.583301E-3	3.930142E-9	1.115234E+0
1.000000E-1	3.746549E-3	3.746549E-3	9.299856E-9	1.482422E+0
1.500000E-1	4.075490E-3	4.075490E-3	1.011637E-8	2.964844E+0
2.000000E-1	6.916780E-3	6.916780E-3	1.716915E-8	3.332031E+0
2.500000E-1	1.120001E-2	1.120001E-2	2.780119E-8	3.700195E+0
3.000000E-1	1.300015E-2	1.300015E-2	3.226957E-8	4.067383E+0
3.500000E-1	1.848671E-2	1.848671E-2	4.588856E-8	4.435547E+0
4.000000E-1	2.224722E-2	2.224722E-2	5.522308E-8	4.803711E+0
4.500000E-1	2.967918E-2	2.967918E-2	7.367103E-8	5.170898E+0
5.000000E-1	3.499239E-2	3.499239E-2	8.685973E-8	5.539063E+0
5.000000E-1	3.661891E-2	3.661891E-2	9.089715E-8	5.907227E+0
4.500000E-1	2.828111E-2	2.828111E-2	7.020068E-8	6.274414E+0
4.000000E-1	2.091634E-2	2.091634E-2	5.191951E-8	6.642578E+0
3.500000E-1	1.525125E-2	1.525125E-2	3.785735E-8	7.009766E+0
3.000000E-1	1.080515E-2	1.080515E-2	2.682103E-8	7.377930E+0
2.500000E-1	6.997759E-3	6.997759E-3	1.737016E-8	7.746094E+0
2.000000E-1	4.525543E-3	4.525543E-3	1.123351E-8	8.113281E+0
1.500000E-1	2.531910E-3	2.531910E-3	6.284823E-9	8.854492E+0
1.000000E-1	1.394935E-3	1.394935E-3	3.462571E-9	9.222656E+0
5.000000E-2	6.202044E-4	6.202044E-4	1.539500E-9	9.589844E+0
0.000000E+0	2.102964E-6	-2.102964E-6	-5.220074E-12	1.076465E+1
-5.000000E-2	6.975827E-4	-6.975827E-4	-1.731572E-9	1.187988E+1
-1.000000E-1	1.525654E-3	-1.525654E-3	-3.787049E-9	1.224805E+1
-1.500000E-1	2.726361E-3	-2.726361E-3	-6.767499E-9	1.261621E+1
-2.000000E-1	4.842300E-3	-4.842300E-3	-1.201978E-8	1.373047E+1
-2.500000E-1	7.409447E-3	-7.409447E-3	-1.839207E-8	1.409766E+1
-3.000000E-1	1.137265E-2	-1.137265E-2	-2.822972E-8	1.446582E+1
-3.500000E-1	1.682337E-2	-1.682337E-2	-4.175975E-8	1.483398E+1
-4.000000E-1	3.674955E-2	-3.674955E-2	-9.122144E-8	1.520117E+1
-4.500000E-1	2.305186E-1	-2.305186E-1	-5.722038E-7	1.632129E+1
-5.000000E-1	3.109530E-1	-3.109530E-1	-7.718618E-7	1.668945E+1
-5.000000E-1	3.418557E-1	-3.418557E-1	-8.485699E-7	1.705664E+1
-4.500000E-1	2.437175E-1	-2.437175E-1	-6.049668E-7	1.742480E+1
-4.000000E-1	1.815224E-1	-1.815224E-1	-4.505832E-7	1.779297E+1
-3.500000E-1	1.399879E-1	-1.399879E-1	-3.474843E-7	1.816016E+1
-3.000000E-1	1.016082E-1	-1.016082E-1	-2.522166E-7	1.852832E+1
-2.500000E-1	6.281698E-2	-6.281698E-2	-1.559272E-7	1.889648E+1
-2.000000E-1	2.914534E-2	-2.914534E-2	-7.234591E-8	1.963770E+1
-1.500000E-1	1.765617E-2	-1.765617E-2	-4.382697E-8	2.000488E+1
-1.000000E-1	9.504142E-3	-9.504142E-3	-2.359162E-8	2.037305E+1
-5.000000E-2	3.346838E-3	-3.346838E-3	-8.307675E-9	2.111426E+1
0.000000E+0	9.545053E-6	-9.545053E-6	-2.369317E-11	2.228809E+1
0.000000E+0	6.327765E-6	-6.327765E-6	-1.570707E-11	2.299219E+1
5.000000E-2	2.608989E-3	2.608989E-3	6.476152E-9	2.410742E+1
1.000000E-1	5.418939E-3	5.418939E-3	1.345114E-8	2.522070E+1
1.500000E-1	9.306459E-3	9.306459E-3	2.310092E-8	2.558887E+1
2.000000E-1	1.516219E-2	1.516219E-2	3.763628E-8	2.595703E+1
