voltage_spot_6_run_1	absJ_spot_6_run_1	J_spot_6_run_1	current_spot_6_run_1	time_spot_6_run_1	
0.000000E+0	7.816183E-5	-7.816183E-5	-3.031514E-10	0.000000E+0
5.000000E-2	4.708597E-2	4.708597E-2	1.826234E-7	7.412109E-1
1.000000E-1	9.498940E-2	9.498940E-2	3.684173E-7	1.109375E+0
1.500000E-1	1.469270E-1	1.469270E-1	5.698578E-7	1.477539E+0
2.000000E-1	2.021107E-1	2.021107E-1	7.838884E-7	1.844727E+0
2.500000E-1	2.585563E-1	2.585563E-1	1.002813E-6	2.212891E+0
3.000000E-1	5.832640E-2	5.832640E-2	2.262195E-7	3.339844E+0
3.500000E-1	6.896018E-2	6.896018E-2	2.674627E-7	4.081055E+0
4.000000E-1	9.244554E-2	9.244554E-2	3.585509E-7	4.448242E+0
4.500000E-1	9.900365E-2	9.900365E-2	3.839866E-7	4.816406E+0
5.000000E-1	9.996694E-2	9.996694E-2	3.877227E-7	5.184570E+0
5.000000E-1	9.024973E-2	9.024973E-2	3.500344E-7	5.551758E+0
4.500000E-1	7.068390E-2	7.068390E-2	2.741482E-7	5.919922E+0
4.000000E-1	5.304272E-2	5.304272E-2	2.057267E-7	6.287109E+0
3.500000E-1	4.099312E-2	4.099312E-2	1.589922E-7	6.655273E+0
3.000000E-1	3.080655E-2	3.080655E-2	1.194835E-7	7.023438E+0
2.500000E-1	2.292358E-2	2.292358E-2	8.890932E-8	7.763672E+0
2.000000E-1	1.566988E-2	1.566988E-2	6.077580E-8	8.131836E+0
1.500000E-1	1.033697E-2	1.033697E-2	4.009204E-8	8.500000E+0
1.000000E-1	6.098209E-3	6.098209E-3	2.365196E-8	8.867188E+0
5.000000E-2	2.695564E-3	2.695564E-3	1.045477E-8	9.235352E+0
0.000000E+0	7.248450E-6	-7.248450E-6	-2.811318E-11	1.041016E+1
-5.000000E-2	2.656603E-3	-2.656603E-3	-1.030366E-8	1.152539E+1
-1.000000E-1	7.644787E-3	-7.644787E-3	-2.965038E-8	1.263965E+1
-1.500000E-1	1.489957E-2	-1.489957E-2	-5.778811E-8	1.300684E+1
-2.000000E-1	2.004392E-2	-2.004392E-2	-7.774055E-8	1.337500E+1
-2.500000E-1	2.982638E-2	-2.982638E-2	-1.156819E-7	1.449512E+1
-3.000000E-1	3.698212E-2	-3.698212E-2	-1.434355E-7	1.486230E+1
-3.500000E-1	5.186441E-2	-5.186441E-2	-2.011566E-7	1.523047E+1
-4.000000E-1	6.693999E-2	-6.693999E-2	-2.596274E-7	1.559766E+1
-4.500000E-1	8.506567E-2	-8.506567E-2	-3.299280E-7	1.596582E+1
-5.000000E-1	8.946661E-2	-8.946661E-2	-3.469971E-7	1.633398E+1
-5.000000E-1	9.181419E-2	-9.181419E-2	-3.561022E-7	1.670117E+1
-4.500000E-1	7.798321E-2	-7.798321E-2	-3.024586E-7	1.706934E+1
-4.000000E-1	5.644960E-2	-5.644960E-2	-2.189403E-7	1.743652E+1
-3.500000E-1	4.122042E-2	-4.122042E-2	-1.598738E-7	1.780469E+1
-3.000000E-1	3.255065E-2	-3.255065E-2	-1.262480E-7	1.817285E+1
-2.500000E-1	2.612125E-2	-2.612125E-2	-1.013115E-7	1.854004E+1
-2.000000E-1	1.725259E-2	-1.725259E-2	-6.691432E-8	1.928125E+1
-1.500000E-1	1.091091E-2	-1.091091E-2	-4.231806E-8	1.964941E+1
-1.000000E-1	5.948780E-3	-5.948780E-3	-2.307240E-8	2.001660E+1
-5.000000E-2	3.175225E-3	-3.175225E-3	-1.231514E-8	2.038477E+1
0.000000E+0	1.144754E-5	-1.144754E-5	-4.439939E-11	2.155859E+1
