voltage_3_1_500mv_500ms	absJ_3_1_500mv_500ms	J_3_1_500mv_500ms	current_3_1_500mv_500ms	time_3_1_500mv_500ms	
0.000000E+0	6.418359E-9	-6.418359E-9	-5.601075E-14	0.000000E+0
5.000000E-2	2.469999E-6	2.469999E-6	2.155481E-11	1.002930E+0
1.000000E-1	4.871325E-6	4.871325E-6	4.251033E-11	2.004883E+0
1.500000E-1	8.640878E-6	8.640878E-6	7.540589E-11	3.007813E+0
2.000000E-1	7.963218E-7	7.963218E-7	6.949219E-12	5.355469E+0
2.500000E-1	4.212247E-7	4.212247E-7	3.675879E-12	7.128906E+0
3.000000E-1	2.727568E-6	2.727568E-6	2.380252E-11	8.131836E+0
3.500000E-1	4.597888E-6	4.597888E-6	4.012414E-11	9.134766E+0
4.000000E-1	4.919950E-6	4.919950E-6	4.293466E-11	1.013672E+1
4.500000E-1	4.762472E-6	4.762472E-6	4.156041E-11	1.113965E+1
5.000000E-1	1.657436E-6	1.657436E-6	1.446386E-11	1.214258E+1
5.000000E-1	1.696302E-6	1.696302E-6	1.480303E-11	1.314453E+1
4.500000E-1	1.154056E-6	1.154056E-6	1.007104E-11	1.414746E+1
4.000000E-1	9.556358E-7	9.556358E-7	8.339496E-12	1.515039E+1
3.500000E-1	4.019843E-6	4.019843E-6	3.507975E-11	1.615234E+1
3.000000E-1	2.712610E-6	2.712610E-6	2.367199E-11	1.715527E+1
2.500000E-1	8.771699E-7	8.771699E-7	7.654752E-12	1.815820E+1
2.000000E-1	3.651198E-7	3.651198E-7	3.186271E-12	1.916016E+1
1.500000E-1	3.516421E-7	3.516421E-7	3.068656E-12	2.016309E+1
1.000000E-1	3.689062E-7	3.689062E-7	3.219314E-12	2.116602E+1
5.000000E-2	1.198640E-7	1.198640E-7	1.046011E-12	2.216797E+1
0.000000E+0	3.088318E-9	-3.088318E-9	-2.695066E-14	2.317090E+1
-5.000000E-2	9.874669E-8	-9.874669E-8	-8.617274E-13	2.417383E+1
-1.000000E-1	1.924061E-7	-1.924061E-7	-1.679060E-12	2.517578E+1
-1.500000E-1	3.186041E-7	-3.186041E-7	-2.780345E-12	2.617871E+1
-2.000000E-1	4.464052E-7	-4.464052E-7	-3.895620E-12	2.718164E+1
-2.500000E-1	6.915640E-7	-6.915640E-7	-6.035034E-12	2.818359E+1
-3.000000E-1	9.305382E-7	-9.305382E-7	-8.120477E-12	2.918652E+1
-3.500000E-1	1.076417E-6	-1.076417E-6	-9.393514E-12	3.018848E+1
-4.000000E-1	9.650232E-7	-9.650232E-7	-8.421416E-12	3.119141E+1
-4.500000E-1	1.616003E-6	-1.616003E-6	-1.410229E-11	3.219336E+1
-5.000000E-1	1.877541E-6	-1.877541E-6	-1.638464E-11	3.319629E+1
-5.000000E-1	2.148770E-6	-2.148770E-6	-1.875156E-11	3.419922E+1
-4.500000E-1	2.411117E-6	-2.411117E-6	-2.104097E-11	3.520117E+1
-4.000000E-1	9.614928E-7	-9.614928E-7	-8.390608E-12	3.620410E+1
-3.500000E-1	7.977944E-7	-7.977944E-7	-6.962070E-12	3.720605E+1
-3.000000E-1	6.387142E-7	-6.387142E-7	-5.573833E-12	3.820898E+1
-2.500000E-1	4.407024E-7	-4.407024E-7	-3.845854E-12	3.921094E+1
-2.000000E-1	2.312200E-7	-2.312200E-7	-2.017775E-12	4.021387E+1
-1.500000E-1	1.307415E-7	-1.307415E-7	-1.140935E-12	4.121680E+1
-1.000000E-1	1.012243E-7	-1.012243E-7	-8.833489E-13	4.221875E+1
-5.000000E-2	5.376887E-8	-5.376887E-8	-4.692219E-13	4.322168E+1
0.000000E+0	1.537798E-9	1.537798E-9	1.341982E-14	4.422363E+1
