voltage_spot_1_run_3_10	absJ_spot_1_run_3_10	J_spot_1_run_3_10	current_spot_1_run_3_10	time_spot_1_run_3_10	
0.000000E+0	1.982034E-4	-1.982034E-4	-2.221641E-9	0.000000E+0
5.000000E-2	1.428614E-1	1.428614E-1	1.601318E-6	7.412109E-1
1.000000E-1	2.948868E-1	2.948868E-1	3.305354E-6	1.108398E+0
1.500000E-1	4.540190E-1	4.540190E-1	5.089050E-6	1.476563E+0
2.000000E-1	6.190332E-1	6.190332E-1	6.938676E-6	1.844727E+0
2.500000E-1	8.795749E-1	8.795749E-1	9.859060E-6	2.211914E+0
3.000000E-1	1.164699E+0	1.164699E+0	1.305499E-5	3.327148E+0
3.500000E-1	1.447826E+0	1.447826E+0	1.622853E-5	3.695313E+0
4.000000E-1	1.871631E+0	1.871631E+0	2.097891E-5	4.062500E+0
4.500000E-1	2.380158E+0	2.380158E+0	2.667893E-5	4.430664E+0
5.000000E-1	3.083281E+0	3.083281E+0	3.456017E-5	4.797852E+0
5.000000E-1	3.234239E+0	3.234239E+0	3.625224E-5	5.166016E+0
4.500000E-1	2.813110E+0	2.813110E+0	3.153185E-5	5.534180E+0
4.000000E-1	2.561322E+0	2.561322E+0	2.870958E-5	5.901367E+0
3.500000E-1	2.178618E+0	2.178618E+0	2.441990E-5	6.269531E+0
3.000000E-1	1.843723E+0	1.843723E+0	2.066609E-5	6.637695E+0
2.500000E-1	1.480410E+0	1.480410E+0	1.659376E-5	7.004883E+0
2.000000E-1	1.153454E+0	1.153454E+0	1.292894E-5	7.373047E+0
1.500000E-1	8.439414E-1	8.439414E-1	9.459648E-6	8.120117E+0
1.000000E-1	5.372365E-1	5.372365E-1	6.021826E-6	8.488281E+0
5.000000E-2	2.593615E-1	2.593615E-1	2.907155E-6	8.855469E+0
0.000000E+0	2.205072E-4	-2.205072E-4	-2.471642E-9	9.596680E+0
-5.000000E-2	2.458506E-1	-2.458506E-1	-2.755713E-6	1.033887E+1
-1.000000E-1	4.884648E-1	-4.884648E-1	-5.475149E-6	1.070605E+1
-1.500000E-1	7.415977E-1	-7.415977E-1	-8.312489E-6	1.107422E+1
-2.000000E-1	1.015715E+0	-1.015715E+0	-1.138504E-5	1.218945E+1
-2.500000E-1	1.283846E+0	-1.283846E+0	-1.439049E-5	1.255664E+1
-3.000000E-1	1.537625E+0	-1.537625E+0	-1.723507E-5	1.292480E+1
-3.500000E-1	1.789155E+0	-1.789155E+0	-2.005445E-5	1.329297E+1
-4.000000E-1	2.025506E+0	-2.025506E+0	-2.270368E-5	1.366016E+1
-4.500000E-1	2.226815E+0	-2.226815E+0	-2.496013E-5	1.402832E+1
-5.000000E-1	2.413485E+0	-2.413485E+0	-2.705249E-5	1.439551E+1
-5.000000E-1	2.392451E+0	-2.392451E+0	-2.681672E-5	1.476367E+1
-4.500000E-1	2.075805E+0	-2.075805E+0	-2.326748E-5	1.513184E+1
-4.000000E-1	1.853688E+0	-1.853688E+0	-2.077779E-5	1.549902E+1
-3.500000E-1	1.625025E+0	-1.625025E+0	-1.821473E-5	1.586719E+1
-3.000000E-1	1.398905E+0	-1.398905E+0	-1.568018E-5	1.623535E+1
-2.500000E-1	1.185039E+0	-1.185039E+0	-1.328297E-5	1.660254E+1
-2.000000E-1	9.872947E-1	-9.872947E-1	-1.106648E-5	1.697070E+1
-1.500000E-1	7.888029E-1	-7.888029E-1	-8.841607E-6	1.771777E+1
-1.000000E-1	5.485141E-1	-5.485141E-1	-6.148235E-6	1.808594E+1
-5.000000E-2	2.905672E-1	-2.905672E-1	-3.256937E-6	1.845410E+1
0.000000E+0	9.773080E-4	-9.773080E-4	-1.095454E-8	1.919434E+1
0.000000E+0	9.889086E-4	-9.889086E-4	-1.108457E-8	1.956348E+1
5.000000E-2	3.165158E-1	3.165158E-1	3.547792E-6	2.068262E+1
1.000000E-1	6.478330E-1	6.478330E-1	7.261490E-6	2.105078E+1
1.500000E-1	1.005930E+0	1.005930E+0	1.127536E-5	2.216602E+1
2.000000E-1	1.382389E+0	1.382389E+0	1.549505E-5	2.253320E+1
2.500000E-1	1.782728E+0	1.782728E+0	1.998241E-5	2.290137E+1
3.000000E-1	2.225449E+0	2.225449E+0	2.494482E-5	2.326855E+1
3.500000E-1	2.712361E+0	2.712361E+0	3.040256E-5	2.363672E+1
4.000000E-1	3.264488E+0	3.264488E+0	3.659129E-5	2.400488E+1
4.500000E-1	3.985595E+0	3.985595E+0	4.467410E-5	2.437207E+1
