voltage_run_3_spot_3_10	absJ_run_3_spot_3_10	J_run_3_spot_3_10	current_run_3_spot_3_10	time_run_3_spot_3_10	
0.000000E+0	8.367181E-8	8.367181E-8	1.051451E-12	0.000000E+0
5.000000E-2	1.064390E-6	1.064390E-6	1.337552E-11	7.031250E-1
1.000000E-1	2.248095E-6	2.248095E-6	2.825040E-11	1.406250E+0
1.500000E-1	4.182727E-6	4.182727E-6	5.256170E-11	2.109375E+0
2.000000E-1	7.245419E-6	7.245419E-6	9.104862E-11	2.812500E+0
2.500000E-1	1.032999E-5	1.032999E-5	1.298105E-10	3.927734E+0
3.000000E-1	1.643033E-5	1.643033E-5	2.064696E-10	4.295898E+0
3.500000E-1	2.132822E-5	2.132822E-5	2.680183E-10	4.665039E+0
4.000000E-1	2.927222E-5	2.927222E-5	3.678456E-10	5.033203E+0
4.500000E-1	3.695852E-5	3.695852E-5	4.644345E-10	5.401367E+0
5.000000E-1	5.615817E-5	5.615817E-5	7.057044E-10	5.770508E+0
5.000000E-1	5.008138E-5	5.008138E-5	6.293412E-10	6.138672E+0
4.500000E-1	3.664437E-5	3.664437E-5	4.604867E-10	6.506836E+0
4.000000E-1	2.762820E-5	2.762820E-5	3.471862E-10	6.875000E+0
3.500000E-1	2.079275E-5	2.079275E-5	2.612894E-10	7.244141E+0
3.000000E-1	1.407394E-5	1.407394E-5	1.768583E-10	7.612305E+0
2.500000E-1	9.554206E-6	9.554206E-6	1.200617E-10	7.980469E+0
2.000000E-1	6.615750E-6	6.615750E-6	8.313596E-11	9.155273E+0
1.500000E-1	4.109712E-6	4.109712E-6	5.164416E-11	9.858398E+0
1.000000E-1	2.501950E-6	2.501950E-6	3.144043E-11	1.056152E+1
5.000000E-2	1.165947E-6	1.165947E-6	1.465172E-11	1.126465E+1
0.000000E+0	9.258616E-8	9.258616E-8	1.163472E-12	1.196777E+1
-5.000000E-2	1.033973E-6	-1.033973E-6	-1.299329E-11	1.267187E+1
-1.000000E-1	2.304107E-6	-2.304107E-6	-2.895426E-11	1.337500E+1
-1.500000E-1	3.715250E-6	-3.715250E-6	-4.668721E-11	1.407812E+1
-2.000000E-1	6.408873E-6	-6.408873E-6	-8.053627E-11	1.478125E+1
-2.500000E-1	9.049232E-6	-9.049232E-6	-1.137160E-10	1.589648E+1
-3.000000E-1	1.433150E-5	-1.433150E-5	-1.800950E-10	1.626465E+1
-3.500000E-1	2.174337E-5	-2.174337E-5	-2.732352E-10	1.663281E+1
-4.000000E-1	2.935384E-5	-2.935384E-5	-3.688713E-10	1.700195E+1
-4.500000E-1	3.685935E-5	-3.685935E-5	-4.631882E-10	1.737012E+1
-5.000000E-1	4.873346E-5	-4.873346E-5	-6.124027E-10	1.773828E+1
-5.000000E-1	4.848520E-5	-4.848520E-5	-6.092830E-10	1.810742E+1
-4.500000E-1	3.558385E-5	-3.558385E-5	-4.471598E-10	1.847559E+1
-4.000000E-1	2.729533E-5	-2.729533E-5	-3.430033E-10	1.884375E+1
-3.500000E-1	1.957688E-5	-1.957688E-5	-2.460103E-10	1.921191E+1
-3.000000E-1	1.521917E-5	-1.521917E-5	-1.912497E-10	1.958105E+1
-2.500000E-1	1.006492E-5	-1.006492E-5	-1.264795E-10	1.994922E+1
-2.000000E-1	7.297189E-6	-7.297189E-6	-9.169918E-11	2.112402E+1
-1.500000E-1	4.458566E-6	-4.458566E-6	-5.602799E-11	2.182715E+1
-1.000000E-1	2.596961E-6	-2.596961E-6	-3.263437E-11	2.253027E+1
-5.000000E-2	1.082024E-6	-1.082024E-6	-1.359712E-11	2.323340E+1
0.000000E+0	1.062128E-7	1.062128E-7	1.334710E-12	2.393652E+1
0.000000E+0	1.021389E-7	1.021389E-7	1.283515E-12	2.464062E+1
5.000000E-2	1.157853E-6	1.157853E-6	1.455001E-11	2.534375E+1
1.000000E-1	2.392291E-6	2.392291E-6	3.006242E-11	2.604687E+1
1.500000E-1	4.251360E-6	4.251360E-6	5.342417E-11	2.675000E+1
2.000000E-1	6.309195E-6	6.309195E-6	7.928368E-11	2.745312E+1
2.500000E-1	1.265720E-5	1.265720E-5	1.590550E-10	2.856836E+1
3.000000E-1	1.964982E-5	1.964982E-5	2.469269E-10	2.893652E+1
3.500000E-1	2.772578E-5	2.772578E-5	3.484124E-10	2.930469E+1
4.000000E-1	3.944483E-5	3.944483E-5	4.956784E-10	2.967383E+1
4.500000E-1	4.306735E-5	4.306735E-5	5.412003E-10	3.004199E+1
5.000000E-1	5.627214E-5	5.627214E-5	7.071366E-10	3.041016E+1
5.000000E-1	5.737259E-5	5.737259E-5	7.209652E-10	3.077832E+1
4.500000E-1	5.295570E-5	5.295570E-5	6.654609E-10	3.114746E+1
4.000000E-1	3.907436E-5	3.907436E-5	4.910229E-10	3.151562E+1
3.500000E-1	2.573750E-5	2.573750E-5	3.234270E-10	3.188379E+1
3.000000E-1	1.974078E-5	1.974078E-5	2.480699E-10	3.225195E+1
2.500000E-1	1.537543E-5	1.537543E-5	1.932133E-10	3.262109E+1
2.000000E-1	1.185711E-5	1.185711E-5	1.490009E-10	3.298926E+1
1.500000E-1	1.021748E-5	1.021748E-5	1.283967E-10	3.335742E+1
1.000000E-1	4.180621E-6	4.180621E-6	5.253523E-11	3.453223E+1
5.000000E-2	1.871487E-6	1.871487E-6	2.351780E-11	3.523535E+1
0.000000E+0	1.026822E-7	1.026822E-7	1.290343E-12	3.593848E+1
-5.000000E-2	1.593052E-6	-1.593052E-6	-2.001888E-11	3.664258E+1
-1.000000E-1	3.676955E-6	-3.676955E-6	-4.620598E-11	3.734570E+1
-1.500000E-1	6.693493E-6	-6.693493E-6	-8.411291E-11	3.804883E+1
-2.000000E-1	9.836427E-6	-9.836427E-6	-1.236082E-10	3.916406E+1
-2.500000E-1	1.419744E-5	-1.419744E-5	-1.784103E-10	3.953223E+1
-3.000000E-1	1.931875E-5	-1.931875E-5	-2.427666E-10	3.990039E+1
-3.500000E-1	2.671257E-5	-2.671257E-5	-3.356800E-10	4.026953E+1
-4.000000E-1	3.537484E-5	-3.537484E-5	-4.445334E-10	4.063770E+1
-4.500000E-1	4.820478E-5	-4.820478E-5	-6.057591E-10	4.100586E+1
-5.000000E-1	5.938119E-5	-5.938119E-5	-7.462061E-10	4.137500E+1
-5.000000E-1	5.908788E-5	-5.908788E-5	-7.425202E-10	4.174316E+1
-4.500000E-1	4.690702E-5	-4.690702E-5	-5.894510E-10	4.211133E+1
-4.000000E-1	3.608522E-5	-3.608522E-5	-4.534602E-10	4.247949E+1
-3.500000E-1	2.741436E-5	-2.741436E-5	-3.444990E-10	4.284863E+1
-3.000000E-1	2.053715E-5	-2.053715E-5	-2.580774E-10	4.321680E+1
-2.500000E-1	1.472085E-5	-1.472085E-5	-1.849877E-10	4.358496E+1
-2.000000E-1	1.010036E-5	-1.010036E-5	-1.269249E-10	4.395410E+1
-1.500000E-1	5.595227E-6	-5.595227E-6	-7.031170E-11	4.512891E+1
-1.000000E-1	2.911621E-6	-2.911621E-6	-3.658851E-11	4.583203E+1
-5.000000E-2	1.261169E-6	-1.261169E-6	-1.584832E-11	4.653516E+1
0.000000E+0	9.441939E-8	9.441939E-8	1.186509E-12	4.723828E+1
0.000000E+0	8.876843E-8	8.876843E-8	1.115497E-12	4.794238E+1
5.000000E-2	1.528156E-6	1.528156E-6	1.920338E-11	4.864551E+1
1.000000E-1	3.346471E-6	3.346471E-6	4.205299E-11	4.934863E+1
1.500000E-1	5.836064E-6	5.836064E-6	7.333815E-11	5.005078E+1
2.000000E-1	1.066309E-5	1.066309E-5	1.339963E-10	5.116602E+1
2.500000E-1	1.482360E-5	1.482360E-5	1.862788E-10	5.153418E+1
3.000000E-1	2.066879E-5	2.066879E-5	2.597317E-10	5.190332E+1
3.500000E-1	2.687864E-5	2.687864E-5	3.377670E-10	5.227148E+1
4.000000E-1	3.460458E-5	3.460458E-5	4.348540E-10	5.263965E+1
4.500000E-1	5.122017E-5	5.122017E-5	6.436517E-10	5.300879E+1
5.000000E-1	6.451607E-5	6.451607E-5	8.107328E-10	5.337695E+1
5.000000E-1	6.750106E-5	6.750106E-5	8.482433E-10	5.374512E+1
4.500000E-1	4.956970E-5	4.956970E-5	6.229113E-10	5.411328E+1
4.000000E-1	4.005693E-5	4.005693E-5	5.033702E-10	5.448242E+1
3.500000E-1	3.014451E-5	3.014451E-5	3.788071E-10	5.485059E+1
3.000000E-1	1.913091E-5	1.913091E-5	2.404061E-10	5.521875E+1
2.500000E-1	1.704943E-5	1.704943E-5	2.142494E-10	5.558691E+1
2.000000E-1	9.199928E-6	9.199928E-6	1.156097E-10	5.595605E+1
1.500000E-1	5.633524E-6	5.633524E-6	7.079295E-11	5.713086E+1
1.000000E-1	3.407733E-6	3.407733E-6	4.282284E-11	5.783398E+1
5.000000E-2	1.513783E-6	1.513783E-6	1.902276E-11	5.853711E+1
0.000000E+0	9.322119E-8	9.322119E-8	1.171452E-12	5.924023E+1
-5.000000E-2	9.998121E-7	-9.998121E-7	-1.256401E-11	5.994336E+1
-1.000000E-1	2.505520E-6	-2.505520E-6	-3.148529E-11	6.064648E+1
-1.500000E-1	4.590067E-6	-4.590067E-6	-5.768049E-11	6.135059E+1
-2.000000E-1	8.048386E-6	-8.048386E-6	-1.011390E-10	6.205371E+1
-2.500000E-1	1.188984E-5	-1.188984E-5	-1.494121E-10	6.316797E+1
-3.000000E-1	1.848609E-5	-1.848609E-5	-2.323031E-10	6.353711E+1
-3.500000E-1	2.582915E-5	-2.582915E-5	-3.245787E-10	6.390527E+1
-4.000000E-1	3.474232E-5	-3.474232E-5	-4.365849E-10	6.427344E+1
-4.500000E-1	4.596477E-5	-4.596477E-5	-5.776103E-10	6.464258E+1
-5.000000E-1	6.237733E-5	-6.237733E-5	-7.838566E-10	6.501074E+1
-5.000000E-1	5.825132E-5	-5.825132E-5	-7.320077E-10	6.537891E+1
-4.500000E-1	4.680910E-5	-4.680910E-5	-5.882205E-10	6.574805E+1
-4.000000E-1	3.473559E-5	-3.473559E-5	-4.365003E-10	6.611621E+1
-3.500000E-1	2.602165E-5	-2.602165E-5	-3.269977E-10	6.648438E+1
-3.000000E-1	1.896527E-5	-1.896527E-5	-2.383246E-10	6.685352E+1
-2.500000E-1	1.435578E-5	-1.435578E-5	-1.804000E-10	6.722168E+1
-2.000000E-1	9.459828E-6	-9.459828E-6	-1.188757E-10	6.758984E+1
-1.500000E-1	6.162719E-6	-6.162719E-6	-7.744301E-11	6.876465E+1
-1.000000E-1	3.577828E-6	-3.577828E-6	-4.496031E-11	6.946777E+1
-5.000000E-2	1.402240E-6	-1.402240E-6	-1.762107E-11	7.017090E+1
0.000000E+0	8.340674E-8	8.340674E-8	1.048120E-12	7.087402E+1
0.000000E+0	8.207931E-8	8.207931E-8	1.031439E-12	7.157813E+1
5.000000E-2	1.560160E-6	1.560160E-6	1.960555E-11	7.228125E+1
1.000000E-1	3.554393E-6	3.554393E-6	4.466582E-11	7.298438E+1
1.500000E-1	6.634967E-6	6.634967E-6	8.337746E-11	7.368750E+1
2.000000E-1	1.363438E-5	1.363438E-5	1.713347E-10	7.480273E+1
2.500000E-1	2.186854E-5	2.186854E-5	2.748082E-10	7.517090E+1
3.000000E-1	2.772553E-5	2.772553E-5	3.484093E-10	7.553906E+1
3.500000E-1	4.210438E-5	4.210438E-5	5.290992E-10	7.590820E+1
4.000000E-1	5.133379E-5	5.133379E-5	6.450795E-10	7.627637E+1
4.500000E-1	6.452545E-5	6.452545E-5	8.108508E-10	7.664453E+1
5.000000E-1	7.171416E-5	7.171416E-5	9.011867E-10	7.701270E+1
5.000000E-1	7.576693E-5	7.576693E-5	9.521153E-10	7.738184E+1
4.500000E-1	6.183735E-5	6.183735E-5	7.770711E-10	7.775000E+1
4.000000E-1	4.997347E-5	4.997347E-5	6.279851E-10	7.811816E+1
3.500000E-1	3.675002E-5	3.675002E-5	4.618143E-10	7.848633E+1
3.000000E-1	2.307134E-5	2.307134E-5	2.899230E-10	7.885547E+1
2.500000E-1	1.836779E-5	1.836779E-5	2.308165E-10	7.922363E+1
2.000000E-1	1.332424E-5	1.332424E-5	1.674374E-10	7.959180E+1
1.500000E-1	8.396028E-6	8.396028E-6	1.055076E-10	7.996094E+1
1.000000E-1	4.330534E-6	4.330534E-6	5.441909E-11	8.113574E+1
5.000000E-2	1.857997E-6	1.857997E-6	2.334828E-11	8.183887E+1
0.000000E+0	9.058725E-8	9.058725E-8	1.138353E-12	8.254199E+1
-5.000000E-2	1.832858E-6	-1.832858E-6	-2.303237E-11	8.324512E+1
-1.000000E-1	3.673928E-6	-3.673928E-6	-4.616794E-11	8.394824E+1
-1.500000E-1	4.829626E-6	-4.829626E-6	-6.069087E-11	8.465137E+1
-2.000000E-1	6.944615E-6	-6.944615E-6	-8.726860E-11	8.535449E+1
-2.500000E-1	1.408452E-5	-1.408452E-5	-1.769913E-10	8.646973E+1
-3.000000E-1	1.953000E-5	-1.953000E-5	-2.454212E-10	8.683789E+1
-3.500000E-1	2.739908E-5	-2.739908E-5	-3.443070E-10	8.720703E+1
-4.000000E-1	3.607213E-5	-3.607213E-5	-4.532958E-10	8.757520E+1
-4.500000E-1	4.867398E-5	-4.867398E-5	-6.116553E-10	8.794336E+1
-5.000000E-1	6.457323E-5	-6.457323E-5	-8.114512E-10	8.831152E+1
-5.000000E-1	7.019779E-5	-7.019779E-5	-8.821314E-10	8.868066E+1
-4.500000E-1	5.144142E-5	-5.144142E-5	-6.464319E-10	8.904883E+1
-4.000000E-1	4.310681E-5	-4.310681E-5	-5.416962E-10	8.941699E+1
-3.500000E-1	3.121811E-5	-3.121811E-5	-3.922983E-10	8.978516E+1
-3.000000E-1	2.470546E-5	-2.470546E-5	-3.104579E-10	9.015430E+1
-2.500000E-1	1.417162E-5	-1.417162E-5	-1.780858E-10	9.052246E+1
-2.000000E-1	9.032521E-6	-9.032521E-6	-1.135060E-10	9.089063E+1
-1.500000E-1	6.209235E-6	-6.209235E-6	-7.802754E-11	9.206543E+1
-1.000000E-1	3.456800E-6	-3.456800E-6	-4.343943E-11	9.276855E+1
-5.000000E-2	1.183128E-6	-1.183128E-6	-1.486763E-11	9.347168E+1
0.000000E+0	8.610140E-8	8.610140E-8	1.081982E-12	9.417480E+1
0.000000E+0	8.232449E-8	8.232449E-8	1.034520E-12	9.487891E+1
5.000000E-2	2.354842E-6	2.354842E-6	2.959182E-11	9.558203E+1
1.000000E-1	3.251823E-6	3.251823E-6	4.086361E-11	9.628418E+1
1.500000E-1	6.653992E-6	6.653992E-6	8.361652E-11	9.698730E+1
2.000000E-1	1.162070E-5	1.162070E-5	1.460300E-10	9.810254E+1
2.500000E-1	1.625854E-5	1.625854E-5	2.043109E-10	9.847070E+1
3.000000E-1	2.343800E-5	2.343800E-5	2.945306E-10	9.883984E+1
3.500000E-1	3.114828E-5	3.114828E-5	3.914208E-10	9.920801E+1
4.000000E-1	4.472869E-5	4.472869E-5	5.620773E-10	9.957617E+1
4.500000E-1	5.910091E-5	5.910091E-5	7.426839E-10	9.994434E+1
5.000000E-1	7.427797E-5	7.427797E-5	9.334045E-10	1.014268E+2
5.000000E-1	8.242968E-5	8.242968E-5	1.035842E-9	1.021680E+2
4.500000E-1	6.221080E-5	6.221080E-5	7.817640E-10	1.025361E+2
4.000000E-1	4.376743E-5	4.376743E-5	5.499977E-10	1.029043E+2
3.500000E-1	3.637782E-5	3.637782E-5	4.571371E-10	1.032725E+2
3.000000E-1	1.995425E-5	1.995425E-5	2.507525E-10	1.036406E+2
2.500000E-1	1.325310E-5	1.325310E-5	1.665433E-10	1.040098E+2
2.000000E-1	9.584875E-6	9.584875E-6	1.204471E-10	1.043779E+2
1.500000E-1	4.644645E-6	4.644645E-6	5.836633E-11	1.055527E+2
1.000000E-1	3.191424E-6	3.191424E-6	4.010461E-11	1.062559E+2
5.000000E-2	1.202715E-6	1.202715E-6	1.511376E-11	1.069590E+2
0.000000E+0	8.353263E-8	8.353263E-8	1.049702E-12	1.076621E+2
-5.000000E-2	9.380361E-7	-9.380361E-7	-1.178771E-11	1.083652E+2
-1.000000E-1	2.116310E-6	-2.116310E-6	-2.659434E-11	1.090684E+2
-1.500000E-1	3.729577E-6	-3.729577E-6	-4.686725E-11	1.097715E+2
-2.000000E-1	7.167920E-6	-7.167920E-6	-9.007474E-11	1.104746E+2
-2.500000E-1	1.217196E-5	-1.217196E-5	-1.529574E-10	1.115898E+2
-3.000000E-1	1.385773E-5	-1.385773E-5	-1.741414E-10	1.119580E+2
-3.500000E-1	1.972074E-5	-1.972074E-5	-2.478181E-10	1.123271E+2
-4.000000E-1	2.821889E-5	-2.821889E-5	-3.546091E-10	1.126953E+2
-4.500000E-1	3.742664E-5	-3.742664E-5	-4.703170E-10	1.130635E+2
-5.000000E-1	4.866564E-5	-4.866564E-5	-6.115505E-10	1.134316E+2
-5.000000E-1	5.068092E-5	-5.068092E-5	-6.368753E-10	1.138008E+2
-4.500000E-1	3.855826E-5	-3.855826E-5	-4.845374E-10	1.141689E+2
-4.000000E-1	3.006145E-5	-3.006145E-5	-3.777633E-10	1.145371E+2
-3.500000E-1	2.281686E-5	-2.281686E-5	-2.867251E-10	1.149053E+2
-3.000000E-1	1.569673E-5	-1.569673E-5	-1.972509E-10	1.152744E+2
-2.500000E-1	1.053283E-5	-1.053283E-5	-1.323595E-10	1.156426E+2
-2.000000E-1	7.958933E-6	-7.958933E-6	-1.000149E-10	1.160107E+2
-1.500000E-1	3.952978E-6	-3.952978E-6	-4.967458E-11	1.171855E+2
-1.000000E-1	2.357874E-6	-2.357874E-6	-2.962992E-11	1.178887E+2
-5.000000E-2	8.661061E-7	-8.661061E-7	-1.088381E-11	1.185918E+2
0.000000E+0	9.850219E-8	9.850219E-8	1.237815E-12	1.192949E+2
0.000000E+0	9.164635E-8	9.164635E-8	1.151662E-12	1.199990E+2
5.000000E-2	1.080802E-6	1.080802E-6	1.358176E-11	1.207021E+2
1.000000E-1	2.204491E-6	2.204491E-6	2.770245E-11	1.214043E+2
1.500000E-1	4.104798E-6	4.104798E-6	5.158241E-11	1.221074E+2
2.000000E-1	7.037660E-6	7.037660E-6	8.843784E-11	1.228105E+2
2.500000E-1	1.179511E-5	1.179511E-5	1.482217E-10	1.239258E+2
3.000000E-1	1.521176E-5	1.521176E-5	1.911566E-10	1.242939E+2
3.500000E-1	2.073382E-5	2.073382E-5	2.605489E-10	1.246631E+2
4.000000E-1	3.043907E-5	3.043907E-5	3.825087E-10	1.250312E+2
4.500000E-1	4.144919E-5	4.144919E-5	5.208659E-10	1.253994E+2
5.000000E-1	5.610169E-5	5.610169E-5	7.049947E-10	1.257676E+2
5.000000E-1	5.341160E-5	5.341160E-5	6.711900E-10	1.261357E+2
4.500000E-1	3.839794E-5	3.839794E-5	4.825227E-10	1.265049E+2
4.000000E-1	3.002007E-5	3.002007E-5	3.772433E-10	1.268730E+2
3.500000E-1	1.978273E-5	1.978273E-5	2.485971E-10	1.272412E+2
3.000000E-1	1.579715E-5	1.579715E-5	1.985128E-10	1.276094E+2
2.500000E-1	9.731426E-6	9.731426E-6	1.222887E-10	1.279775E+2
2.000000E-1	6.473820E-6	6.473820E-6	8.135242E-11	1.291523E+2
1.500000E-1	4.228379E-6	4.228379E-6	5.313538E-11	1.298555E+2
1.000000E-1	2.269898E-6	2.269898E-6	2.852438E-11	1.305586E+2
5.000000E-2	1.277348E-6	1.277348E-6	1.605163E-11	1.312617E+2
0.000000E+0	8.295617E-8	8.295617E-8	1.042458E-12	1.319648E+2
-5.000000E-2	1.247630E-6	-1.247630E-6	-1.567818E-11	1.326689E+2
-1.000000E-1	2.920437E-6	-2.920437E-6	-3.669930E-11	1.333721E+2
-1.500000E-1	5.211582E-6	-5.211582E-6	-6.549067E-11	1.340752E+2
-2.000000E-1	1.160335E-5	-1.160335E-5	-1.458120E-10	1.351895E+2
-2.500000E-1	1.700768E-5	-1.700768E-5	-2.137248E-10	1.355586E+2
-3.000000E-1	2.655901E-5	-2.655901E-5	-3.337504E-10	1.359268E+2
-3.500000E-1	4.163930E-5	-4.163930E-5	-5.232549E-10	1.362949E+2
-4.000000E-1	4.518473E-5	-4.518473E-5	-5.678081E-10	1.366631E+2
-4.500000E-1	6.101841E-5	-6.101841E-5	-7.667799E-10	1.370322E+2
-5.000000E-1	7.326722E-5	-7.326722E-5	-9.207030E-10	1.374004E+2
-5.000000E-1	7.058409E-5	-7.058409E-5	-8.869859E-10	1.377686E+2
-4.500000E-1	5.510989E-5	-5.510989E-5	-6.925313E-10	1.381367E+2
-4.000000E-1	4.312783E-5	-4.312783E-5	-5.419603E-10	1.385059E+2
-3.500000E-1	3.214065E-5	-3.214065E-5	-4.038913E-10	1.388740E+2
-3.000000E-1	2.549156E-5	-2.549156E-5	-3.203364E-10	1.392422E+2
-2.500000E-1	1.918636E-5	-1.918636E-5	-2.411029E-10	1.396104E+2
-2.000000E-1	1.302090E-5	-1.302090E-5	-1.636254E-10	1.399795E+2
-1.500000E-1	9.263136E-6	-9.263136E-6	-1.164040E-10	1.403477E+2
-1.000000E-1	5.711039E-6	-5.711039E-6	-7.176704E-11	1.415225E+2
-5.000000E-2	2.804136E-6	-2.804136E-6	-3.523781E-11	1.422256E+2
0.000000E+0	5.460725E-8	5.460725E-8	6.862150E-13	1.429287E+2
