voltage_run_7_spot_1	absJ_run_7_spot_1	J_run_7_spot_1	current_run_7_spot_1	time_run_7_spot_1	
0.000000E+0	2.761430E-5	-2.761430E-5	-2.409802E-10	0.000000E+0
5.000000E-2	1.515295E-2	1.515295E-2	1.322344E-7	7.412109E-1
1.000000E-1	3.072807E-2	3.072807E-2	2.681530E-7	1.109375E+0
1.500000E-1	4.867640E-2	4.867640E-2	4.247817E-7	1.477539E+0
2.000000E-1	6.331971E-2	6.331971E-2	5.525687E-7	1.844727E+0
2.500000E-1	8.445617E-2	8.445617E-2	7.370191E-7	2.212891E+0
3.000000E-1	1.119807E-1	1.119807E-1	9.772157E-7	2.580078E+0
3.500000E-1	1.161168E-1	1.161168E-1	1.013310E-6	2.948242E+0
4.000000E-1	9.071626E-2	9.071626E-2	7.916487E-7	3.316406E+0
4.500000E-1	9.368161E-2	9.368161E-2	8.175263E-7	3.683594E+0
5.000000E-1	7.627972E-2	7.627972E-2	6.656661E-7	4.051758E+0
5.000000E-1	6.804275E-2	6.804275E-2	5.937850E-7	4.419922E+0
4.500000E-1	8.415094E-2	8.415094E-2	7.343555E-7	4.787109E+0
4.000000E-1	9.265604E-2	9.265604E-2	8.085765E-7	5.155273E+0
3.500000E-1	8.168507E-2	8.168507E-2	7.128367E-7	5.522461E+0
3.000000E-1	5.141563E-2	5.141563E-2	4.486860E-7	5.890625E+0
2.500000E-1	4.069579E-2	4.069579E-2	3.551378E-7	6.258789E+0
2.000000E-1	3.130856E-2	3.130856E-2	2.732187E-7	6.625977E+0
1.500000E-1	2.194928E-2	2.194928E-2	1.915436E-7	6.994141E+0
1.000000E-1	1.346866E-2	1.346866E-2	1.175362E-7	7.362305E+0
5.000000E-2	5.761962E-3	5.761962E-3	5.028260E-8	8.102539E+0
0.000000E+0	1.475339E-5	-1.475339E-5	-1.287476E-10	8.843750E+0
-5.000000E-2	5.486897E-3	-5.486897E-3	-4.788221E-8	9.958984E+0
-1.000000E-1	1.071307E-2	-1.071307E-2	-9.348916E-8	1.032715E+1
-1.500000E-1	9.931242E-3	-9.931242E-3	-8.666643E-8	1.144727E+1
-2.000000E-1	1.377248E-2	-1.377248E-2	-1.201876E-7	1.181445E+1
-2.500000E-1	1.879824E-2	-1.879824E-2	-1.640456E-7	1.218262E+1
-3.000000E-1	2.374540E-2	-2.374540E-2	-2.072177E-7	1.255078E+1
-3.500000E-1	3.023816E-2	-3.023816E-2	-2.638777E-7	1.291797E+1
-4.000000E-1	3.437114E-2	-3.437114E-2	-2.999448E-7	1.328613E+1
-4.500000E-1	4.232659E-2	-4.232659E-2	-3.693692E-7	1.365332E+1
-5.000000E-1	4.501678E-2	-4.501678E-2	-3.928455E-7	1.402148E+1
-5.000000E-1	4.335356E-2	-4.335356E-2	-3.783312E-7	1.438965E+1
-4.500000E-1	3.579695E-2	-3.579695E-2	-3.123873E-7	1.475684E+1
-4.000000E-1	3.075592E-2	-3.075592E-2	-2.683960E-7	1.512500E+1
-3.500000E-1	2.645025E-2	-2.645025E-2	-2.308220E-7	1.549219E+1
-3.000000E-1	2.167683E-2	-2.167683E-2	-1.891660E-7	1.586035E+1
-2.500000E-1	1.799744E-2	-1.799744E-2	-1.570573E-7	1.622852E+1
-2.000000E-1	1.399001E-2	-1.399001E-2	-1.220859E-7	1.659570E+1
-1.500000E-1	1.034975E-2	-1.034975E-2	-9.031857E-8	1.733691E+1
-1.000000E-1	6.828715E-3	-6.828715E-3	-5.959178E-8	1.770508E+1
-5.000000E-2	3.616507E-3	-3.616507E-3	-3.155998E-8	1.807227E+1
0.000000E+0	5.629418E-6	-5.629418E-6	-4.912594E-11	1.962012E+1
