voltage_spot_18_scan_2_21	absJ_spot_18_scan_2_21	J_spot_18_scan_2_21	current_spot_18_scan_2_21	time_spot_18_scan_2_21	
0.000000E+0	7.657186E-10	7.657186E-10	2.969847E-15	0.000000E+0
5.000000E-2	3.534471E-8	3.534471E-8	1.370848E-13	7.031250E-1
1.000000E-1	5.074137E-8	5.074137E-8	1.968009E-13	1.406250E+0
1.500000E-1	7.393477E-8	7.393477E-8	2.867567E-13	2.109375E+0
2.000000E-1	9.022598E-8	9.022598E-8	3.499423E-13	2.812500E+0
2.500000E-1	1.267407E-7	1.267407E-7	4.915651E-13	3.515625E+0
3.000000E-1	2.429654E-7	2.429654E-7	9.423434E-13	4.218750E+0
3.500000E-1	3.346690E-7	3.346690E-7	1.298017E-12	4.921875E+0
4.000000E-1	5.944588E-7	5.944588E-7	2.305614E-12	5.625000E+0
4.500000E-1	7.251105E-7	7.251105E-7	2.812348E-12	6.328125E+0
5.000000E-1	1.091131E-6	1.091131E-6	4.231962E-12	7.031250E+0
5.000000E-1	1.173059E-6	1.173059E-6	4.549722E-12	7.734375E+0
4.500000E-1	7.872339E-7	7.872339E-7	3.053294E-12	8.437500E+0
4.000000E-1	5.076105E-7	5.076105E-7	1.968772E-12	9.140625E+0
3.500000E-1	6.120560E-7	6.120560E-7	2.373865E-12	9.843750E+0
3.000000E-1	3.920050E-7	3.920050E-7	1.520395E-12	1.054688E+1
2.500000E-1	2.578540E-7	2.578540E-7	1.000089E-12	1.125000E+1
2.000000E-1	2.195930E-7	2.195930E-7	8.516937E-13	1.195313E+1
1.500000E-1	1.468069E-7	1.468069E-7	5.693918E-13	1.265625E+1
1.000000E-1	8.201060E-8	8.201060E-8	3.180789E-13	1.335938E+1
5.000000E-2	1.911076E-8	1.911076E-8	7.412126E-14	1.406250E+1
0.000000E+0	2.573745E-8	-2.573745E-8	-9.982293E-14	1.476563E+1
-5.000000E-2	7.989592E-8	-7.989592E-8	-3.098771E-13	1.546973E+1
-1.000000E-1	1.497624E-7	-1.497624E-7	-5.808548E-13	1.617285E+1
-1.500000E-1	1.571655E-7	-1.571655E-7	-6.095680E-13	1.687598E+1
-2.000000E-1	1.967718E-7	-1.967718E-7	-7.631812E-13	1.757910E+1
